county,office,district,party,candidate,votes,,,,,,,,,,,,,,
Pima ,U.S. House,3,IND,F. Sanchez,32,,,,,,,,,,,,,,
Pima ,U.S. House,3,REP,Gabby Saucedo Mercer,19611,,,,,,,,,,,,,,
Pima ,U.S. House,3,MRK,Lee Thompson,6,,,,,,,,,,,,,,
Pinal ,U.S. House,1,DEM,Ann Kirkpatrick,17959,,,,,,,,,,,,,,
Pinal ,U.S. House,1,REP,Andy Tobin,21390,,,,,,,,,,,,,,
Pinal ,U.S. House,3,DEM,Raul Grijalva,61,,,,,,,,,,,,,,
Pinal ,U.S. House,3,IND,F. Sanchez,0,,,,,,,,,,,,,,
Pinal ,U.S. House,3,REP,Gabby Saucedo Mercer,5,,,,,,,,,,,,,,
Pinal ,U.S. House,3,MRK,Lee Thompson,0,,,,,,,,,,,,,,
Pinal ,U.S. House,4,DEM,Mike Weisser,9347,,,,,,,,,,,,,,
Pinal ,U.S. House,4,LBT,Chris Rike,1479,,,,,,,,,,,,,,
Pinal ,U.S. House,4,REP,Paul Gosar,20035,,,,,,,,,,,,,,
Santa Cruz ,U.S. House,3,DEM,Raul Grijalva,5841,,,,,,,,,,,,,,
Santa Cruz ,U.S. House,3,IND,F. Sanchez,0,,,,,,,,,,,,,,
Santa Cruz ,U.S. House,3,REP,Gabby Saucedo Mercer,3552,,,,,,,,,,,,,,
Santa Cruz ,U.S. House,3,MRK,Lee Thompson,0,,,,,,,,,,,,,,
Yavapai ,U.S. House,1,DEM,Ann Kirkpatrick,4868,,,,,,,,,,,,,,
Yavapai ,U.S. House,1,REP,Andy Tobin,5508,,,,,,,,,,,,,,
Yavapai ,U.S. House,4,DEM,Mike Weisser,16946,,,,,,,,,,,,,,
Yavapai ,U.S. House,4,LBT,Chris Rike,2531,,,,,,,,,,,,,,
Yavapai ,U.S. House,4,REP,Paul Gosar,42948,,,,,,,,,,,,,,
Yuma ,U.S. House,3,DEM,Raul Grijalva,7258,,,,,,,,,,,,,,
Yuma ,U.S. House,3,IND,F. Sanchez,8,,,,,,,,,,,,,,
Yuma ,U.S. House,3,REP,Gabby Saucedo Mercer,7007,,,,,,,,,,,,,,
Yuma ,U.S. House,3,MRK,Lee Thompson,0,,,,,,,,,,,,,,
Yuma ,U.S. House,4,DEM,Mike Weisser,3019,,,,,,,,,,,,,,
Yuma ,U.S. House,4,LBT,Chris Rike,413,,,,,,,,,,,,,,
Yuma ,U.S. House,4,REP,Paul Gosar,8695,,,,,,,,,,,,,,
,U.S. House,1,DEM,Ann Kirkpatrick,97391,,,,,,,,,,,,,,
,U.S. House,1,REP,Andy Tobin,87723,,,,,,,,,,,,,,
,U.S. House,2,DEM,Ron Barber,109543,,,,,,,,,,,,,,
,U.S. House,2,NONE,Sampson U. Ramirez,56,,,,,,,,,,,,,,
,U.S. House,2,REP,Sydney Dudikoff,48,,,,,,,,,,,,,,
,U.S. House,2,REP,Martha McSally,109704,,,,,,,,,,,,,,
,U.S. House,3,DEM,Raul Grijalva,58192,,,,,,,,,,,,,,
,U.S. House,3,IND,F. Sanchez,43,,,,,,,,,,,,,,
,U.S. House,3,REP,Gabby Saucedo Mercer,46185,,,,,,,,,,,,,,
,U.S. House,3,MRK,Lee Thompson,8,,,,,,,,,,,,,,
,U.S. House,4,DEM,Mike Weisser,45179,,,,,,,,,,,,,,
,U.S. House,4,LBT,Chris Rike,7440,,,,,,,,,,,,,,
,U.S. House,4,REP,Paul Gosar,122560,,,,,,,,,,,,,,
,U.S. House,5,DEM,James Woods,54596,,,,,,,,,,,,,,
,U.S. House,5,REP,Matt Salmon,124867,,,,,,,,,,,,,,
,U.S. House,6,DEM,W. John Williamson,70198,,,,,,,,,,,,,,
,U.S. House,6,REP,David Schweikert,129578,,,,,,,,,,,,,,
Maricopa,U.S. House,7,AEL,Rebecca DeWitt  ,3858, , , , , , ,,, , , , , , 
Maricopa,U.S. House,7,DEM,Ruben Gallego,54235, , , , , , ,,, , , , , , 
Maricopa,U.S. House,7,DEM,Gustavo Ortega,17, , , , , , ,,, , , , , , 
Maricopa,U.S. House,7,IND,Samuel Esquivel,4, , , , , , ,,, , , , , , 
Maricopa,U.S. House,7,JOS,José Peñalosa  ,3496, , , , , , ,,, , , , , , 
Maricopa,U.S. House,7,LBT,Joe Cobb  ,10715, , , , , , ,,, , , , , , 
Maricopa,U.S. House,7,REP,Gary Dunn,129, , , , , , ,,, , , , , , 
Maricopa,U.S. House,8,AEL,Stephen Dolgos  ,41066, , , , , , ,,, , , , , , 
Maricopa,U.S. House,8,REP,Trent Franks,128710, , , , , , ,,, , , , , , 
Maricopa,U.S. House,9,DEM,Kyrsten Sinema,88609, , , , , , ,,, , , , , , 
Maricopa,U.S. House,9,LBT,Powell Gammill  ,5612, , , , , , ,,, , , , , , 
Maricopa,U.S. House,9,REP,Wendy Rogers  ,67841, , , , , , ,,, , , , , , 
,U.S. House,7,AEL,Rebecca DeWitt  ,3858,,,,,,,,,,,,,,
,U.S. House,7,DEM,Ruben Gallego,54235,,,,,,,,,,,,,,
,U.S. House,7,DEM,Gustavo Ortega,17,,,,,,,,,,,,,,
,U.S. House,7,IND,Samuel Esquivel,4,,,,,,,,,,,,,,
,U.S. House,7,JOS,José Peñalosa  ,3496,,,,,,,,,,,,,,
,U.S. House,7,LBT,Joe Cobb  ,10715,,,,,,,,,,,,,,
,U.S. House,7,REP,Gary Dunn,129,,,,,,,,,,,,,,
,U.S. House,8,AEL,Stephen Dolgos  ,41066,,,,,,,,,,,,,,
,U.S. House,8,REP,Trent Franks,128710,,,,,,,,,,,,,,
,U.S. House,9,DEM,Kyrsten Sinema,88609,,,,,,,,,,,,,,
,U.S. House,9,LBT,Powell Gammill  ,5612,,,,,,,,,,,,,,
,U.S. House,9,REP,Wendy Rogers  ,67841,,,,,,,,,,,,,,
Apache,Governor,,AEL,John Lewis Mealer,458,,,,,,,,,,,,,,
Apache,Governor,,DEM,Fred DuVal,13562,,,,,,,,,,,,,,
Apache,Governor,,IND,Brian Bailey,2,,,,,,,,,,,,,,
Apache,Governor,,IND,Cary Dolego,0,,,,,,,,,,,,,,
Apache,Governor,,IND,Diana-Elizabeth R.R. Kennedy,0,,,,,,,,,,,,,,
Apache,Governor,,LBT,Barry J. Hess,684,,,,,,,,,,,,,,
Apache,Governor,,NONE,J Johnson,5,,,,,,,,,,,,,,
Apache,Governor,,NONE,Curtis Woolsey,1,,,,,,,,,,,,,,
Apache,Governor,,REP,Doug Ducey,5871,,,,,,,,,,,,,,
Apache,Governor,,REP,Alice Novoa,1,,,,,,,,,,,,,,
Cochise,Governor,,AEL,John Lewis Mealer,457,,,,,,,,,,,,,,
Cochise,Governor,,DEM,Fred DuVal,12709,,,,,,,,,,,,,,
Cochise,Governor,,IND,Brian Bailey,0,,,,,,,,,,,,,,
Cochise,Governor,,IND,Cary Dolego,0,,,,,,,,,,,,,,
Cochise,Governor,,IND,Diana-Elizabeth R.R. Kennedy,0,,,,,,,,,,,,,,
Cochise,Governor,,LBT,Barry J. Hess,1611,,,,,,,,,,,,,,
Cochise,Governor,,NONE,J Johnson,12,,,,,,,,,,,,,,
Cochise,Governor,,NONE,Curtis Woolsey,2,,,,,,,,,,,,,,
Cochise,Governor,,REP,Doug Ducey,21662,,,,,,,,,,,,,,
Cochise,Governor,,REP,Alice Novoa,8,,,,,,,,,,,,,,
Coconino,Governor,,AEL,John Lewis Mealer,496,,,,,,,,,,,,,,
Coconino,Governor,,DEM,Fred DuVal,20212,,,,,,,,,,,,,,
Coconino,Governor,,IND,Brian Bailey,12,,,,,,,,,,,,,,
Coconino,Governor,,IND,Cary Dolego,2,,,,,,,,,,,,,,
Coconino,Governor,,IND,Diana-Elizabeth R.R. Kennedy,1,,,,,,,,,,,,,,
Coconino,Governor,,LBT,Barry J. Hess,1650,,,,,,,,,,,,,,
Coconino,Governor,,NONE,J Johnson,36,,,,,,,,,,,,,,
Coconino,Governor,,NONE,Curtis Woolsey,0,,,,,,,,,,,,,,
Coconino,Governor,,REP,Doug Ducey,14528,,,,,,,,,,,,,,
Coconino,Governor,,REP,Alice Novoa,2,,,,,,,,,,,,,,
Gila,Governor,,AEL,John Lewis Mealer,202,,,,,,,,,,,,,,
Gila,Governor,,DEM,Fred DuVal,5253,,,,,,,,,,,,,,
Gila,Governor,,IND,Brian Bailey,0,,,,,,,,,,,,,,
Gila,Governor,,IND,Cary Dolego,0,,,,,,,,,,,,,,
Gila,Governor,,IND,Diana-Elizabeth R.R. Kennedy,0,,,,,,,,,,,,,,
Gila,Governor,,LBT,Barry J. Hess,769,,,,,,,,,,,,,,
Gila,Governor,,NONE,J Johnson,5,,,,,,,,,,,,,,
Gila,Governor,,NONE,Curtis Woolsey,0,,,,,,,,,,,,,,
Gila,Governor,,REP,Doug Ducey,9610,,,,,,,,,,,,,,
Gila,Governor,,REP,Alice Novoa,0,,,,,,,,,,,,,,
Graham,Governor,,AEL,John Lewis Mealer,90,,,,,,,,,,,,,,
Graham,Governor,,DEM,Fred DuVal,1919,,,,,,,,,,,,,,
Graham,Governor,,IND,Brian Bailey,0,,,,,,,,,,,,,,
Graham,Governor,,IND,Cary Dolego,0,,,,,,,,,,,,,,
Graham,Governor,,IND,Diana-Elizabeth R.R. Kennedy,0,,,,,,,,,,,,,,
Graham,Governor,,LBT,Barry J. Hess,269,,,,,,,,,,,,,,
Graham,Governor,,NONE,J Johnson,3,,,,,,,,,,,,,,
Graham,Governor,,NONE,Curtis Woolsey,0,,,,,,,,,,,,,,
Graham,Governor,,REP,Doug Ducey,4985,,,,,,,,,,,,,,
Graham,Governor,,REP,Alice Novoa,0,,,,,,,,,,,,,,
Greenlee,Governor,,AEL,John Lewis Mealer,29,,,,,,,,,,,,,,
Greenlee,Governor,,DEM,Fred DuVal,792,,,,,,,,,,,,,,
Greenlee,Governor,,IND,Brian Bailey,0,,,,,,,,,,,,,,
Greenlee,Governor,,IND,Cary Dolego,0,,,,,,,,,,,,,,
Greenlee,Governor,,IND,Diana-Elizabeth R.R. Kennedy,0,,,,,,,,,,,,,,
Greenlee,Governor,,LBT,Barry J. Hess,104,,,,,,,,,,,,,,
Greenlee,Governor,,NONE,J Johnson,1,,,,,,,,,,,,,,
Greenlee,Governor,,NONE,Curtis Woolsey,0,,,,,,,,,,,,,,
Greenlee,Governor,,REP,Doug Ducey,995,,,,,,,,,,,,,,
Greenlee,Governor,,REP,Alice Novoa,0,,,,,,,,,,,,,,
La Paz,Governor,,AEL,John Lewis Mealer,53,,,,,,,,,,,,,,
La Paz,Governor,,DEM,Fred DuVal,846,,,,,,,,,,,,,,
La Paz,Governor,,IND,Brian Bailey,1,,,,,,,,,,,,,,
La Paz,Governor,,IND,Cary Dolego,0,,,,,,,,,,,,,,
La Paz,Governor,,IND,Diana-Elizabeth R.R. Kennedy,0,,,,,,,,,,,,,,
La Paz,Governor,,LBT,Barry J. Hess,195,,,,,,,,,,,,,,
La Paz,Governor,,NONE,J Johnson,1,,,,,,,,,,,,,,
La Paz,Governor,,NONE,Curtis Woolsey,0,,,,,,,,,,,,,,
La Paz,Governor,,REP,Doug Ducey,2388,,,,,,,,,,,,,,
La Paz,Governor,,REP,Alice Novoa,0,,,,,,,,,,,,,,
Maricopa,Governor,,AEL,John Lewis Mealer,8167,,,,,,,,,,,,,,
Maricopa,Governor,,DEM,Fred DuVal,346879,,,,,,,,,,,,,,
Maricopa,Governor,,IND,Brian Bailey,21,,,,,,,,,,,,,,
Maricopa,Governor,,IND,Cary Dolego,20,,,,,,,,,,,,,,
Maricopa,Governor,,IND,Diana-Elizabeth R.R. Kennedy,1,,,,,,,,,,,,,,
Maricopa,Governor,,LBT,Barry J. Hess,32466,,,,,,,,,,,,,,
Maricopa,Governor,,NONE,J Johnson,998,,,,,,,,,,,,,,
Maricopa,Governor,,NONE,Curtis Woolsey,8,,,,,,,,,,,,,,
Maricopa,Governor,,REP,Doug Ducey,469200,,,,,,,,,,,,,,
Maricopa,Governor,,REP,Alice Novoa,18,,,,,,,,,,,,,,
Mohave,Governor,,AEL,John Lewis Mealer,604,,,,,,,,,,,,,,
Mohave,Governor,,DEM,Fred DuVal,10662,,,,,,,,,,,,,,
Mohave,Governor,,IND,Brian Bailey,2,,,,,,,,,,,,,,
Mohave,Governor,,IND,Cary Dolego,0,,,,,,,,,,,,,,
Mohave,Governor,,IND,Diana-Elizabeth R.R. Kennedy,0,,,,,,,,,,,,,,
Mohave,Governor,,LBT,Barry J. Hess,2242,,,,,,,,,,,,,,
Mohave,Governor,,NONE,J Johnson,11,,,,,,,,,,,,,,
Mohave,Governor,,NONE,Curtis Woolsey,0,,,,,,,,,,,,,,
Mohave,Governor,,REP,Doug Ducey,33150,,,,,,,,,,,,,,
Mohave,Governor,,REP,Alice Novoa,4,,,,,,,,,,,,,,
Navajo,Governor,,AEL,John Lewis Mealer,553,,,,,,,,,,,,,,
Navajo,Governor,,DEM,Fred DuVal,12128,,,,,,,,,,,,,,
Navajo,Governor,,IND,Brian Bailey,3,,,,,,,,,,,,,,
Navajo,Governor,,IND,Cary Dolego,1,,,,,,,,,,,,,,
Navajo,Governor,,IND,Diana-Elizabeth R.R. Kennedy,1,,,,,,,,,,,,,,
Navajo,Governor,,LBT,Barry J. Hess,1080,,,,,,,,,,,,,,
Navajo,Governor,,NONE,J Johnson,13,,,,,,,,,,,,,,
Navajo,Governor,,NONE,Curtis Woolsey,0,,,,,,,,,,,,,,
Navajo,Governor,,REP,Doug Ducey,13569,,,,,,,,,,,,,,
Navajo,Governor,,REP,Alice Novoa,1,,,,,,,,,,,,,,
Pima,Governor,,AEL,John Lewis Mealer,2312,,,,,,,,,,,,,,
Pima,Governor,,DEM,Fred DuVal,136302,,,,,,,,,,,,,,
Pima,Governor,,IND,Brian Bailey,6,,,,,,,,,,,,,,
Pima,Governor,,IND,Cary Dolego,6,,,,,,,,,,,,,,
Pima,Governor,,IND,Diana-Elizabeth R.R. Kennedy,3,,,,,,,,,,,,,,
Pima,Governor,,LBT,Barry J. Hess,8899,,,,,,,,,,,,,,
Pima,Governor,,NONE,J Johnson,164,,,,,,,,,,,,,,
Pima,Governor,,NONE,Curtis Woolsey,4,,,,,,,,,,,,,,
Pima,Governor,,REP,Doug Ducey,122966,,,,,,,,,,,,,,
Pima,Governor,,REP,Alice Novoa,8,,,,,,,,,,,,,,
Pinal,Governor,,AEL,John Lewis Mealer,832,,,,,,,,,,,,,,
Pinal,Governor,,DEM,Fred DuVal,26131,,,,,,,,,,,,,,
Pinal,Governor,,IND,Brian Bailey,0,,,,,,,,,,,,,,
Pinal,Governor,,IND,Cary Dolego,0,,,,,,,,,,,,,,
Pinal,Governor,,IND,Diana-Elizabeth R.R. Kennedy,0,,,,,,,,,,,,,,
Pinal,Governor,,LBT,Barry J. Hess,2966,,,,,,,,,,,,,,
Pinal,Governor,,NONE,J Johnson,231,,,,,,,,,,,,,,
Pinal,Governor,,NONE,Curtis Woolsey,0,,,,,,,,,,,,,,
Pinal,Governor,,REP,Doug Ducey,41313,,,,,,,,,,,,,,
Pinal,Governor,,REP,Alice Novoa,0,,,,,,,,,,,,,,
Santa Cruz,Governor,,AEL,John Lewis Mealer,90,,,,,,,,,,,,,,
Santa Cruz,Governor,,DEM,Fred DuVal,5819,,,,,,,,,,,,,,
Santa Cruz,Governor,,IND,Brian Bailey,0,,,,,,,,,,,,,,
Santa Cruz,Governor,,IND,Cary Dolego,0,,,,,,,,,,,,,,
Santa Cruz,Governor,,IND,Diana-Elizabeth R.R. Kennedy,0,,,,,,,,,,,,,,
Santa Cruz,Governor,,LBT,Barry J. Hess,239,,,,,,,,,,,,,,
Santa Cruz,Governor,,NONE,J Johnson,1,,,,,,,,,,,,,,
Santa Cruz,Governor,,NONE,Curtis Woolsey,0,,,,,,,,,,,,,,
Santa Cruz,Governor,,REP,Doug Ducey,3175,,,,,,,,,,,,,,
Santa Cruz,Governor,,REP,Alice Novoa,0,,,,,,,,,,,,,,
Yavapai,Governor,,AEL,John Lewis Mealer,820,,,,,,,,,,,,,,
Yavapai,Governor,,DEM,Fred DuVal,23210,,,,,,,,,,,,,,
Yavapai,Governor,,IND,Brian Bailey,3,,,,,,,,,,,,,,
Yavapai,Governor,,IND,Cary Dolego,0,,,,,,,,,,,,,,
Yavapai,Governor,,IND,Diana-Elizabeth R.R. Kennedy,1,,,,,,,,,,,,,,
Yavapai,Governor,,LBT,Barry J. Hess,3287,,,,,,,,,,,,,,
Yavapai,Governor,,NONE,J Johnson,26,,,,,,,,,,,,,,
Yavapai,Governor,,NONE,Curtis Woolsey,0,,,,,,,,,,,,,,
Yavapai,Governor,,REP,Doug Ducey,46806,,,,,,,,,,,,,,
Yavapai,Governor,,REP,Alice Novoa,1,,,,,,,,,,,,,,
Yuma,Governor,,AEL,John Lewis Mealer,269,,,,,,,,,,,,,,
Yuma,Governor,,DEM,Fred DuVal,10497,,,,,,,,,,,,,,
Yuma,Governor,,IND,Brian Bailey,0,,,,,,,,,,,,,,
Yuma,Governor,,IND,Cary Dolego,0,,,,,,,,,,,,,,
Yuma,Governor,,IND,Diana-Elizabeth R.R. Kennedy,0,,,,,,,,,,,,,,
Yuma,Governor,,LBT,Barry J. Hess,876,,,,,,,,,,,,,,
Yuma,Governor,,NONE,J Johnson,13,,,,,,,,,,,,,,
Yuma,Governor,,NONE,Curtis Woolsey,0,,,,,,,,,,,,,,
Yuma,Governor,,REP,Doug Ducey,14844,,,,,,,,,,,,,,
Yuma,Governor,,REP,Alice Novoa,0,,,,,,,,,,,,,,
,Governor,,AEL,John Lewis Mealer,15432,,,,,,,,,,,,,,
,Governor,,DEM,Fred DuVal,626921,,,,,,,,,,,,,,
,Governor,,IND,Brian Bailey,50,,,,,,,,,,,,,,
,Governor,,IND,Cary Dolego,29,,,,,,,,,,,,,,
,Governor,,IND,Diana-Elizabeth R.R. Kennedy,7,,,,,,,,,,,,,,
,Governor,,LBT,Barry J. Hess,57337,,,,,,,,,,,,,,
,Governor,,NONE,J Johnson,1520,,,,,,,,,,,,,,
,Governor,,NONE,Curtis Woolsey,15,,,,,,,,,,,,,,
,Governor,,REP,Doug Ducey,805062,,,,,,,,,,,,,,
,Governor,,REP,Alice Novoa,43,,,,,,,,,,,,,,
