county,office,district,party,candidate,votes,winner,,,,,,,,,,,,,,
Santa Cruz,U.S. House,3,DEM,(DEM) Raul Grijalva * ,"3,364",,,,,,,,,,,,,,,
Santa Cruz,U.S. House,3,REP,(REP) Gabby Saucedo Mercer * ,"1,160",,,,,,,,,,,,,,,
Yuma,U.S. House,3,DEM,(DEM) Raul Grijalva * ,"4,177",,,,,,,,,,,,,,,
Yuma,U.S. House,3,REP,(REP) Gabby Saucedo Mercer * ,"2,637",,,,,,,,,,,,,,,
,U.S. House,3,DEM,(DEM) Raul Grijalva * ,"28,758",TRUE,,,,,,,,,,,,,,
,U.S. House,3,REP,(REP) Gabby Saucedo Mercer * ,"18,823",TRUE,,,,,,,,,,,,,,
Gila,U.S. House,4,DEM,(DEM) Mike Weisser * ,"1,243",,,,,,,,,,,,,,,
Gila,U.S. House,4,LBT,(LBT) Chris Rike (Write-In) * ,4,,,,,,,,,,,,,,,
Gila,U.S. House,4,REP,(REP) Paul Gosar * ,"4,540",,,,,,,,,,,,,,,
La Paz,U.S. House,4,DEM,(DEM) Mike Weisser * ,398,,,,,,,,,,,,,,,
La Paz,U.S. House,4,LBT,(LBT) Chris Rike (Write-In) * ,1,,,,,,,,,,,,,,,
La Paz,U.S. House,4,REP,(REP) Paul Gosar * ,"1,320",,,,,,,,,,,,,,,
Maricopa,U.S. House,4,DEM,(DEM) Mike Weisser * ,"1,210",,,,,,,,,,,,,,,
Maricopa,U.S. House,4,LBT,(LBT) Chris Rike (Write-In) * ,1,,,,,,,,,,,,,,,
Maricopa,U.S. House,4,REP,(REP) Paul Gosar * ,"4,361",,,,,,,,,,,,,,,
Mohave,U.S. House,4,DEM,(DEM) Mike Weisser * ,"4,537",,,,,,,,,,,,,,,
Mohave,U.S. House,4,LBT,(LBT) Chris Rike (Write-In) * ,7,,,,,,,,,,,,,,,
Mohave,U.S. House,4,REP,(REP) Paul Gosar * ,"17,894",,,,,,,,,,,,,,,
Pinal,U.S. House,4,DEM,(DEM) Mike Weisser * ,"4,061",,,,,,,,,,,,,,,
Pinal,U.S. House,4,LBT,(LBT) Chris Rike (Write-In) * ,1,,,,,,,,,,,,,,,
Pinal,U.S. House,4,REP,(REP) Paul Gosar * ,"9,644",,,,,,,,,,,,,,,
Yavapai,U.S. House,4,DEM,(DEM) Mike Weisser * ,"6,646",,,,,,,,,,,,,,,
Yavapai,U.S. House,4,LBT,(LBT) Chris Rike (Write-In) * ,14,,,,,,,,,,,,,,,
Yavapai,U.S. House,4,REP,(REP) Paul Gosar * ,"23,397",,,,,,,,,,,,,,,
Yuma,U.S. House,4,DEM,(DEM) Mike Weisser * ,"1,548",,,,,,,,,,,,,,,
Yuma,U.S. House,4,LBT,(LBT) Chris Rike (Write-In) * ,1,,,,,,,,,,,,,,,
Yuma,U.S. House,4,REP,(REP) Paul Gosar * ,"4,198",,,,,,,,,,,,,,,
,U.S. House,4,DEM,(DEM) Mike Weisser * ,"19,643",TRUE,,,,,,,,,,,,,,
,U.S. House,4,LBT,(LBT) Chris Rike (Write-In) * ,29,TRUE,,,,,,,,,,,,,,
,U.S. House,4,REP,(REP) Paul Gosar * ,"65,354",TRUE,,,,,,,,,,,,,,
Maricopa,U.S. House,5,DEM,(DEM) James Woods * ,"20,249",,,,,,,,,,,,,,,
Maricopa,U.S. House,5,REP,(REP) Matt Salmon * ,"71,690",,,,,,,,,,,,,,,
,U.S. House,5,DEM,(DEM) James Woods * ,"20,249",TRUE,,,,,,,,,,,,,,
,U.S. House,5,REP,(REP) Matt Salmon * ,"71,690",TRUE,,,,,,,,,,,,,,
Maricopa,U.S. House,6,DEM,(DEM) W. John Williamson * ,"25,306",,,,,,,,,,,,,,,
Maricopa,U.S. House,6,REP,(REP) David Schweikert * ,"69,902",,,,,,,,,,,,,,,
,U.S. House,6,DEM,(DEM) W. John Williamson * ,"25,306",TRUE,,,,,,,,,,,,,,
,U.S. House,6,REP,(REP) David Schweikert * ,"69,902",TRUE,,,,,,,,,,,,,,
Maricopa,U.S. House,7,AEL,(AEL) Rebecca DeWitt (Write-In) * ,4,,,,,,,,,,,,,,,
Maricopa,U.S. House,7,DEM,(DEM) Randy Camacho ,"2,330",,,,,,,,,,,,,,,
Maricopa,U.S. House,7,DEM,(DEM) Ruben Gallego * ,"14,936",,,,,,,,,,,,,,,
Maricopa,U.S. House,7,DEM,(DEM) Jarrett Maupin ,"2,199",,,,,,,,,,,,,,,
Maricopa,U.S. House,7,DEM,(DEM) Mary Rose Wilcox ,"11,077",,,,,,,,,,,,,,,
Maricopa,U.S. House,7,LBT,(LBT) Joe Cobb * ,300,,,,,,,,,,,,,,,
,U.S. House,7,AEL,(AEL) Rebecca DeWitt (Write-In) * ,4,TRUE,,,,,,,,,,,,,,
,U.S. House,7,DEM,(DEM) Randy Camacho ,"2,330",,,,,,,,,,,,,,,
,U.S. House,7,DEM,(DEM) Ruben Gallego * ,"14,936",TRUE,,,,,,,,,,,,,,
,U.S. House,7,DEM,(DEM) Jarrett Maupin ,"2,199",,,,,,,,,,,,,,,
,U.S. House,7,DEM,(DEM) Mary Rose Wilcox ,"11,077",,,,,,,,,,,,,,,
,U.S. House,7,LBT,(LBT) Joe Cobb * ,300,TRUE,,,,,,,,,,,,,,
Maricopa,U.S. House,8,AEL,(AEL) Stephen Dolgos (Write-In) * ,2,,,,,,,,,,,,,,,
Maricopa,U.S. House,8,REP,(REP) Trent Franks * ,"53,771",,,,,,,,,,,,,,,
Maricopa,U.S. House,8,REP,(REP) Clair Van Steenwyk ,"19,629",,,,,,,,,,,,,,,
,U.S. House,8,AEL,(AEL) Stephen Dolgos (Write-In) * ,2,TRUE,,,,,,,,,,,,,,
,U.S. House,8,REP,(REP) Trent Franks * ,"53,771",TRUE,,,,,,,,,,,,,,
,U.S. House,8,REP,(REP) Clair Van Steenwyk ,"19,629",,,,,,,,,,,,,,,
Maricopa,U.S. House,9,DEM,(DEM) Kyrsten Sinema * ,"31,900",,,,,,,,,,,,,,,
Maricopa,U.S. House,9,LBT,(LBT) Powell Gammill (Write-In) * ,52,,,,,,,,,,,,,,,
Maricopa,U.S. House,9,REP,(REP) Wendy Rogers * ,"30,484",,,,,,,,,,,,,,,
Maricopa,U.S. House,9,REP,(REP) Andrew Walter ,"19,808",,,,,,,,,,,,,,,
,U.S. House,9,DEM,(DEM) Kyrsten Sinema * ,"31,900",TRUE,,,,,,,,,,,,,,
,U.S. House,9,LBT,(LBT) Powell Gammill (Write-In) * ,52,TRUE,,,,,,,,,,,,,,
,U.S. House,9,REP,(REP) Wendy Rogers * ,"30,484",TRUE,,,,,,,,,,,,,,
,U.S. House,9,REP,(REP) Andrew Walter ,"19,808",,,,,,,,,,,,,,,
Apache ,Governor,,AEL,(AEL) John Lewis Mealer * ,45,,,,,,,,,,,,,,,
Apache ,Governor,,AEL,(AEL) Janelle Wood (Write-In) ,0,,,,,,,,,,,,,,,
Apache ,Governor,,DEM,(DEM) Fred DuVal * ,"9,345",,,,,,,,,,,,,,,
Apache ,Governor,,LBT,(LBT) Barry J. Hess * ,43,,,,,,,,,,,,,,,
Apache ,Governor,,REP,(REP) Mike Aloisi (Write-In) ,3,,,,,,,,,,,,,,,
Apache ,Governor,,REP,(REP) Ken Bennett ,427,,,,,,,,,,,,,,,
Apache ,Governor,,REP,(REP) Doug Ducey * ,984,,,,,,,,,,,,,,,
Apache ,Governor,,REP,(REP) Christine Jones ,"1,054",,,,,,,,,,,,,,,
Apache ,Governor,,REP,(REP) Alice Lukasik (Write-In) ,0,,,,,,,,,,,,,,,
Apache ,Governor,,REP,(REP) Frank Riggs ,269,,,,,,,,,,,,,,,
Apache ,Governor,,REP,(REP) Scott Smith ,568,,,,,,,,,,,,,,,
Apache ,Governor,,REP,(REP) Andrew P. Thomas ,347,,,,,,,,,,,,,,,
Cochise ,Governor,,AEL,(AEL) John Lewis Mealer * ,10,,,,,,,,,,,,,,,
Cochise ,Governor,,AEL,(AEL) Janelle Wood (Write-In) ,3,,,,,,,,,,,,,,,
Cochise ,Governor,,DEM,(DEM) Fred DuVal * ,"6,505",,,,,,,,,,,,,,,
Cochise ,Governor,,LBT,(LBT) Barry J. Hess * ,91,,,,,,,,,,,,,,,
Cochise ,Governor,,REP,(REP) Mike Aloisi (Write-In) ,0,,,,,,,,,,,,,,,
Cochise ,Governor,,REP,(REP) Ken Bennett ,"1,183",,,,,,,,,,,,,,,
Cochise ,Governor,,REP,(REP) Doug Ducey * ,"6,166",,,,,,,,,,,,,,,
Cochise ,Governor,,REP,(REP) Christine Jones ,"2,901",,,,,,,,,,,,,,,
Cochise ,Governor,,REP,(REP) Alice Lukasik (Write-In) ,2,,,,,,,,,,,,,,,
Cochise ,Governor,,REP,(REP) Frank Riggs ,839,,,,,,,,,,,,,,,
Cochise ,Governor,,REP,(REP) Scott Smith ,"1,908",,,,,,,,,,,,,,,
Cochise ,Governor,,REP,(REP) Andrew P. Thomas ,700,,,,,,,,,,,,,,,
Coconino ,Governor,,AEL,(AEL) John Lewis Mealer * ,24,,,,,,,,,,,,,,,
Coconino ,Governor,,AEL,(AEL) Janelle Wood (Write-In) ,2,,,,,,,,,,,,,,,
Coconino ,Governor,,DEM,(DEM) Fred DuVal * ,"10,053",,,,,,,,,,,,,,,
Coconino ,Governor,,LBT,(LBT) Barry J. Hess * ,136,,,,,,,,,,,,,,,
Coconino ,Governor,,REP,(REP) Mike Aloisi (Write-In) ,0,,,,,,,,,,,,,,,
Coconino ,Governor,,REP,(REP) Ken Bennett ,"1,310",,,,,,,,,,,,,,,
Coconino ,Governor,,REP,(REP) Doug Ducey * ,"2,898",,,,,,,,,,,,,,,
Coconino ,Governor,,REP,(REP) Christine Jones ,"1,934",,,,,,,,,,,,,,,
Coconino ,Governor,,REP,(REP) Alice Lukasik (Write-In) ,0,,,,,,,,,,,,,,,
Coconino ,Governor,,REP,(REP) Frank Riggs ,534,,,,,,,,,,,,,,,
Coconino ,Governor,,REP,(REP) Scott Smith ,"1,241",,,,,,,,,,,,,,,
Coconino ,Governor,,REP,(REP) Andrew P. Thomas ,601,,,,,,,,,,,,,,,
Gila ,Governor,,AEL,(AEL) John Lewis Mealer * ,16,,,,,,,,,,,,,,,
Gila ,Governor,,AEL,(AEL) Janelle Wood (Write-In) ,0,,,,,,,,,,,,,,,
Gila ,Governor,,DEM,(DEM) Fred DuVal * ,"3,124",,,,,,,,,,,,,,,
Gila ,Governor,,LBT,(LBT) Barry J. Hess * ,34,,,,,,,,,,,,,,,
Gila ,Governor,,REP,(REP) Mike Aloisi (Write-In) ,0,,,,,,,,,,,,,,,
Gila ,Governor,,REP,(REP) Ken Bennett ,813,,,,,,,,,,,,,,,
Gila ,Governor,,REP,(REP) Doug Ducey * ,"2,456",,,,,,,,,,,,,,,
Gila ,Governor,,REP,(REP) Christine Jones ,"1,403",,,,,,,,,,,,,,,
Gila ,Governor,,REP,(REP) Alice Lukasik (Write-In) ,0,,,,,,,,,,,,,,,
Gila ,Governor,,REP,(REP) Frank Riggs ,495,,,,,,,,,,,,,,,
Gila ,Governor,,REP,(REP) Scott Smith ,"1,161",,,,,,,,,,,,,,,
Gila ,Governor,,REP,(REP) Andrew P. Thomas ,625,,,,,,,,,,,,,,,
Graham ,Governor,,AEL,(AEL) John Lewis Mealer * ,5,,,,,,,,,,,,,,,
Graham ,Governor,,AEL,(AEL) Janelle Wood (Write-In) ,0,,,,,,,,,,,,,,,
Graham ,Governor,,DEM,(DEM) Fred DuVal * ,"1,187",,,,,,,,,,,,,,,
Graham ,Governor,,LBT,(LBT) Barry J. Hess * ,9,,,,,,,,,,,,,,,
Graham ,Governor,,REP,(REP) Mike Aloisi (Write-In) ,0,,,,,,,,,,,,,,,
Graham ,Governor,,REP,(REP) Ken Bennett ,465,,,,,,,,,,,,,,,
Graham ,Governor,,REP,(REP) Doug Ducey * ,"1,140",,,,,,,,,,,,,,,
Graham ,Governor,,REP,(REP) Christine Jones ,553,,,,,,,,,,,,,,,
Graham ,Governor,,REP,(REP) Alice Lukasik (Write-In) ,0,,,,,,,,,,,,,,,
Graham ,Governor,,REP,(REP) Frank Riggs ,221,,,,,,,,,,,,,,,
Graham ,Governor,,REP,(REP) Scott Smith ,702,,,,,,,,,,,,,,,
Graham ,Governor,,REP,(REP) Andrew P. Thomas ,254,,,,,,,,,,,,,,,
Greenlee ,Governor,,AEL,(AEL) John Lewis Mealer * ,0,,,,,,,,,,,,,,,
Greenlee ,Governor,,AEL,(AEL) Janelle Wood (Write-In) ,0,,,,,,,,,,,,,,,
Greenlee ,Governor,,DEM,(DEM) Fred DuVal * ,620,,,,,,,,,,,,,,,
Greenlee ,Governor,,LBT,(LBT) Barry J. Hess * ,3,,,,,,,,,,,,,,,
Greenlee ,Governor,,REP,(REP) Mike Aloisi (Write-In) ,0,,,,,,,,,,,,,,,
Greenlee ,Governor,,REP,(REP) Ken Bennett ,77,,,,,,,,,,,,,,,
Greenlee ,Governor,,REP,(REP) Doug Ducey * ,158,,,,,,,,,,,,,,,
Greenlee ,Governor,,REP,(REP) Christine Jones ,134,,,,,,,,,,,,,,,
Greenlee ,Governor,,REP,(REP) Alice Lukasik (Write-In) ,0,,,,,,,,,,,,,,,
Greenlee ,Governor,,REP,(REP) Frank Riggs ,48,,,,,,,,,,,,,,,
Greenlee ,Governor,,REP,(REP) Scott Smith ,62,,,,,,,,,,,,,,,
Greenlee ,Governor,,REP,(REP) Andrew P. Thomas ,36,,,,,,,,,,,,,,,
La Paz ,Governor,,AEL,(AEL) John Lewis Mealer * ,2,,,,,,,,,,,,,,,
La Paz ,Governor,,AEL,(AEL) Janelle Wood (Write-In) ,1,,,,,,,,,,,,,,,
La Paz ,Governor,,DEM,(DEM) Fred DuVal * ,411,,,,,,,,,,,,,,,
La Paz ,Governor,,LBT,(LBT) Barry J. Hess * ,9,,,,,,,,,,,,,,,
La Paz ,Governor,,REP,(REP) Mike Aloisi (Write-In) ,0,,,,,,,,,,,,,,,
La Paz ,Governor,,REP,(REP) Ken Bennett ,189,,,,,,,,,,,,,,,
La Paz ,Governor,,REP,(REP) Doug Ducey * ,640,,,,,,,,,,,,,,,
La Paz ,Governor,,REP,(REP) Christine Jones ,472,,,,,,,,,,,,,,,
La Paz ,Governor,,REP,(REP) Alice Lukasik (Write-In) ,0,,,,,,,,,,,,,,,
La Paz ,Governor,,REP,(REP) Frank Riggs ,95,,,,,,,,,,,,,,,
La Paz ,Governor,,REP,(REP) Scott Smith ,176,,,,,,,,,,,,,,,
La Paz ,Governor,,REP,(REP) Andrew P. Thomas ,130,,,,,,,,,,,,,,,
Maricopa ,Governor,,AEL,(AEL) John Lewis Mealer * ,391,,,,,,,,,,,,,,,
Maricopa ,Governor,,AEL,(AEL) Janelle Wood (Write-In) ,23,,,,,,,,,,,,,,,
Maricopa ,Governor,,DEM,(DEM) Fred DuVal * ,"136,868",,,,,,,,,,,,,,,
Maricopa ,Governor,,LBT,(LBT) Barry J. Hess * ,"2,385",,,,,,,,,,,,,,,
Maricopa ,Governor,,REP,(REP) Mike Aloisi (Write-In) ,15,,,,,,,,,,,,,,,
Maricopa ,Governor,,REP,(REP) Ken Bennett ,"34,731",,,,,,,,,,,,,,,
Maricopa ,Governor,,REP,(REP) Doug Ducey * ,"117,548",,,,,,,,,,,,,,,
Maricopa ,Governor,,REP,(REP) Christine Jones ,"47,263",,,,,,,,,,,,,,,
Maricopa ,Governor,,REP,(REP) Alice Lukasik (Write-In) ,14,,,,,,,,,,,,,,,
Maricopa ,Governor,,REP,(REP) Frank Riggs ,"11,969",,,,,,,,,,,,,,,
Maricopa ,Governor,,REP,(REP) Scott Smith ,"84,421",,,,,,,,,,,,,,,
Maricopa ,Governor,,REP,(REP) Andrew P. Thomas ,"30,112",,,,,,,,,,,,,,,
Mohave ,Governor,,AEL,(AEL) John Lewis Mealer * ,40,,,,,,,,,,,,,,,
Mohave ,Governor,,AEL,(AEL) Janelle Wood (Write-In) ,2,,,,,,,,,,,,,,,
Mohave ,Governor,,DEM,(DEM) Fred DuVal * ,"4,768",,,,,,,,,,,,,,,
Mohave ,Governor,,LBT,(LBT) Barry J. Hess * ,153,,,,,,,,,,,,,,,
Mohave ,Governor,,REP,(REP) Mike Aloisi (Write-In) ,1,,,,,,,,,,,,,,,
Mohave ,Governor,,REP,(REP) Ken Bennett ,"1,844",,,,,,,,,,,,,,,
Mohave ,Governor,,REP,(REP) Doug Ducey * ,"9,363",,,,,,,,,,,,,,,
Mohave ,Governor,,REP,(REP) Christine Jones ,"5,449",,,,,,,,,,,,,,,
Mohave ,Governor,,REP,(REP) Alice Lukasik (Write-In) ,1,,,,,,,,,,,,,,,
Mohave ,Governor,,REP,(REP) Frank Riggs ,982,,,,,,,,,,,,,,,
Mohave ,Governor,,REP,(REP) Scott Smith ,"2,457",,,,,,,,,,,,,,,
Mohave ,Governor,,REP,(REP) Andrew P. Thomas ,"1,551",,,,,,,,,,,,,,,
Navajo ,Governor,,AEL,(AEL) John Lewis Mealer * ,55,,,,,,,,,,,,,,,
Navajo ,Governor,,AEL,(AEL) Janelle Wood (Write-In) ,3,,,,,,,,,,,,,,,
Navajo ,Governor,,DEM,(DEM) Fred DuVal * ,"6,722",,,,,,,,,,,,,,,
Navajo ,Governor,,LBT,(LBT) Barry J. Hess * ,75,,,,,,,,,,,,,,,
Navajo ,Governor,,REP,(REP) Mike Aloisi (Write-In) ,1,,,,,,,,,,,,,,,
Navajo ,Governor,,REP,(REP) Ken Bennett ,927,,,,,,,,,,,,,,,
Navajo ,Governor,,REP,(REP) Doug Ducey * ,"2,962",,,,,,,,,,,,,,,
Navajo ,Governor,,REP,(REP) Christine Jones ,"1,706",,,,,,,,,,,,,,,
Navajo ,Governor,,REP,(REP) Alice Lukasik (Write-In) ,0,,,,,,,,,,,,,,,
Navajo ,Governor,,REP,(REP) Frank Riggs ,573,,,,,,,,,,,,,,,
Navajo ,Governor,,REP,(REP) Scott Smith ,"1,554",,,,,,,,,,,,,,,
Navajo ,Governor,,REP,(REP) Andrew P. Thomas ,740,,,,,,,,,,,,,,,
Pima ,Governor,,AEL,(AEL) John Lewis Mealer * ,17,,,,,,,,,,,,,,,
Pima ,Governor,,AEL,(AEL) Janelle Wood (Write-In) ,4,,,,,,,,,,,,,,,
Pima ,Governor,,DEM,(DEM) Fred DuVal * ,"61,646",,,,,,,,,,,,,,,
Pima ,Governor,,LBT,(LBT) Barry J. Hess * ,625,,,,,,,,,,,,,,,
Pima ,Governor,,REP,(REP) Mike Aloisi (Write-In) ,5,,,,,,,,,,,,,,,
Pima ,Governor,,REP,(REP) Ken Bennett ,"6,515",,,,,,,,,,,,,,,
Pima ,Governor,,REP,(REP) Doug Ducey * ,"33,624",,,,,,,,,,,,,,,
Pima ,Governor,,REP,(REP) Christine Jones ,"13,669",,,,,,,,,,,,,,,
Pima ,Governor,,REP,(REP) Alice Lukasik (Write-In) ,5,,,,,,,,,,,,,,,
Pima ,Governor,,REP,(REP) Frank Riggs ,"4,471",,,,,,,,,,,,,,,
Pima ,Governor,,REP,(REP) Scott Smith ,"14,570",,,,,,,,,,,,,,,
Pima ,Governor,,REP,(REP) Andrew P. Thomas ,"3,338",,,,,,,,,,,,,,,
Pinal ,Governor,,AEL,(AEL) John Lewis Mealer * ,47,,,,,,,,,,,,,,,
Pinal ,Governor,,AEL,(AEL) Janelle Wood (Write-In) ,0,,,,,,,,,,,,,,,
Pinal ,Governor,,DEM,(DEM) Fred DuVal * ,"12,831",,,,,,,,,,,,,,,
Pinal ,Governor,,LBT,(LBT) Barry J. Hess * ,161,,,,,,,,,,,,,,,
Pinal ,Governor,,REP,(REP) Mike Aloisi (Write-In) ,0,,,,,,,,,,,,,,,
Pinal ,Governor,,REP,(REP) Ken Bennett ,"2,644",,,,,,,,,,,,,,,
Pinal ,Governor,,REP,(REP) Doug Ducey * ,"9,289",,,,,,,,,,,,,,,
Pinal ,Governor,,REP,(REP) Christine Jones ,"5,357",,,,,,,,,,,,,,,
Pinal ,Governor,,REP,(REP) Alice Lukasik (Write-In) ,0,,,,,,,,,,,,,,,
Pinal ,Governor,,REP,(REP) Frank Riggs ,"1,436",,,,,,,,,,,,,,,
Pinal ,Governor,,REP,(REP) Scott Smith ,"4,689",,,,,,,,,,,,,,,
Pinal ,Governor,,REP,(REP) Andrew P. Thomas ,"1,848",,,,,,,,,,,,,,,
Santa Cruz ,Governor,,AEL,(AEL) John Lewis Mealer * ,5,,,,,,,,,,,,,,,
Santa Cruz ,Governor,,AEL,(AEL) Janelle Wood (Write-In) ,0,,,,,,,,,,,,,,,
Santa Cruz ,Governor,,DEM,(DEM) Fred DuVal * ,"2,932",,,,,,,,,,,,,,,
Santa Cruz ,Governor,,LBT,(LBT) Barry J. Hess * ,10,,,,,,,,,,,,,,,
Santa Cruz ,Governor,,REP,(REP) Mike Aloisi (Write-In) ,0,,,,,,,,,,,,,,,
Santa Cruz ,Governor,,REP,(REP) Ken Bennett ,148,,,,,,,,,,,,,,,
Santa Cruz ,Governor,,REP,(REP) Doug Ducey * ,804,,,,,,,,,,,,,,,
Santa Cruz ,Governor,,REP,(REP) Christine Jones ,239,,,,,,,,,,,,,,,
