county,office,district,party,candidate,votes,winner,write-in,,,,,,,,,,,,,,
Mohave,President,,LBT,Gary Johnson,"1,070",,,,,,,,,,,,,,,,
Navajo,President,,LBT,Gary Johnson,399,,,,,,,,,,,,,,,,
Pima,President,,LBT,Gary Johnson,"4,366",,,,,,,,,,,,,,,,
Pinal,President,,LBT,Gary Johnson,"1,568",,,,,,,,,,,,,,,,
Santa Cruz,President,,LBT,Gary Johnson,108,,,,,,,,,,,,,,,,
Yavapai,President,,LBT,Gary Johnson,"1,450",,,,,,,,,,,,,,,,
Yuma,President,,LBT,Gary Johnson,433,,,,,,,,,,,,,,,,
,President,,LBT,Gary Johnson,"32,100",,,,,,,,,,,,,,,,
Apache,President,,NONE,Jill Reed,0,,TRUE,,,,,,,,,,,,,,
Cochise,President,,NONE,Jill Reed,2,,TRUE,,,,,,,,,,,,,,
Coconino,President,,NONE,Jill Reed,0,,TRUE,,,,,,,,,,,,,,
Gila,President,,NONE,Jill Reed,0,,TRUE,,,,,,,,,,,,,,
Graham,President,,NONE,Jill Reed,0,,TRUE,,,,,,,,,,,,,,
Greenlee,President,,NONE,Jill Reed,0,,TRUE,,,,,,,,,,,,,,
La Paz,President,,NONE,Jill Reed,0,,TRUE,,,,,,,,,,,,,,
Maricopa,President,,NONE,Jill Reed,8,,TRUE,,,,,,,,,,,,,,
Mohave,President,,NONE,Jill Reed,2,,TRUE,,,,,,,,,,,,,,
Navajo,President,,NONE,Jill Reed,0,,TRUE,,,,,,,,,,,,,,
Pima,President,,NONE,Jill Reed,3,,TRUE,,,,,,,,,,,,,,
Pinal,President,,NONE,Jill Reed,0,,TRUE,,,,,,,,,,,,,,
Santa Cruz,President,,NONE,Jill Reed,0,,TRUE,,,,,,,,,,,,,,
Yavapai,President,,NONE,Jill Reed,2,,TRUE,,,,,,,,,,,,,,
Yuma,President,,NONE,Jill Reed,0,,TRUE,,,,,,,,,,,,,,
,President,,NONE,Jill Reed,17,,TRUE,,,,,,,,,,,,,,
Apache,President,,NONE,"Sheila ""Samm"" Tittle",0,,TRUE,,,,,,,,,,,,,,
Cochise,President,,NONE,"Sheila ""Samm"" Tittle",1,,TRUE,,,,,,,,,,,,,,
Coconino,President,,NONE,"Sheila ""Samm"" Tittle",0,,TRUE,,,,,,,,,,,,,,
Gila,President,,NONE,"Sheila ""Samm"" Tittle",0,,TRUE,,,,,,,,,,,,,,
Graham,President,,NONE,"Sheila ""Samm"" Tittle",0,,TRUE,,,,,,,,,,,,,,
Greenlee,President,,NONE,"Sheila ""Samm"" Tittle",0,,TRUE,,,,,,,,,,,,,,
La Paz,President,,NONE,"Sheila ""Samm"" Tittle",0,,TRUE,,,,,,,,,,,,,,
Maricopa,President,,NONE,"Sheila ""Samm"" Tittle",0,,TRUE,,,,,,,,,,,,,,
Mohave,President,,NONE,"Sheila ""Samm"" Tittle",1,,TRUE,,,,,,,,,,,,,,
Navajo,President,,NONE,"Sheila ""Samm"" Tittle",0,,TRUE,,,,,,,,,,,,,,
Pima,President,,NONE,"Sheila ""Samm"" Tittle",4,,TRUE,,,,,,,,,,,,,,
Pinal,President,,NONE,"Sheila ""Samm"" Tittle",0,,TRUE,,,,,,,,,,,,,,
Santa Cruz,President,,NONE,"Sheila ""Samm"" Tittle",0,,TRUE,,,,,,,,,,,,,,
Yavapai,President,,NONE,"Sheila ""Samm"" Tittle",0,,TRUE,,,,,,,,,,,,,,
Yuma,President,,NONE,"Sheila ""Samm"" Tittle",0,,TRUE,,,,,,,,,,,,,,
,President,,NONE,"Sheila ""Samm"" Tittle",6,,TRUE,,,,,,,,,,,,,,
Apache,President,,REP,Mitt Romney,"8,250",,,,,,,,,,,,,,,,
Cochise,President,,REP,Mitt Romney,"29,497",,,,,,,,,,,,,,,,
Coconino,President,,REP,Mitt Romney,"21,220",,,,,,,,,,,,,,,,
Gila,President,,REP,Mitt Romney,"13,455",,,,,,,,,,,,,,,,
Graham,President,,REP,Mitt Romney,"8,076",,,,,,,,,,,,,,,,
Greenlee,President,,REP,Mitt Romney,"1,592",,,,,,,,,,,,,,,,
La Paz,President,,REP,Mitt Romney,"3,714",,,,,,,,,,,,,,,,
Maricopa,President,,REP,Mitt Romney,"749,885",,,,,,,,,,,,,,,,
Mohave,President,,REP,Mitt Romney,"49,168",,,,,,,,,,,,,,,,
Navajo,President,,REP,Mitt Romney,"19,884",,,,,,,,,,,,,,,,
Pima,President,,REP,Mitt Romney,"174,779",,,,,,,,,,,,,,,,
Pinal,President,,REP,Mitt Romney,"62,079",,,,,,,,,,,,,,,,
Santa Cruz,President,,REP,Mitt Romney,"4,235",,,,,,,,,,,,,,,,
Yavapai,President,,REP,Mitt Romney,"64,468",,,,,,,,,,,,,,,,
Yuma,President,,REP,Mitt Romney,"23,352",,,,,,,,,,,,,,,,
,President,,REP,Mitt Romney,"1,233,654",TRUE,,,,,,,,,,,,,,,
Apache,President,,IAP,Will Christensen,0,,TRUE,,,,,,,,,,,,,,
Cochise,President,,IAP,Will Christensen,0,,TRUE,,,,,,,,,,,,,,
Coconino,President,,IAP,Will Christensen,0,,TRUE,,,,,,,,,,,,,,
Gila,President,,IAP,Will Christensen,1,,TRUE,,,,,,,,,,,,,,
Graham,President,,IAP,Will Christensen,0,,TRUE,,,,,,,,,,,,,,
Greenlee,President,,IAP,Will Christensen,0,,TRUE,,,,,,,,,,,,,,
La Paz,President,,IAP,Will Christensen,0,,TRUE,,,,,,,,,,,,,,
Maricopa,President,,IAP,Will Christensen,5,,TRUE,,,,,,,,,,,,,,
Mohave,President,,IAP,Will Christensen,6,,TRUE,,,,,,,,,,,,,,
Navajo,President,,IAP,Will Christensen,0,,TRUE,,,,,,,,,,,,,,
Pima,President,,IAP,Will Christensen,0,,TRUE,,,,,,,,,,,,,,
Pinal,President,,IAP,Will Christensen,0,,TRUE,,,,,,,,,,,,,,
Santa Cruz,President,,IAP,Will Christensen,0,,TRUE,,,,,,,,,,,,,,
Yavapai,President,,IAP,Will Christensen,2,,TRUE,,,,,,,,,,,,,,
Yuma,President,,IAP,Will Christensen,0,,TRUE,,,,,,,,,,,,,,
,President,,IAP,Will Christensen,14,,TRUE,,,,,,,,,,,,,,
Apache,President,,DEM,Richard Carmona,"16,455",,,,,,,,,,,,,,,,
Cochise,President,,DEM,Richard Carmona,"19,736",,,,,,,,,,,,,,,,
Coconino,President,,DEM,Richard Carmona,"28,723",,,,,,,,,,,,,,,,
Gila,President,,DEM,Richard Carmona,"8,099",,,,,,,,,,,,,,,,
Graham,President,,DEM,Richard Carmona,"3,771",,,,,,,,,,,,,,,,
Greenlee,President,,DEM,Richard Carmona,"1,342",,,,,,,,,,,,,,,,
La Paz,President,,DEM,Richard Carmona,"1,961",,,,,,,,,,,,,,,,
Maricopa,President,,DEM,Richard Carmona,"602,809",,,,,,,,,,,,,,,,
Mohave,President,,DEM,Richard Carmona,"20,865",,,,,,,,,,,,,,,,
Navajo,President,,DEM,Richard Carmona,"16,881",,,,,,,,,,,,,,,,
Pima,President,,DEM,Richard Carmona,"207,578",,,,,,,,,,,,,,,,
Pinal,President,,DEM,Richard Carmona,"45,558",,,,,,,,,,,,,,,,
Santa Cruz,President,,DEM,Richard Carmona,"9,454",,,,,,,,,,,,,,,,
Yavapai,President,,DEM,Richard Carmona,"34,902",,,,,,,,,,,,,,,,
Yuma,President,,DEM,Richard Carmona,"18,408",,,,,,,,,,,,,,,,
,President,,DEM,Richard Carmona,"1,036,542",,,,,,,,,,,,,,,,
Apache,U.S. Senate,,IND,Don Manspeaker,0,,TRUE,,,,,,,,,,,,,,
Cochise,U.S. Senate,,IND,Don Manspeaker,6,,TRUE,,,,,,,,,,,,,,
Coconino,U.S. Senate,,IND,Don Manspeaker,2,,TRUE,,,,,,,,,,,,,,
Gila,U.S. Senate,,IND,Don Manspeaker,1,,TRUE,,,,,,,,,,,,,,
Graham,U.S. Senate,,IND,Don Manspeaker,0,,TRUE,,,,,,,,,,,,,,
Greenlee,U.S. Senate,,IND,Don Manspeaker,0,,TRUE,,,,,,,,,,,,,,
La Paz,U.S. Senate,,IND,Don Manspeaker,0,,TRUE,,,,,,,,,,,,,,
Maricopa,U.S. Senate,,IND,Don Manspeaker,10,,TRUE,,,,,,,,,,,,,,
Mohave,U.S. Senate,,IND,Don Manspeaker,0,,TRUE,,,,,,,,,,,,,,
Navajo,U.S. Senate,,IND,Don Manspeaker,0,,TRUE,,,,,,,,,,,,,,
Pima,U.S. Senate,,IND,Don Manspeaker,5,,TRUE,,,,,,,,,,,,,,
Pinal,U.S. Senate,,IND,Don Manspeaker,0,,TRUE,,,,,,,,,,,,,,
Santa Cruz,U.S. Senate,,IND,Don Manspeaker,0,,TRUE,,,,,,,,,,,,,,
Yavapai,U.S. Senate,,IND,Don Manspeaker,0,,TRUE,,,,,,,,,,,,,,
Yuma,U.S. Senate,,IND,Don Manspeaker,0,,TRUE,,,,,,,,,,,,,,
,U.S. Senate,,IND,Don Manspeaker,24,,TRUE,,,,,,,,,,,,,,
Apache,U.S. Senate,,IND,Steven Watts,0,,TRUE,,,,,,,,,,,,,,
Cochise,U.S. Senate,,IND,Steven Watts,5,,TRUE,,,,,,,,,,,,,,
Coconino,U.S. Senate,,IND,Steven Watts,8,,TRUE,,,,,,,,,,,,,,
Gila,U.S. Senate,,IND,Steven Watts,4,,TRUE,,,,,,,,,,,,,,
Graham,U.S. Senate,,IND,Steven Watts,4,,TRUE,,,,,,,,,,,,,,
Greenlee,U.S. Senate,,IND,Steven Watts,0,,TRUE,,,,,,,,,,,,,,
La Paz,U.S. Senate,,IND,Steven Watts,0,,TRUE,,,,,,,,,,,,,,
Maricopa,U.S. Senate,,IND,Steven Watts,201,,TRUE,,,,,,,,,,,,,,
Mohave,U.S. Senate,,IND,Steven Watts,10,,TRUE,,,,,,,,,,,,,,
Navajo,U.S. Senate,,IND,Steven Watts,3,,TRUE,,,,,,,,,,,,,,
Pima,U.S. Senate,,IND,Steven Watts,29,,TRUE,,,,,,,,,,,,,,
Pinal,U.S. Senate,,IND,Steven Watts,8,,TRUE,,,,,,,,,,,,,,
Santa Cruz,U.S. Senate,,IND,Steven Watts,0,,TRUE,,,,,,,,,,,,,,
Yavapai,U.S. Senate,,IND,Steven Watts,17,,TRUE,,,,,,,,,,,,,,
Yuma,U.S. Senate,,IND,Steven Watts,1,,TRUE,,,,,,,,,,,,,,
,U.S. Senate,,IND,Steven Watts,290,,TRUE,,,,,,,,,,,,,,
Apache,U.S. Senate,,LBT,Marc Victor,"1,097",,,,,,,,,,,,,,,,
Cochise,U.S. Senate,,LBT,Marc Victor,"2,266",,,,,,,,,,,,,,,,
Coconino,U.S. Senate,,LBT,Marc Victor,"2,580",,,,,,,,,,,,,,,,
Gila,U.S. Senate,,LBT,Marc Victor,"1,135",,,,,,,,,,,,,,,,
Graham,U.S. Senate,,LBT,Marc Victor,570,,,,,,,,,,,,,,,,
Greenlee,U.S. Senate,,LBT,Marc Victor,205,,,,,,,,,,,,,,,,
La Paz,U.S. Senate,,LBT,Marc Victor,426,,,,,,,,,,,,,,,,
Maricopa,U.S. Senate,,LBT,Marc Victor,"62,546",,,,,,,,,,,,,,,,
Mohave,U.S. Senate,,LBT,Marc Victor,"4,822",,,,,,,,,,,,,,,,
Navajo,U.S. Senate,,LBT,Marc Victor,"1,631",,,,,,,,,,,,,,,,
Pima,U.S. Senate,,LBT,Marc Victor,"12,304",,,,,,,,,,,,,,,,
Pinal,U.S. Senate,,LBT,Marc Victor,"5,885",,,,,,,,,,,,,,,,
Santa Cruz,U.S. Senate,,LBT,Marc Victor,437,,,,,,,,,,,,,,,,
Yavapai,U.S. Senate,,LBT,Marc Victor,"5,114",,,,,,,,,,,,,,,,
Yuma,U.S. Senate,,LBT,Marc Victor,"1,091",,,,,,,,,,,,,,,,
,U.S. Senate,,LBT,Marc Victor,"102,109",,,,,,,,,,,,,,,,
Apache,U.S. Senate,,REP,Jeff Flake,"7,680",,,,,,,,,,,,,,,,
Cochise,U.S. Senate,,REP,Jeff Flake,"26,208",,,,,,,,,,,,,,,,
Coconino,U.S. Senate,,REP,Jeff Flake,"19,334",,,,,,,,,,,,,,,,
Gila,U.S. Senate,,REP,Jeff Flake,"11,954",,,,,,,,,,,,,,,,
Graham,U.S. Senate,,REP,Jeff Flake,"7,352",,,,,,,,,,,,,,,,
Greenlee,U.S. Senate,,REP,Jeff Flake,"1,365",,,,,,,,,,,,,,,,
La Paz,U.S. Senate,,REP,Jeff Flake,"3,120",,,,,,,,,,,,,,,,
Maricopa,U.S. Senate,,REP,Jeff Flake,"675,500",,,,,,,,,,,,,,,,
Mohave,U.S. Senate,,REP,Jeff Flake,"42,410",,,,,,,,,,,,,,,,
Navajo,U.S. Senate,,REP,Jeff Flake,"18,228",,,,,,,,,,,,,,,,
Pima,U.S. Senate,,REP,Jeff Flake,"153,846",,,,,,,,,,,,,,,,
Pinal,U.S. Senate,,REP,Jeff Flake,"55,008",,,,,,,,,,,,,,,,
Santa Cruz,U.S. Senate,,REP,Jeff Flake,"3,617",,,,,,,,,,,,,,,,
Yavapai,U.S. Senate,,REP,Jeff Flake,"57,838",,,,,,,,,,,,,,,,
Yuma,U.S. Senate,,REP,Jeff Flake,"20,997",,,,,,,,,,,,,,,,
,U.S. Senate,,REP,Jeff Flake,"1,104,457",TRUE,,,,,,,,,,,,,,,
Apache,U.S. House,1,DEM,Ann Kirkpatrick,"17,456",,,,,,,,,,,,,,,,
Coconino,U.S. House,1,DEM,Ann Kirkpatrick,"28,627",,,,,,,,,,,,,,,,
Gila,U.S. House,1,DEM,Ann Kirkpatrick,"4,330",,,,,,,,,,,,,,,,
Graham,U.S. House,1,DEM,Ann Kirkpatrick,"3,812",,,,,,,,,,,,,,,,
Greenlee,U.S. House,1,DEM,Ann Kirkpatrick,"1,323",,,,,,,,,,,,,,,,
Maricopa,U.S. House,1,DEM,Ann Kirkpatrick,245,,,,,,,,,,,,,,,,
Mohave,U.S. House,1,DEM,Ann Kirkpatrick,195,,,,,,,,,,,,,,,,
Navajo,U.S. House,1,DEM,Ann Kirkpatrick,"17,252",,,,,,,,,,,,,,,,
Pima,U.S. House,1,DEM,Ann Kirkpatrick,"18,849",,,,,,,,,,,,,,,,
Pinal,U.S. House,1,DEM,Ann Kirkpatrick,"24,438",,,,,,,,,,,,,,,,
Yavapai,U.S. House,1,DEM,Ann Kirkpatrick,"6,247",,,,,,,,,,,,,,,,
,U.S. House,1,DEM,Ann Kirkpatrick,"122,774",TRUE,,,,,,,,,,,,,,,
Apache,U.S. House,1,LBT,Kim Allen,"1,253",,,,,,,,,,,,,,,,
Coconino,U.S. House,1,LBT,Kim Allen,"3,237",,,,,,,,,,,,,,,,
Gila,U.S. House,1,LBT,Kim Allen,766,,,,,,,,,,,,,,,,
Graham,U.S. House,1,LBT,Kim Allen,897,,,,,,,,,,,,,,,,
Greenlee,U.S. House,1,LBT,Kim Allen,282,,,,,,,,,,,,,,,,
Maricopa,U.S. House,1,LBT,Kim Allen,47,,,,,,,,,,,,,,,,
Mohave,U.S. House,1,LBT,Kim Allen,27,,,,,,,,,,,,,,,,
Navajo,U.S. House,1,LBT,Kim Allen,"2,441",,,,,,,,,,,,,,,,
Pima,U.S. House,1,LBT,Kim Allen,"1,051",,,,,,,,,,,,,,,,
Pinal,U.S. House,1,LBT,Kim Allen,"4,237",,,,,,,,,,,,,,,,
Yavapai,U.S. House,1,LBT,Kim Allen,989,,,,,,,,,,,,,,,,
,U.S. House,1,LBT,Kim Allen,"15,227",,,,,,,,,,,,,,,,
Apache,U.S. House,1,REP,Jonathan Paton,"6,612",,,,,,,,,,,,,,,,
Coconino,U.S. House,1,REP,Jonathan Paton,"18,405",,,,,,,,,,,,,,,,
Gila,U.S. House,1,REP,Jonathan Paton,"2,943",,,,,,,,,,,,,,,,
Graham,U.S. House,1,REP,Jonathan Paton,"6,793",,,,,,,,,,,,,,,,
Greenlee,U.S. House,1,REP,Jonathan Paton,"1,249",,,,,,,,,,,,,,,,
Maricopa,U.S. House,1,REP,Jonathan Paton,47,,,,,,,,,,,,,,,,
Mohave,U.S. House,1,REP,Jonathan Paton,84,,,,,,,,,,,,,,,,
Navajo,U.S. House,1,REP,Jonathan Paton,"16,642",,,,,,,,,,,,,,,,
Pima,U.S. House,1,REP,Jonathan Paton,"26,699",,,,,,,,,,,,,,,,
Pinal,U.S. House,1,REP,Jonathan Paton,"27,558",,,,,,,,,,,,,,,,
Yavapai,U.S. House,1,REP,Jonathan Paton,"6,562",,,,,,,,,,,,,,,,
,U.S. House,1,REP,Jonathan Paton,"113,594",,,,,,,,,,,,,,,,
Cochise,U.S. House,2,DEM,Ron Barber,"19,815",,,,,,,,,,,,,,,,
Pima,U.S. House,2,DEM,Ron Barber,"127,523",,,,,,,,,,,,,,,,
,U.S. House,2,DEM,Ron Barber,"147,338",TRUE,,,,,,,,,,,,,,,
Cochise,U.S. House,2,LBT,Anthony Prowell,16,,TRUE,,,,,,,,,,,,,,
Pima,U.S. House,2,LBT,Anthony Prowell,41,,TRUE,,,,,,,,,,,,,,
,U.S. House,2,LBT,Anthony Prowell,57,,TRUE,,,,,,,,,,,,,,
Cochise,U.S. House,2,REP,Martha McSally,"28,242",,,,,,,,,,,,,,,,
Pima,U.S. House,2,REP,Martha McSally,"116,642",,,,,,,,,,,,,,,,
,U.S. House,2,REP,Martha McSally,"144,884",,,,,,,,,,,,,,,,
Maricopa,U.S. House,3,DEM,Raul M. Grijalva,"27,296",,,,,,,,,,,,,,,,
Pima,U.S. House,3,DEM,Raul M. Grijalva,"50,621",,,,,,,,,,,,,,,,
Pinal,U.S. House,3,DEM,Raul M. Grijalva,109,,,,,,,,,,,,,,,,
Santa Cruz,U.S. House,3,DEM,Raul M. Grijalva,"8,739",,,,,,,,,,,,,,,,
Yuma,U.S. House,3,DEM,Raul M. Grijalva,"11,703",,,,,,,,,,,,,,,,
,U.S. House,3,DEM,Raul M. Grijalva,"98,468",TRUE,,,,,,,,,,,,,,,
Maricopa,U.S. House,3,LBT,Blanca Guerra,"2,545",,,,,,,,,,,,,,,,
Pima,U.S. House,3,LBT,Blanca Guerra,"3,546",,,,,,,,,,,,,,,,
Pinal,U.S. House,3,LBT,Blanca Guerra,2,,,,,,,,,,,,,,,,
Santa Cruz,U.S. House,3,LBT,Blanca Guerra,525,,,,,,,,,,,,,,,,
Yuma,U.S. House,3,LBT,Blanca Guerra,949,,,,,,,,,,,,,,,,
,U.S. House,3,LBT,Blanca Guerra,"7,567",,,,,,,,,,,,,,,,
Maricopa,U.S. House,3,REP,Gabriela Saucedo Mercer,"22,721",,,,,,,,,,,,,,,,
Pima,U.S. House,3,REP,Gabriela Saucedo Mercer,"26,085",,,,,,,,,,,,,,,,
Pinal,U.S. House,3,REP,Gabriela Saucedo Mercer,9,,,,,,,,,,,,,,,,
Santa Cruz,U.S. House,3,REP,Gabriela Saucedo Mercer,"4,203",,,,,,,,,,,,,,,,
Yuma,U.S. House,3,REP,Gabriela Saucedo Mercer,"9,645",,,,,,,,,,,,,,,,
,U.S. House,3,REP,Gabriela Saucedo Mercer,"62,663",,,,,,,,,,,,,,,,
Gila,U.S. House,4,AEL,Richard Grayson,84,,,,,,,,,,,,,,,,
La Paz,U.S. House,4,AEL,Richard Grayson,82,,,,,,,,,,,,,,,,
Maricopa,U.S. House,4,AEL,Richard Grayson,97,,,,,,,,,,,,,,,,
Mohave,U.S. House,4,AEL,Richard Grayson,716,,,,,,,,,,,,,,,,
Pinal,U.S. House,4,AEL,Richard Grayson,374,,,,,,,,,,,,,,,,
Yavapai,U.S. House,4,AEL,Richard Grayson,898,,,,,,,,,,,,,,,,
Yuma,U.S. House,4,AEL,Richard Grayson,142,,,,,,,,,,,,,,,,
,U.S. House,4,AEL,Richard Grayson,"2,393",,,,,,,,,,,,,,,,
Gila,U.S. House,4,DEM,Johnnie Robinson,"2,950",,,,,,,,,,,,,,,,
La Paz,U.S. House,4,DEM,Johnnie Robinson,"1,615",,,,,,,,,,,,,,,,
Maricopa,U.S. House,4,DEM,Johnnie Robinson,"3,750",,,,,,,,,,,,,,,,
Mohave,U.S. House,4,DEM,Johnnie Robinson,"17,136",,,,,,,,,,,,,,,,
Pinal,U.S. House,4,DEM,Johnnie Robinson,"15,752",,,,,,,,,,,,,,,,
Yavapai,U.S. House,4,DEM,Johnnie Robinson,"23,002",,,,,,,,,,,,,,,,
Yuma,U.S. House,4,DEM,Johnnie Robinson,"4,949",,,,,,,,,,,,,,,,
,U.S. House,4,DEM,Johnnie Robinson,"69,154",,,,,,,,,,,,,,,,
Gila,U.S. House,4,LBT,Joe Pamelia,435,,,,,,,,,,,,,,,,
La Paz,U.S. House,4,LBT,Joe Pamelia,226,,,,,,,,,,,,,,,,
Maricopa,U.S. House,4,LBT,Joe Pamelia,540,,,,,,,,,,,,,,,,
Mohave,U.S. House,4,LBT,Joe Pamelia,"2,706",,,,,,,,,,,,,,,,
Pinal,U.S. House,4,LBT,Joe Pamelia,"1,757",,,,,,,,,,,,,,,,
Yavapai,U.S. House,4,LBT,Joe Pamelia,"3,102",,,,,,,,,,,,,,,,
Yuma,U.S. House,4,LBT,Joe Pamelia,540,,,,,,,,,,,,,,,,
,U.S. House,4,LBT,Joe Pamelia,"9,306",,,,,,,,,,,,,,,,
Gila,U.S. House,4,REP,Paul Gosar,"9,165",,,,,,,,,,,,,,,,
La Paz,U.S. House,4,REP,Paul Gosar,"3,324",,,,,,,,,,,,,,,,
Maricopa,U.S. House,4,REP,Paul Gosar,"9,578",,,,,,,,,,,,,,,,
Mohave,U.S. House,4,REP,Paul Gosar,"44,892",,,,,,,,,,,,,,,,
Pinal,U.S. House,4,REP,Paul Gosar,"29,111",,,,,,,,,,,,,,,,
Yavapai,U.S. House,4,REP,Paul Gosar,"54,913",,,,,,,,,,,,,,,,
