jurisdiction,office,district,party,candidate,votes,winner
,President,,REP,Raymond Scott Perkins,90,
,President,,REP,Al 'Dick' Perry,310,
,President,,REP,Rick Perry,2023,
,President,,REP,Buddy Roemer,692,
,President,,REP,Mitt Romney,239167,TRUE
,President,,REP,Rick Santorum,138031,
,President,,REP,Paul Sims,530,
,President,,REP,Charles Skelley,57,
,President,,REP,Jim Terr,59,
,President,,REP,Matt Welch,86,
,President,,REP,Ronald Zack,156,
,President,,GRN,Gerard Davis,18,
,President,,GRN,Richard Grayson,39,
,President,,GRN,Kent Mesplay,50,
,President,,GRN,Michael Oatman,39,
,President,,GRN,Jill Stein,385,TRUE
,President,,GRN,Gary Swing,30,
