county,precinct,office,district,party,candidate,votes,election_day,early_voting,late_early_voting,provisional
Navajo,01 RED BUTTE,State House,7,REP,"PEELMAN, DAVID",569,236,288,42,3
Navajo,01 RED BUTTE,State House,7,DEM,"TELLER, ARLANDO",4527,1108,3041,373,5
Navajo,01 RED BUTTE,State House,7,DEM,"TSOSIE, MYRON",5578,1444,3626,496,12
Navajo,01 RED BUTTE,State House,7,,Write-In Totals,26,3,19,4,0
Navajo,01 RED BUTTE,State House,7,,Overvotes,12,4,8,0,0
Navajo,01 RED BUTTE,State House,7,,Undervotes,4317,1216,2696,392,13
Navajo,01 RED BUTTE,Corporation Commissioner,,REP,"MARQUEZ PETERSON, LEA",676,261,365,50,0
Navajo,01 RED BUTTE,Corporation Commissioner,,REP,"O'CONNOR, JAMES ""JIM""",787,335,396,55,1
Navajo,01 RED BUTTE,Corporation Commissioner,,REP,"SLOAN, ERIC",873,321,488,64,0
Navajo,01 RED BUTTE,Corporation Commissioner,,DEM,"MUNDELL, WILLIAM ""BILL""",4245,1068,2813,361,3
Navajo,01 RED BUTTE,Corporation Commissioner,,DEM,"STANFIELD, SHEA",4335,1047,2898,380,10
Navajo,01 RED BUTTE,Corporation Commissioner,,DEM,"TOVAR, ANNA",4368,1063,2914,383,8
Navajo,01 RED BUTTE,Corporation Commissioner,,,Write-In Totals,27,8,19,0,0
Navajo,01 RED BUTTE,Corporation Commissioner,,,Overvotes,15,9,3,3,0
Navajo,01 RED BUTTE,Corporation Commissioner,,,Undervotes,8248,2323,5155,741,29
Navajo,01 RED BUTTE,Board of Supervisors Dist. 1,,DEM,"BENALLY, FERN",7131,1925,4583,606,17
Navajo,01 RED BUTTE,Board of Supervisors Dist. 1,,,Write-In Totals,138,42,85,11,0
Navajo,01 RED BUTTE,Board of Supervisors Dist. 1,,,Overvotes,1,0,1,0,0
Navajo,01 RED BUTTE,Board of Supervisors Dist. 1,,,Undervotes,588,178,348,62,0
Navajo,01 RED BUTTE,County Attorney,,DEM,"CARLYON, BRAD",7095,1874,4590,614,17
Navajo,01 RED BUTTE,County Attorney,,,Write-In Totals,64,26,32,6,0
Navajo,01 RED BUTTE,County Attorney,,,Overvotes,0,0,0,0,0
Navajo,01 RED BUTTE,County Attorney,,,Undervotes,699,245,395,59,0
Navajo,01 RED BUTTE,Sheriff,,DEM,"CLOUSE, DAVID",7154,1894,4627,616,17
Navajo,01 RED BUTTE,Sheriff,,,Write-In Totals,77,27,44,6,0
Navajo,01 RED BUTTE,Sheriff,,,Overvotes,1,0,0,1,0
Navajo,01 RED BUTTE,Sheriff,,,Undervotes,626,224,346,56,0
Navajo,01 RED BUTTE,County Treasurer,,DEM,"HERNANDEZ-LOPEZ, KARI",7140,1884,4617,622,17
Navajo,01 RED BUTTE,County Treasurer,,,Write-In Totals,65,24,35,6,0
Navajo,01 RED BUTTE,County Treasurer,,,Overvotes,0,0,0,0,0
Navajo,01 RED BUTTE,County Treasurer,,,Undervotes,653,237,365,51,0
Navajo,01 RED BUTTE,County School Superintendent,,DEM,"GERLICH, JALYN",7118,1870,4620,611,17
Navajo,01 RED BUTTE,County School Superintendent,,,Write-In Totals,63,27,31,5,0
Navajo,01 RED BUTTE,County School Superintendent,,,Overvotes,0,0,0,0,0
Navajo,01 RED BUTTE,County School Superintendent,,,Undervotes,677,248,366,63,0
Navajo,01 RED BUTTE,County Recorder,,DEM,"SAMPLE, MICHAEL",7057,1871,4559,610,17
Navajo,01 RED BUTTE,County Recorder,,,Write-In Totals,57,24,29,4,0
Navajo,01 RED BUTTE,County Recorder,,,Overvotes,2,0,2,0,0
Navajo,01 RED BUTTE,County Recorder,,,Undervotes,742,250,427,65,0
Navajo,01 RED BUTTE,County Assessor,,DEM,"DARRIS, CAMMY",7113,1880,4596,620,17
Navajo,01 RED BUTTE,County Assessor,,,Write-In Totals,65,26,35,4,0
Navajo,01 RED BUTTE,County Assessor,,,Overvotes,0,0,0,0,0
Navajo,01 RED BUTTE,County Assessor,,,Undervotes,680,239,386,55,0
Navajo,01 RED BUTTE,Judge of Superior Court Div.,,,,2,,,,
Navajo,01 RED BUTTE,Judge of Superior Court Div.,,,"HARDY, MELINDA",6779,1795,4386,584,14
Navajo,01 RED BUTTE,Judge of Superior Court Div.,,,Write-In Totals,53,21,28,4,0
Navajo,01 RED BUTTE,Judge of Superior Court Div.,,,Overvotes,3,1,1,1,0
Navajo,01 RED BUTTE,Judge of Superior Court Div.,,,Undervotes,1023,328,602,90,3
Navajo,01 RED BUTTE,Judge of Superior Court Div.,,,,3,,,,
Navajo,01 RED BUTTE,Judge of Superior Court Div.,,,"NIELSON, DALE",6906,1865,4440,586,15
Navajo,01 RED BUTTE,Judge of Superior Court Div.,,,Write-In Totals,56,18,34,4,0
Navajo,01 RED BUTTE,Judge of Superior Court Div.,,,Overvotes,1,1,0,0,0
Navajo,01 RED BUTTE,Judge of Superior Court Div.,,,Undervotes,895,261,543,89,2
Navajo,01 RED BUTTE,Judge of Superior Court Div.,,,,4,,,,
Navajo,01 RED BUTTE,Judge of Superior Court Div.,,,"RUECHEL, MICHALA",6724,1806,4338,565,15
Navajo,01 RED BUTTE,Judge of Superior Court Div.,,,Write-In Totals,68,21,39,8,0
Navajo,01 RED BUTTE,Judge of Superior Court Div.,,,Overvotes,1,0,1,0,0
Navajo,01 RED BUTTE,Judge of Superior Court Div.,,,Undervotes,1065,318,639,106,2
Navajo,01 RED BUTTE,"Supr Ct Retn/BRUTINEL,ROBERT",,,YES,4987,1373,3172,428,14
Navajo,01 RED BUTTE,"Supr Ct Retn/BRUTINEL,ROBERT",,,NO,2080,576,1327,175,2
Navajo,01 RED BUTTE,"Supr Ct Retn/BRUTINEL,ROBERT",,,Overvotes,5,3,2,0,0
Navajo,01 RED BUTTE,"Supr Ct Retn/BRUTINEL,ROBERT",,,Undervotes,786,193,516,76,1
Navajo,01 RED BUTTE,"Supr Ct Retn/GOULD, ANDREW W.",,,YES,5059,1423,3204,420,12
Navajo,01 RED BUTTE,"Supr Ct Retn/GOULD, ANDREW W.",,,NO,2021,534,1301,182,4
Navajo,01 RED BUTTE,"Supr Ct Retn/GOULD, ANDREW W.",,,Overvotes,2,1,1,0,0
Navajo,01 RED BUTTE,"Supr Ct Retn/GOULD, ANDREW W.",,,Undervotes,776,187,511,77,1
Navajo,01 RED BUTTE,"Supr Ct Retn/LOPEZ IV, JOHN",,,YES,5175,1414,3307,442,12
Navajo,01 RED BUTTE,"Supr Ct Retn/LOPEZ IV, JOHN",,,NO,1891,528,1197,163,3
Navajo,01 RED BUTTE,"Supr Ct Retn/LOPEZ IV, JOHN",,,Overvotes,3,2,1,0,0
Navajo,01 RED BUTTE,"Supr Ct Retn/LOPEZ IV, JOHN",,,Undervotes,789,201,512,74,2
Navajo,01 RED BUTTE,"Ct App Div1/CAMPBELL, JENNIFER B.",,,YES,5379,1476,3427,464,12
Navajo,01 RED BUTTE,"Ct App Div1/CAMPBELL, JENNIFER B.",,,NO,1703,466,1088,146,3
Navajo,01 RED BUTTE,"Ct App Div1/CAMPBELL, JENNIFER B.",,,Overvotes,2,1,1,0,0
Navajo,01 RED BUTTE,"Ct App Div1/CAMPBELL, JENNIFER B.",,,Undervotes,774,202,501,69,2
Navajo,01 RED BUTTE,"Ct App Div1/CRUZ, MARIA ELENA",,,YES,5381,1444,3453,471,13
Navajo,01 RED BUTTE,"Ct App Div1/CRUZ, MARIA ELENA",,,NO,1661,489,1038,132,2
Navajo,01 RED BUTTE,"Ct App Div1/CRUZ, MARIA ELENA",,,Overvotes,2,2,0,0,0
Navajo,01 RED BUTTE,"Ct App Div1/CRUZ, MARIA ELENA",,,Undervotes,814,210,526,76,2
Navajo,01 RED BUTTE,Board Member Pinon,,,"ALLEN, BESSIE S.",1286,399,775,109,3
Navajo,01 RED BUTTE,Board Member Pinon,,,"BITSUI, MARANDA",1323,419,774,128,2
Navajo,01 RED BUTTE,Board Member Pinon,,,"MCCABE III, TOMMY",1307,383,797,126,1
Navajo,01 RED BUTTE,Board Member Pinon,,,"TACHINE, PHYLLIS",749,283,407,58,1
Navajo,01 RED BUTTE,Board Member Pinon,,,"YAZZIE, DOROTHY R.",1420,401,877,141,1
Navajo,01 RED BUTTE,Board Member Pinon,,,Write-In Totals,26,6,13,7,0
Navajo,01 RED BUTTE,Board Member Pinon,,,Overvotes,36,9,21,6,0
Navajo,01 RED BUTTE,Board Member Pinon,,,Undervotes,2763,1022,1472,259,10
Navajo,01 RED BUTTE,Board Member Kayenta,,,"BIA, JOE JR.",2499,639,1671,186,3
Navajo,01 RED BUTTE,Board Member Kayenta,,,"LEE, ROYD R.",2590,622,1759,203,6
Navajo,01 RED BUTTE,Board Member Kayenta,,,"NEZ, JAMES",2831,650,1950,226,5
Navajo,01 RED BUTTE,Board Member Kayenta,,,Write-In Totals,106,31,63,12,0
Navajo,01 RED BUTTE,Board Member Kayenta,,,Overvotes,3,0,0,3,0
Navajo,01 RED BUTTE,Board Member Kayenta,,,Undervotes,6635,1571,4472,573,19
Navajo,01 RED BUTTE,Board Member Northland Pioneer College Dist. 1,,,"GRAY, JOAN ANN",2339,672,1477,187,3
Navajo,01 RED BUTTE,Board Member Northland Pioneer College Dist. 1,,,"LAUGHTER, KRISTINE",4999,1325,3210,450,14
Navajo,01 RED BUTTE,Board Member Northland Pioneer College Dist. 1,,,Write-In Totals,35,8,23,4,0
Navajo,01 RED BUTTE,Board Member Northland Pioneer College Dist. 1,,,Overvotes,27,7,20,0,0
Navajo,01 RED BUTTE,Board Member Northland Pioneer College Dist. 1,,,Undervotes,458,133,287,38,0
Navajo,01 RED BUTTE,PROPOSITION 207,,,YES,3172,911,1949,304,8
Navajo,01 RED BUTTE,PROPOSITION 207,,,NO,3969,1019,2641,303,6
Navajo,01 RED BUTTE,PROPOSITION 207,,,Overvotes,3,2,1,0,0
Navajo,01 RED BUTTE,PROPOSITION 207,,,Undervotes,714,213,426,72,3
Navajo,01 RED BUTTE,PROPOSITION 208,,,YES,4259,1068,2799,384,8
Navajo,01 RED BUTTE,PROPOSITION 208,,,NO,2897,861,1807,223,6
Navajo,01 RED BUTTE,PROPOSITION 208,,,Overvotes,4,3,1,0,0
Navajo,01 RED BUTTE,PROPOSITION 208,,,Undervotes,698,213,410,72,3
Navajo,02 PAINTED DESERT,Registered Voters,,,,1494,,,,
Navajo,02 PAINTED DESERT,Ballots Cast,,,,1051,477,455,117,2
Navajo,02 PAINTED DESERT,Ballots Cast - Blank,,,,1,0,0,1,0
Navajo,02 PAINTED DESERT,President,,REP,"TRUMP, PENCE",225,114,80,31,0
Navajo,02 PAINTED DESERT,President,,DEM,"BIDEN, HARRIS",801,351,368,80,2
Navajo,02 PAINTED DESERT,President,,LBT,"JORGENSEN, COHEN",11,6,3,2,0
Navajo,02 PAINTED DESERT,President,,,Write-In Totals,2,0,0,2,0
Navajo,02 PAINTED DESERT,President,,,Overvotes,10,5,4,1,0
Navajo,02 PAINTED DESERT,President,,,Undervotes,2,1,0,1,0
Navajo,02 PAINTED DESERT,U.S. Senate,,REP,"MCSALLY, MARTHA",199,98,74,27,0
Navajo,02 PAINTED DESERT,U.S. Senate,,DEM,"KELLY, MARK",834,369,377,86,2
Navajo,02 PAINTED DESERT,U.S. Senate,,,Write-In Totals,1,0,0,1,0
Navajo,02 PAINTED DESERT,U.S. Senate,,,Overvotes,1,1,0,0,0
Navajo,02 PAINTED DESERT,U.S. Senate,,,Undervotes,16,9,4,3,0
Navajo,02 PAINTED DESERT,U.S. House,1,REP,"SHEDD, TIFFANY",209,107,74,28,0
Navajo,02 PAINTED DESERT,U.S. House,1,DEM,"O'HALLERAN, TOM",804,350,374,78,2
Navajo,02 PAINTED DESERT,U.S. House,1,,Write-In Totals,3,1,0,2,0
Navajo,02 PAINTED DESERT,U.S. House,1,,Overvotes,3,2,1,0,0
Navajo,02 PAINTED DESERT,U.S. House,1,,Undervotes,32,17,6,9,0
Navajo,02 PAINTED DESERT,State Senate,7,DEM,"PESHLAKAI, JAMESCITA",897,410,394,92,1
Navajo,02 PAINTED DESERT,State Senate,7,,Write-In Totals,12,7,1,4,0
Navajo,02 PAINTED DESERT,State Senate,7,,Overvotes,0,0,0,0,0
Navajo,02 PAINTED DESERT,State Senate,7,,Undervotes,142,60,60,21,1
Navajo,02 PAINTED DESERT,State House,7,REP,"PARKS, JAMES ""JIM""	162",79,65,18,0,
Navajo,02 PAINTED DESERT,State House,7,REP,"PEELMAN, DAVID",127,59,50,18,0
Navajo,02 PAINTED DESERT,State House,7,DEM,"TELLER, ARLANDO",526,226,241,58,1
Navajo,02 PAINTED DESERT,State House,7,DEM,"TSOSIE, MYRON",685,302,315,66,2
Navajo,02 PAINTED DESERT,State House,7,,Write-In Totals,2,1,0,1,0
Navajo,02 PAINTED DESERT,State House,7,,Overvotes,2,2,0,0,0
Navajo,02 PAINTED DESERT,State House,7,,Undervotes,598,285,239,73,1
Navajo,02 PAINTED DESERT,Corporation Commissioner,,REP,"MARQUEZ PETERSON, LEA",123,59,49,15,0
Navajo,02 PAINTED DESERT,Corporation Commissioner,,REP,"O'CONNOR, JAMES ""JIM""",171,86,65,20,0
Navajo,02 PAINTED DESERT,Corporation Commissioner,,REP,"SLOAN, ERIC",149,72,58,19,0
Navajo,02 PAINTED DESERT,Corporation Commissioner,,DEM,"MUNDELL, WILLIAM ""BILL""",506,214,242,49,1
Navajo,02 PAINTED DESERT,Corporation Commissioner,,DEM,"STANFIELD, SHEA",468,204,212,51,1
Navajo,02 PAINTED DESERT,Corporation Commissioner,,DEM,"TOVAR, ANNA",540,218,258,63,1
Navajo,02 PAINTED DESERT,Corporation Commissioner,,,Write-In Totals,2,1,0,1,0
Navajo,02 PAINTED DESERT,Corporation Commissioner,,,Overvotes,0,0,0,0,0
Navajo,02 PAINTED DESERT,Corporation Commissioner,,,Undervotes,1194,577,481,133,3
Navajo,02 PAINTED DESERT,Board of Supervisors Dist. 1,,DEM,"BENALLY, FERN",920,419,404,95,2
Navajo,02 PAINTED DESERT,Board of Supervisors Dist. 1,,,Write-In Totals,16,8,4,4,0
Navajo,02 PAINTED DESERT,Board of Supervisors Dist. 1,,,Overvotes,0,0,0,0,0
Navajo,02 PAINTED DESERT,Board of Supervisors Dist. 1,,,Undervotes,115,50,47,18,0
Navajo,02 PAINTED DESERT,County Attorney,,DEM,"CARLYON, BRAD",892,403,398,90,1
Navajo,02 PAINTED DESERT,County Attorney,,,Write-In Totals,20,10,5,5,0
Navajo,02 PAINTED DESERT,County Attorney,,,Overvotes,0,0,0,0,0
Navajo,02 PAINTED DESERT,County Attorney,,,Undervotes,139,64,52,22,1
Navajo,02 PAINTED DESERT,Sheriff,,DEM,"CLOUSE, DAVID",906,405,409,91,1
Navajo,02 PAINTED DESERT,Sheriff,,,Write-In Totals,20,11,4,5,0
Navajo,02 PAINTED DESERT,Sheriff,,,Overvotes,0,0,0,0,0
Navajo,02 PAINTED DESERT,Sheriff,,,Undervotes,125,61,42,21,1
Navajo,02 PAINTED DESERT,County Treasurer,,DEM,"HERNANDEZ-LOPEZ, KARI",896,405,401,89,1
Navajo,02 PAINTED DESERT,County Treasurer,,,Write-In Totals,17,9,4,4,0
Navajo,02 PAINTED DESERT,County Treasurer,,,Overvotes,0,0,0,0,0
Navajo,02 PAINTED DESERT,County Treasurer,,,Undervotes,138,63,50,24,1
Navajo,02 PAINTED DESERT,County School Superintendent,,DEM,"GERLICH, JALYN",899,403,403,93,0
Navajo,02 PAINTED DESERT,County School Superintendent,,,Write-In Totals,17,7,5,4,1
Navajo,02 PAINTED DESERT,County School Superintendent,,,Overvotes,0,0,0,0,0
Navajo,02 PAINTED DESERT,County School Superintendent,,,Undervotes,135,67,47,20,1
Navajo,02 PAINTED DESERT,County Recorder,,DEM,"SAMPLE, MICHAEL",909,409,405,95,0
Navajo,02 PAINTED DESERT,County Recorder,,,Write-In Totals,17,8,4,4,1
Navajo,02 PAINTED DESERT,County Recorder,,,Overvotes,0,0,0,0,0
Navajo,02 PAINTED DESERT,County Recorder,,,Undervotes,125,60,46,18,1
Navajo,02 PAINTED DESERT,County Assessor,,DEM,"DARRIS, CAMMY",907,408,407,92,0
Navajo,02 PAINTED DESERT,County Assessor,,,Write-In Totals,16,6,5,4,1
Navajo,02 PAINTED DESERT,County Assessor,,,Overvotes,0,0,0,0,0
Navajo,02 PAINTED DESERT,County Assessor,,,Undervotes,128,63,43,21,1
Navajo,02 PAINTED DESERT,Judge of Superior Court Div.,,,,2,,,,
Navajo,02 PAINTED DESERT,Judge of Superior Court Div.,,,"HARDY, MELINDA",862,382,391,88,1
Navajo,02 PAINTED DESERT,Judge of Superior Court Div.,,,Write-In Totals,14,6,6,2,0
Navajo,02 PAINTED DESERT,Judge of Superior Court Div.,,,Overvotes,0,0,0,0,0
Navajo,02 PAINTED DESERT,Judge of Superior Court Div.,,,Undervotes,175,89,58,27,1
Navajo,02 PAINTED DESERT,Judge of Superior Court Div.,,,,3,,,,
Navajo,02 PAINTED DESERT,Judge of Superior Court Div.,,,"NIELSON, DALE",906,411,402,92,1
Navajo,02 PAINTED DESERT,Judge of Superior Court Div.,,,Write-In Totals,14,4,7,3,0
Navajo,02 PAINTED DESERT,Judge of Superior Court Div.,,,Overvotes,0,0,0,0,0
Navajo,02 PAINTED DESERT,Judge of Superior Court Div.,,,Undervotes,131,62,46,22,1
Navajo,02 PAINTED DESERT,Judge of Superior Court Div.,,,,4,,,,
Navajo,02 PAINTED DESERT,Judge of Superior Court Div.,,,"RUECHEL, MICHALA",875,390,393,91,1
Navajo,02 PAINTED DESERT,Judge of Superior Court Div.,,,Write-In Totals,16,4,9,3,0
Navajo,02 PAINTED DESERT,Judge of Superior Court Div.,,,Overvotes,0,0,0,0,0
Navajo,02 PAINTED DESERT,Judge of Superior Court Div.,,,Undervotes,160,83,53,23,1
Navajo,02 PAINTED DESERT,"Supr Ct Retn/BRUTINEL,ROBERT",,,YES,668,303,301,63,1
Navajo,02 PAINTED DESERT,"Supr Ct Retn/BRUTINEL,ROBERT",,,NO,270,127,111,32,0
Navajo,02 PAINTED DESERT,"Supr Ct Retn/BRUTINEL,ROBERT",,,Overvotes,0,0,0,0,0
Navajo,02 PAINTED DESERT,"Supr Ct Retn/BRUTINEL,ROBERT",,,Undervotes,113,47,43,22,1
Navajo,02 PAINTED DESERT,"Supr Ct Retn/GOULD, ANDREW W.",,,YES,647,299,285,63,0
Navajo,02 PAINTED DESERT,"Supr Ct Retn/GOULD, ANDREW W.",,,NO,284,129,124,31,0
Navajo,02 PAINTED DESERT,"Supr Ct Retn/GOULD, ANDREW W.",,,Overvotes,1,0,1,0,0
Navajo,02 PAINTED DESERT,"Supr Ct Retn/GOULD, ANDREW W.",,,Undervotes,119,49,45,23,2
Navajo,02 PAINTED DESERT,"Supr Ct Retn/LOPEZ IV, JOHN",,,YES,689,315,308,66,0
Navajo,02 PAINTED DESERT,"Supr Ct Retn/LOPEZ IV, JOHN",,,NO,243,113,101,29,0
Navajo,02 PAINTED DESERT,"Supr Ct Retn/LOPEZ IV, JOHN",,,Overvotes,0,0,0,0,0
Navajo,02 PAINTED DESERT,"Supr Ct Retn/LOPEZ IV, JOHN",,,Undervotes,119,49,46,22,2
Navajo,02 PAINTED DESERT,"Ct App Div1/CAMPBELL, JENNIFER B.",,,YES,699,320,311,68,0
Navajo,02 PAINTED DESERT,"Ct App Div1/CAMPBELL, JENNIFER B.",,,NO,234,108,99,27,0
Navajo,02 PAINTED DESERT,"Ct App Div1/CAMPBELL, JENNIFER B.",,,Overvotes,0,0,0,0,0
Navajo,02 PAINTED DESERT,"Ct App Div1/CAMPBELL, JENNIFER B.",,,Undervotes,118,49,45,22,2
Navajo,02 PAINTED DESERT,"Ct App Div1/CRUZ, MARIA ELENA",,,YES,717,325,325,67,0
Navajo,02 PAINTED DESERT,"Ct App Div1/CRUZ, MARIA ELENA",,,NO,216,107,82,27,0
Navajo,02 PAINTED DESERT,"Ct App Div1/CRUZ, MARIA ELENA",,,Overvotes,0,0,0,0,0
Navajo,02 PAINTED DESERT,"Ct App Div1/CRUZ, MARIA ELENA",,,Undervotes,118,45,48,23,2
Navajo,02 PAINTED DESERT,Board Member Northland Pioneer College Dist. 1,,,"GRAY, JOAN ANN",262,139,90,33,0
Navajo,02 PAINTED DESERT,Board Member Northland Pioneer College Dist. 1,,,"LAUGHTER, KRISTINE",665,284,314,67,0
Navajo,02 PAINTED DESERT,Board Member Northland Pioneer College Dist. 1,,,Write-In Totals,8,3,5,0,0
Navajo,02 PAINTED DESERT,Board Member Northland Pioneer College Dist. 1,,,Overvotes,3,1,2,0,0
Navajo,02 PAINTED DESERT,Board Member Northland Pioneer College Dist. 1,,,Undervotes,113,50,44,17,2
Navajo,02 PAINTED DESERT,PROPOSITION 207,,,YES,428,198,167,61,2
Navajo,02 PAINTED DESERT,PROPOSITION 207,,,NO,530,220,259,51,0
Navajo,02 PAINTED DESERT,PROPOSITION 207,,,Overvotes,1,1,0,0,0
Navajo,02 PAINTED DESERT,PROPOSITION 207,,,Undervotes,92,58,29,5,0
Navajo,02 PAINTED DESERT,PROPOSITION 208,,,YES,552,232,253,67,0
Navajo,02 PAINTED DESERT,PROPOSITION 208,,,NO,408,190,173,44,1
Navajo,02 PAINTED DESERT,PROPOSITION 208,,,Overvotes,0,0,0,0,0
Navajo,02 PAINTED DESERT,PROPOSITION 208,,,Undervotes,91,55,29,6,1
Navajo,03 HUBBELL,Registered Voters,,,,255,,,,
Navajo,03 HUBBELL,Ballots Cast,,,,201,48,130,20,3
Navajo,03 HUBBELL,Ballots Cast - Blank,,,,0,0,0,0,0
Navajo,03 HUBBELL,President,,REP,"TRUMP, PENCE",135,42,75,18,0
Navajo,03 HUBBELL,President,,DEM,"BIDEN, HARRIS",58,4,50,1,3
Navajo,03 HUBBELL,President,,LBT,"JORGENSEN, COHEN",4,1,2,1,0
Navajo,03 HUBBELL,President,,,Write-In Totals,1,1,0,0,0
Navajo,03 HUBBELL,President,,,Overvotes,1,0,1,0,0
Navajo,03 HUBBELL,President,,,Undervotes,2,0,2,0,0
Navajo,03 HUBBELL,U.S. Senate,,REP,"MCSALLY, MARTHA",120,40,65,15,0
Navajo,03 HUBBELL,U.S. Senate,,DEM,"KELLY, MARK",75,6,63,3,3
Navajo,03 HUBBELL,U.S. Senate,,,Write-In Totals,1,1,0,0,0
Navajo,03 HUBBELL,U.S. Senate,,,Overvotes,0,0,0,0,0
Navajo,03 HUBBELL,U.S. Senate,,,Undervotes,5,1,2,2,0
Navajo,03 HUBBELL,U.S. House,1,REP,"SHEDD, TIFFANY",112,39,60,12,1
Navajo,03 HUBBELL,U.S. House,1,DEM,"O'HALLERAN, TOM",81,7,66,6,2
Navajo,03 HUBBELL,U.S. House,1,,Write-In Totals,1,1,0,0,0
Navajo,03 HUBBELL,U.S. House,1,,Overvotes,0,0,0,0,0
Navajo,03 HUBBELL,U.S. House,1,,Undervotes,7,1,4,2,0
Navajo,03 HUBBELL,State Senate,7,DEM,"PESHLAKAI, JAMESCITA",101,16,74,8,3
Navajo,03 HUBBELL,State Senate,7,,Write-In Totals,5,2,2,1,0
Navajo,03 HUBBELL,State Senate,7,,Overvotes,1,1,0,0,0
Navajo,03 HUBBELL,State Senate,7,,Undervotes,94,29,54,11,0
Navajo,03 HUBBELL,State House,7,REP,"PARKS, JAMES ""JIM""	114",38,64,10,2,
Navajo,03 HUBBELL,State House,7,REP,"PEELMAN, DAVID",106,31,63,12,0
Navajo,03 HUBBELL,State House,7,DEM,"TELLER, ARLANDO",59,4,52,2,1
Navajo,03 HUBBELL,State House,7,DEM,"TSOSIE, MYRON",55,6,45,4,0
Navajo,03 HUBBELL,State House,7,,Write-In Totals,0,0,0,0,0
Navajo,03 HUBBELL,State House,7,,Overvotes,0,0,0,0,0
Navajo,03 HUBBELL,State House,7,,Undervotes,68,17,36,12,3
Navajo,03 HUBBELL,Corporation Commissioner,,REP,"MARQUEZ PETERSON, LEA",102,30,62,10,0
Navajo,03 HUBBELL,Corporation Commissioner,,REP,"O'CONNOR, JAMES ""JIM""",104,33,61,9,1
Navajo,03 HUBBELL,Corporation Commissioner,,REP,"SLOAN, ERIC",99,29,60,10,0
Navajo,03 HUBBELL,Corporation Commissioner,,DEM,"MUNDELL, WILLIAM ""BILL""",64,6,55,3,0
Navajo,03 HUBBELL,Corporation Commissioner,,DEM,"STANFIELD, SHEA",50,6,41,3,0
Navajo,03 HUBBELL,Corporation Commissioner,,DEM,"TOVAR, ANNA",54,4,45,3,2
Navajo,03 HUBBELL,Corporation Commissioner,,,Write-In Totals,1,1,0,0,0
Navajo,03 HUBBELL,Corporation Commissioner,,,Overvotes,0,0,0,0,0
Navajo,03 HUBBELL,Corporation Commissioner,,,Undervotes,129,35,66,22,6
Navajo,03 HUBBELL,Board of Supervisors Dist. 1,,DEM,"BENALLY, FERN",118,21,85,9,3
Navajo,03 HUBBELL,Board of Supervisors Dist. 1,,,Write-In Totals,3,1,2,0,0
Navajo,03 HUBBELL,Board of Supervisors Dist. 1,,,Overvotes,0,0,0,0,0
Navajo,03 HUBBELL,Board of Supervisors Dist. 1,,,Undervotes,80,26,43,11,0
Navajo,03 HUBBELL,County Attorney,,DEM,"CARLYON, BRAD",126,21,92,10,3
Navajo,03 HUBBELL,County Attorney,,,Write-In Totals,1,1,0,0,0
Navajo,03 HUBBELL,County Attorney,,,Overvotes,0,0,0,0,0
Navajo,03 HUBBELL,County Attorney,,,Undervotes,74,26,38,10,0
Navajo,03 HUBBELL,Sheriff,,DEM,"CLOUSE, DAVID",129,24,91,11,3
