county,office,district,party,candidate,votes,winner,write-in
Pima,U.S. Senate,,DEM,Randy Parraz,9717,,
Pinal,U.S. Senate,,DEM,Randy Parraz,2392,,
Santa Cruz,U.S. Senate,,DEM,Randy Parraz,1133,,
Yavapai,U.S. Senate,,DEM,Randy Parraz,916,,
Yuma,U.S. Senate,,DEM,Randy Parraz,1558,,
,U.S. Senate,,DEM,Randy Parraz,44435,,
Apache,U.S. Senate,,LBT,David F. Nolan,35,,
Cochise,U.S. Senate,,LBT,David F. Nolan,59,,
Coconino,U.S. Senate,,LBT,David F. Nolan,68,,
Gila,U.S. Senate,,LBT,David F. Nolan,23,,
Graham,U.S. Senate,,LBT,David F. Nolan,7,,
Greenlee,U.S. Senate,,LBT,David F. Nolan,6,,
La Paz,U.S. Senate,,LBT,David F. Nolan,4,,
Maricopa,U.S. Senate,,LBT,David F. Nolan,1530,,
Mohave,U.S. Senate,,LBT,David F. Nolan,46,,
Navajo,U.S. Senate,,LBT,David F. Nolan,59,,
Pima,U.S. Senate,,LBT,David F. Nolan,586,,
Pinal,U.S. Senate,,LBT,David F. Nolan,91,,
Santa Cruz,U.S. Senate,,LBT,David F. Nolan,17,,
Yavapai,U.S. Senate,,LBT,David F. Nolan,100,,
Yuma,U.S. Senate,,LBT,David F. Nolan,38,,
,U.S. Senate,,LBT,David F. Nolan,2669,True,
Apache,U.S. Senate,,REP,Jim Deakin,481,,
Cochise,U.S. Senate,,REP,Jim Deakin,2623,,
Coconino,U.S. Senate,,REP,Jim Deakin,1047,,
Gila,U.S. Senate,,REP,Jim Deakin,1240,,
Graham,U.S. Senate,,REP,Jim Deakin,408,,
Greenlee,U.S. Senate,,REP,Jim Deakin,56,,
La Paz,U.S. Senate,,REP,Jim Deakin,249,,
Maricopa,U.S. Senate,,REP,Jim Deakin,36871,,
Mohave,U.S. Senate,,REP,Jim Deakin,2619,,
Navajo,U.S. Senate,,REP,Jim Deakin,1447,,
Pima,U.S. Senate,,REP,Jim Deakin,13777,,
Pinal,U.S. Senate,,REP,Jim Deakin,2961,,
Santa Cruz,U.S. Senate,,REP,Jim Deakin,248,,
Yavapai,U.S. Senate,,REP,Jim Deakin,4148,,
Yuma,U.S. Senate,,REP,Jim Deakin,1153,,
,U.S. Senate,,REP,Jim Deakin,69328,,
Apache,U.S. Senate,,REP,J.D. Hayworth,1391,,
Cochise,U.S. Senate,,REP,J.D. Hayworth,5012,,
Coconino,U.S. Senate,,REP,J.D. Hayworth,2573,,
Gila,U.S. Senate,,REP,J.D. Hayworth,1779,,
Graham,U.S. Senate,,REP,J.D. Hayworth,1312,,
Greenlee,U.S. Senate,,REP,J.D. Hayworth,162,,
La Paz,U.S. Senate,,REP,J.D. Hayworth,458,,
Maricopa,U.S. Senate,,REP,J.D. Hayworth,117672,,
Mohave,U.S. Senate,,REP,J.D. Hayworth,7277,,
Navajo,U.S. Senate,,REP,J.D. Hayworth,3467,,
Pima,U.S. Senate,,REP,J.D. Hayworth,25541,,
Pinal,U.S. Senate,,REP,J.D. Hayworth,8648,,
Santa Cruz,U.S. Senate,,REP,J.D. Hayworth,637,,
Yavapai,U.S. Senate,,REP,J.D. Hayworth,11261,,
Yuma,U.S. Senate,,REP,J.D. Hayworth,3039,,
,U.S. Senate,,REP,J.D. Hayworth,190229,,
Apache,U.S. Senate,,REP,John McCain,1501,,
Cochise,U.S. Senate,,REP,John McCain,7002,,
Coconino,U.S. Senate,,REP,John McCain,5332,,
Gila,U.S. Senate,,REP,John McCain,3737,,
Graham,U.S. Senate,,REP,John McCain,2039,,
Greenlee,U.S. Senate,,REP,John McCain,250,,
La Paz,U.S. Senate,,REP,John McCain,904,,
Maricopa,U.S. Senate,,REP,John McCain,205147,,
Mohave,U.S. Senate,,REP,John McCain,11197,,
Navajo,U.S. Senate,,REP,John McCain,4798,,
Pima,U.S. Senate,,REP,John McCain,50921,,
Pinal,U.S. Senate,,REP,John McCain,12627,,
Santa Cruz,U.S. Senate,,REP,John McCain,939,,
Yavapai,U.S. Senate,,REP,John McCain,21049,,
Yuma,U.S. Senate,,REP,John McCain,6301,,
,U.S. Senate,,REP,John McCain,333744,True,
Apache,U.S. Senate,,GRN,Jerry Joslyn,38,,
Cochise,U.S. Senate,,GRN,Jerry Joslyn,39,,
Coconino,U.S. Senate,,GRN,Jerry Joslyn,79,,
Gila,U.S. Senate,,GRN,Jerry Joslyn,20,,
Graham,U.S. Senate,,GRN,Jerry Joslyn,10,,
Greenlee,U.S. Senate,,GRN,Jerry Joslyn,2,,
La Paz,U.S. Senate,,GRN,Jerry Joslyn,7,,
Maricopa,U.S. Senate,,GRN,Jerry Joslyn,811,,
Mohave,U.S. Senate,,GRN,Jerry Joslyn,77,,
Navajo,U.S. Senate,,GRN,Jerry Joslyn,51,,
Pima,U.S. Senate,,GRN,Jerry Joslyn,490,,
Pinal,U.S. Senate,,GRN,Jerry Joslyn,68,,
Santa Cruz,U.S. Senate,,GRN,Jerry Joslyn,14,,
Yavapai,U.S. Senate,,GRN,Jerry Joslyn,181,,
Yuma,U.S. Senate,,GRN,Jerry Joslyn,61,,
,U.S. Senate,,GRN,Jerry Joslyn,1948,True,
Apache,U.S. House,1,DEM,Ann Kirkpatrick,8611,,
Coconino,U.S. House,1,DEM,Ann Kirkpatrick,7984,,
Gila,U.S. House,1,DEM,Ann Kirkpatrick,3362,,
Graham,U.S. House,1,DEM,Ann Kirkpatrick,1634,,
Greenlee,U.S. House,1,DEM,Ann Kirkpatrick,899,,
Navajo,U.S. House,1,DEM,Ann Kirkpatrick,6736,,
Pinal,U.S. House,1,DEM,Ann Kirkpatrick,6992,,
Yavapai,U.S. House,1,DEM,Ann Kirkpatrick,10684,,
,U.S. House,1,DEM,Ann Kirkpatrick,46902,True,
Apache,U.S. House,1,LBT,Nicole Patti,0,,True
Coconino,U.S. House,1,LBT,Nicole Patti,10,,True
Gila,U.S. House,1,LBT,Nicole Patti,2,,True
Graham,U.S. House,1,LBT,Nicole Patti,0,,True
Greenlee,U.S. House,1,LBT,Nicole Patti,0,,True
Navajo,U.S. House,1,LBT,Nicole Patti,2,,True
Pinal,U.S. House,1,LBT,Nicole Patti,3,,True
Yavapai,U.S. House,1,LBT,Nicole Patti,6,,True
,U.S. House,1,LBT,Nicole Patti,23,,True
Apache,U.S. House,1,REP,Bradley Beauchamp,328,,
Coconino,U.S. House,1,REP,Bradley Beauchamp,863,,
Gila,U.S. House,1,REP,Bradley Beauchamp,932,,
Graham,U.S. House,1,REP,Bradley Beauchamp,276,,
Greenlee,U.S. House,1,REP,Bradley Beauchamp,37,,
Navajo,U.S. House,1,REP,Bradley Beauchamp,1523,,
Pinal,U.S. House,1,REP,Bradley Beauchamp,621,,
Yavapai,U.S. House,1,REP,Bradley Beauchamp,6776,,
,U.S. House,1,REP,Bradley Beauchamp,11356,,
Apache,U.S. House,1,REP,"Russell ""Rusty"" Bowers",889,,
Coconino,U.S. House,1,REP,"Russell ""Rusty"" Bowers",800,,
Gila,U.S. House,1,REP,"Russell ""Rusty"" Bowers",940,,
Graham,U.S. House,1,REP,"Russell ""Rusty"" Bowers",995,,
Greenlee,U.S. House,1,REP,"Russell ""Rusty"" Bowers",79,,
Navajo,U.S. House,1,REP,"Russell ""Rusty"" Bowers",2791,,
Pinal,U.S. House,1,REP,"Russell ""Rusty"" Bowers",1171,,
Yavapai,U.S. House,1,REP,"Russell ""Rusty"" Bowers",2887,,
,U.S. House,1,REP,"Russell ""Rusty"" Bowers",10552,,
Apache,U.S. House,1,REP,Paul Gosar,445,,
Coconino,U.S. House,1,REP,Paul Gosar,3246,,
Gila,U.S. House,1,REP,Paul Gosar,1759,,
Graham,U.S. House,1,REP,Paul Gosar,758,,
Greenlee,U.S. House,1,REP,Paul Gosar,71,,
Navajo,U.S. House,1,REP,Paul Gosar,1189,,
Pinal,U.S. House,1,REP,Paul Gosar,2918,,
Yavapai,U.S. House,1,REP,Paul Gosar,11555,,
,U.S. House,1,REP,Paul Gosar,21941,True,
Apache,U.S. House,1,REP,Sydney Hay,713,,
Coconino,U.S. House,1,REP,Sydney Hay,2126,,
Gila,U.S. House,1,REP,Sydney Hay,1626,,
Graham,U.S. House,1,REP,Sydney Hay,1186,,
Greenlee,U.S. House,1,REP,Sydney Hay,175,,
Navajo,U.S. House,1,REP,Sydney Hay,1332,,
Pinal,U.S. House,1,REP,Sydney Hay,1390,,
Yavapai,U.S. House,1,REP,Sydney Hay,7780,,
,U.S. House,1,REP,Sydney Hay,16328,,
Apache,U.S. House,1,REP,Joe Jaraczewski,86,,
Coconino,U.S. House,1,REP,Joe Jaraczewski,152,,
Gila,U.S. House,1,REP,Joe Jaraczewski,98,,
Graham,U.S. House,1,REP,Joe Jaraczewski,35,,
Greenlee,U.S. House,1,REP,Joe Jaraczewski,7,,
Navajo,U.S. House,1,REP,Joe Jaraczewski,144,,
Pinal,U.S. House,1,REP,Joe Jaraczewski,156,,
Yavapai,U.S. House,1,REP,Joe Jaraczewski,852,,
,U.S. House,1,REP,Joe Jaraczewski,1530,,
Apache,U.S. House,1,REP,Jon Jensen,207,,
Coconino,U.S. House,1,REP,Jon Jensen,222,,
Gila,U.S. House,1,REP,Jon Jensen,125,,
Graham,U.S. House,1,REP,Jon Jensen,111,,
Greenlee,U.S. House,1,REP,Jon Jensen,42,,
Navajo,U.S. House,1,REP,Jon Jensen,214,,
Pinal,U.S. House,1,REP,Jon Jensen,223,,
Yavapai,U.S. House,1,REP,Jon Jensen,592,,
,U.S. House,1,REP,Jon Jensen,1736,,
Apache,U.S. House,1,REP,Steve Mehta,374,,
Coconino,U.S. House,1,REP,Steve Mehta,346,,
Gila,U.S. House,1,REP,Steve Mehta,396,,
Graham,U.S. House,1,REP,Steve Mehta,95,,
Greenlee,U.S. House,1,REP,Steve Mehta,19,,
Navajo,U.S. House,1,REP,Steve Mehta,1721,,
Pinal,U.S. House,1,REP,Steve Mehta,494,,
Yavapai,U.S. House,1,REP,Steve Mehta,2401,,
,U.S. House,1,REP,Steve Mehta,5846,,
Apache,U.S. House,1,REP,Thomas J. Zaleski,65,,
Coconino,U.S. House,1,REP,Thomas J. Zaleski,241,,
Gila,U.S. House,1,REP,Thomas J. Zaleski,158,,
Graham,U.S. House,1,REP,Thomas J. Zaleski,35,,
Greenlee,U.S. House,1,REP,Thomas J. Zaleski,9,,
Navajo,U.S. House,1,REP,Thomas J. Zaleski,132,,
Pinal,U.S. House,1,REP,Thomas J. Zaleski,192,,
Yavapai,U.S. House,1,REP,Thomas J. Zaleski,1273,,
,U.S. House,1,REP,Thomas J. Zaleski,2105,,
Coconino,U.S. House,2,DEM,John Thrasher,64,,
La Paz,U.S. House,2,DEM,John Thrasher,2,,
Maricopa,U.S. House,2,DEM,John Thrasher,28243,,
Mohave,U.S. House,2,DEM,John Thrasher,4072,,
Navajo,U.S. House,2,DEM,John Thrasher,122,,
Yavapai,U.S. House,2,DEM,John Thrasher,0,,
,U.S. House,2,DEM,John Thrasher,32503,True,
Coconino,U.S. House,2,LBT,Powell Gammill,0,,
La Paz,U.S. House,2,LBT,Powell Gammill,0,,
Maricopa,U.S. House,2,LBT,Powell Gammill,279,,
Mohave,U.S. House,2,LBT,Powell Gammill,39,,
Navajo,U.S. House,2,LBT,Powell Gammill,0,,
Yavapai,U.S. House,2,LBT,Powell Gammill,0,,
,U.S. House,2,LBT,Powell Gammill,318,True,
Coconino,U.S. House,2,REP,Charles Black,6,,
La Paz,U.S. House,2,REP,Charles Black,2,,
Maricopa,U.S. House,2,REP,Charles Black,14780,,
Mohave,U.S. House,2,REP,Charles Black,4430,,
Navajo,U.S. House,2,REP,Charles Black,2,,
Yavapai,U.S. House,2,REP,Charles Black,0,,
,U.S. House,2,REP,Charles Black,19220,,
Coconino,U.S. House,2,REP,Trent Franks,14,,
La Paz,U.S. House,2,REP,Trent Franks,0,,
Maricopa,U.S. House,2,REP,Trent Franks,65812,,
Mohave,U.S. House,2,REP,Trent Franks,15402,,
Navajo,U.S. House,2,REP,Trent Franks,24,,
Yavapai,U.S. House,2,REP,Trent Franks,0,,
,U.S. House,2,REP,Trent Franks,81252,True,
Maricopa,U.S. House,3,DEM,Jon Hulburd,27388,,
,U.S. House,3,DEM,Jon Hulburd,27388,True,
Maricopa,U.S. House,3,LBT,Clay Adair,1,,True
,U.S. House,3,LBT,Clay Adair,1,,True
Maricopa,U.S. House,3,LBT,Michael Shoen,392,,
,U.S. House,3,LBT,Michael Shoen,392,True,
Maricopa,U.S. House,3,REP,Bob Branch,1141,,
,U.S. House,3,REP,Bob Branch,1141,,
Maricopa,U.S. House,3,REP,Sam Crump,3886,,
,U.S. House,3,REP,Sam Crump,3886,,
Maricopa,U.S. House,3,REP,Pamela Gorman,6473,,
,U.S. House,3,REP,Pamela Gorman,6473,,
Maricopa,U.S. House,3,REP,LeAnn Hull,1044,,
,U.S. House,3,REP,LeAnn Hull,1044,,
Maricopa,U.S. House,3,REP,Steve Moak,14211,,
,U.S. House,3,REP,Steve Moak,14211,,
Maricopa,U.S. House,3,REP,Paulina Morris,6138,,
,U.S. House,3,REP,Paulina Morris,6138,,
Maricopa,U.S. House,3,REP,Vernon B. Parker,13411,,
,U.S. House,3,REP,Vernon B. Parker,13411,,
Maricopa,U.S. House,3,REP,Ben Quayle,17400,,
,U.S. House,3,REP,Ben Quayle,17400,True,
Maricopa,U.S. House,3,REP,Jim Waring,13850,,
,U.S. House,3,REP,Jim Waring,13850,,
Maricopa,U.S. House,3,REP,Ed Winkler,1353,,
,U.S. House,3,REP,Ed Winkler,1353,,
Maricopa,U.S. House,3,GRN,Leonard Clark,5,,True
,U.S. House,3,GRN,Leonard Clark,5,,True
Maricopa,U.S. House,4,DEM,Ed Pastor,24613,,
,U.S. House,4,DEM,Ed Pastor,24613,True,
Maricopa,U.S. House,4,LBT,Joe Cobb,219,,
,U.S. House,4,LBT,Joe Cobb,219,True,
Maricopa,U.S. House,4,REP,Janet Contreras,8085,,
,U.S. House,4,REP,Janet Contreras,8085,True,
Maricopa,U.S. House,4,REP,Joe Penalosa,5368,,
,U.S. House,4,REP,Joe Penalosa,5368,,
Maricopa,U.S. House,4,GRN,Rebecca DeWitt,148,,
,U.S. House,4,GRN,Rebecca DeWitt,148,True,
Maricopa,U.S. House,5,DEM,Harry Mitchell,29716,,
,U.S. House,5,DEM,Harry Mitchell,29716,True,
Maricopa,U.S. House,5,LBT,Nick Coons,306,,
,U.S. House,5,LBT,Nick Coons,306,True,
Maricopa,U.S. House,5,REP,Susan Bitter Smith,17297,,
,U.S. House,5,REP,Susan Bitter Smith,17297,,
Maricopa,U.S. House,5,REP,Lee Gentry,1157,,
,U.S. House,5,REP,Lee Gentry,1157,,
Maricopa,U.S. House,5,REP,Chris Salvino,7156,,
,U.S. House,5,REP,Chris Salvino,7156,,
Maricopa,U.S. House,5,REP,David Schweikert,26678,,
,U.S. House,5,REP,David Schweikert,26678,True,
Maricopa,U.S. House,5,REP,Mark Spinks,884,,
,U.S. House,5,REP,Mark Spinks,884,,
Maricopa,U.S. House,5,REP,Jim Ward,18480,,
,U.S. House,5,REP,Jim Ward,18480,,
Maricopa,U.S. House,5,GRN,Ryan Blackman,4,,True
,U.S. House,5,GRN,Ryan Blackman,4,,True
Maricopa,U.S. House,6,DEM,Rebecca Schneider,22943,,
Pinal,U.S. House,6,DEM,Rebecca Schneider,3277,,
,U.S. House,6,DEM,Rebecca Schneider,26220,True,
Maricopa,U.S. House,6,LBT,Darell Tapp,24,,True
Pinal,U.S. House,6,LBT,Darell Tapp,4,,True
,U.S. House,6,LBT,Darell Tapp,28,,True
Maricopa,U.S. House,6,REP,Jeff Flake,56358,,
Pinal,U.S. House,6,REP,Jeff Flake,5927,,
,U.S. House,6,REP,Jeff Flake,62285,True,
Maricopa,U.S. House,6,REP,Jeff Smith,30358,,
Pinal,U.S. House,6,REP,Jeff Smith,3779,,
,U.S. House,6,REP,Jeff Smith,34137,,
Maricopa,U.S. House,6,GRN,Richard Grayson,3,,True
Pinal,U.S. House,6,GRN,Richard Grayson,3,,True
,U.S. House,6,GRN,Richard Grayson,6,,True
La Paz,U.S. House,7,DEM,Raul M. Grijalva,449,,
Maricopa,U.S. House,7,DEM,Raul M. Grijalva,4197,,
Pima,U.S. House,7,DEM,Raul M. Grijalva,20462,,
Pinal,U.S. House,7,DEM,Raul M. Grijalva,1260,,
Santa Cruz,U.S. House,7,DEM,Raul M. Grijalva,2426,,
Yuma,U.S. House,7,DEM,Raul M. Grijalva,5137,,
,U.S. House,7,DEM,Raul M. Grijalva,33931,True,
La Paz,U.S. House,7,LBT,Andrew Ibarra,0,,
Maricopa,U.S. House,7,LBT,Andrew Ibarra,11,,
Pima,U.S. House,7,LBT,Andrew Ibarra,88,,
Pinal,U.S. House,7,LBT,Andrew Ibarra,7,,
Santa Cruz,U.S. House,7,LBT,Andrew Ibarra,6,,
Yuma,U.S. House,7,LBT,Andrew Ibarra,9,,
,U.S. House,7,LBT,Andrew Ibarra,121,,
La Paz,U.S. House,7,LBT,George Keane,4,,
Maricopa,U.S. House,7,LBT,George Keane,25,,
Pima,U.S. House,7,LBT,George Keane,90,,
Pinal,U.S. House,7,LBT,George Keane,9,,
Santa Cruz,U.S. House,7,LBT,George Keane,4,,
Yuma,U.S. House,7,LBT,George Keane,27,,
,U.S. House,7,LBT,George Keane,159,True,
La Paz,U.S. House,7,REP,Christopher J. Flowers,91,,
Maricopa,U.S. House,7,REP,Christopher J. Flowers,315,,
Pima,U.S. House,7,REP,Christopher J. Flowers,506,,
Pinal,U.S. House,7,REP,Christopher J. Flowers,125,,
Santa Cruz,U.S. House,7,REP,Christopher J. Flowers,44,,
Yuma,U.S. House,7,REP,Christopher J. Flowers,313,,
,U.S. House,7,REP,Christopher J. Flowers,1394,,
La Paz,U.S. House,7,REP,Ruth McClung,704,,
Maricopa,U.S. House,7,REP,Ruth McClung,2010,,
Pima,U.S. House,7,REP,Ruth McClung,5244,,
Pinal,U.S. House,7,REP,Ruth McClung,1321,,
Santa Cruz,U.S. House,7,REP,Ruth McClung,441,,
Yuma,U.S. House,7,REP,Ruth McClung,5735,,
,U.S. House,7,REP,Ruth McClung,15455,True,
La Paz,U.S. House,7,REP,Terry Myers,253,,
Maricopa,U.S. House,7,REP,Terry Myers,825,,
Pima,U.S. House,7,REP,Terry Myers,3683,,
Pinal,U.S. House,7,REP,Terry Myers,349,,
Santa Cruz,U.S. House,7,REP,Terry Myers,192,,
Yuma,U.S. House,7,REP,Terry Myers,1742,,
,U.S. House,7,REP,Terry Myers,7044,,
La Paz,U.S. House,7,REP,Joseph Sweeney,176,,
Maricopa,U.S. House,7,REP,Joseph Sweeney,767,,
Pima,U.S. House,7,REP,Joseph Sweeney,1552,,
Pinal,U.S. House,7,REP,Joseph Sweeney,286,,
Santa Cruz,U.S. House,7,REP,Joseph Sweeney,141,,
Yuma,U.S. House,7,REP,Joseph Sweeney,780,,
,U.S. House,7,REP,Joseph Sweeney,3702,,
La Paz,U.S. House,7,REP,Robert Wilson,121,,
Maricopa,U.S. House,7,REP,Robert Wilson,660,,
Pima,U.S. House,7,REP,Robert Wilson,881,,
Pinal,U.S. House,7,REP,Robert Wilson,392,,
Santa Cruz,U.S. House,7,REP,Robert Wilson,70,,
Yuma,U.S. House,7,REP,Robert Wilson,613,,
,U.S. House,7,REP,Robert Wilson,2737,,
Cochise,U.S. House,8,DEM,Gabrielle Giffords,7267,,
Pima,U.S. House,8,DEM,Gabrielle Giffords,46746,,
Pinal,U.S. House,8,DEM,Gabrielle Giffords,979,,
Santa Cruz,U.S. House,8,DEM,Gabrielle Giffords,538,,
,U.S. House,8,DEM,Gabrielle Giffords,55530,True,
Cochise,U.S. House,8,LBT,Steven Stoltz,60,,
Pima,U.S. House,8,LBT,Steven Stoltz,414,,
Pinal,U.S. House,8,LBT,Steven Stoltz,3,,
Santa Cruz,U.S. House,8,LBT,Steven Stoltz,5,,
,U.S. House,8,LBT,Steven Stoltz,482,True,
Cochise,U.S. House,8,REP,Andy Goss (Withdrew,448,,
Pima,U.S. House,8,REP,Andy Goss (Withdrew,0,,
Pinal,U.S. House,8,REP,Andy Goss (Withdrew,35,,
Santa Cruz,U.S. House,8,REP,Andy Goss (Withdrew,19,,
,U.S. House,8,REP,Andy Goss (Withdrew,502,,
Cochise,U.S. House,8,REP,Jesse Kelly,7029,,
Pima,U.S. House,8,REP,Jesse Kelly,34211,,
Pinal,U.S. House,8,REP,Jesse Kelly,1483,,
Santa Cruz,U.S. House,8,REP,Jesse Kelly,374,,
,U.S. House,8,REP,Jesse Kelly,43097,True,
Cochise,U.S. House,8,REP,Brian Miller,1318,,
Pima,U.S. House,8,REP,Brian Miller,5156,,
Pinal,U.S. House,8,REP,Brian Miller,95,,
Santa Cruz,U.S. House,8,REP,Brian Miller,44,,
,U.S. House,8,REP,Brian Miller,6613,,
Cochise,U.S. House,8,REP,Jonathan Paton,4920,,
Pima,U.S. House,8,REP,Jonathan Paton,30747,,
Pinal,U.S. House,8,REP,Jonathan Paton,1102,,
Santa Cruz,U.S. House,8,REP,Jonathan Paton,297,,
,U.S. House,8,REP,Jonathan Paton,37066,,
Cochise,U.S. House,8,REP,Jay Quick,236,,
Pima,U.S. House,8,REP,Jay Quick,1648,,
Pinal,U.S. House,8,REP,Jay Quick,35,,
Santa Cruz,U.S. House,8,REP,Jay Quick,14,,
,U.S. House,8,REP,Jay Quick,1933,,
Apache,Governor,,DEM,Terry Goddard,8154,,
Cochise,Governor,,DEM,Terry Goddard,6816,,
Coconino,Governor,,DEM,Terry Goddard,8243,,
Gila,Governor,,DEM,Terry Goddard,3181,,
Graham,Governor,,DEM,Terry Goddard,1577,,
Greenlee,Governor,,DEM,Terry Goddard,892,,
La Paz,Governor,,DEM,Terry Goddard,534,,
Maricopa,Governor,,DEM,Terry Goddard,145814,,
Mohave,Governor,,DEM,Terry Goddard,4371,,
Navajo,Governor,,DEM,Terry Goddard,6622,,
Pima,Governor,,DEM,Terry Goddard,68499,,
Pinal,Governor,,DEM,Terry Goddard,12536,,
Santa Cruz,Governor,,DEM,Terry Goddard,2948,,
Yavapai,Governor,,DEM,Terry Goddard,10545,,
Yuma,Governor,,DEM,Terry Goddard,5833,,
,Governor,,DEM,Terry Goddard,286565,True,
Apache,Governor,,LBT,"Ronald ""Ron"" Cavanaugh",13,,
Cochise,Governor,,LBT,"Ronald ""Ron"" Cavanaugh",14,,
Coconino,Governor,,LBT,"Ronald ""Ron"" Cavanaugh",17,,
Gila,Governor,,LBT,"Ronald ""Ron"" Cavanaugh",5,,
Graham,Governor,,LBT,"Ronald ""Ron"" Cavanaugh",3,,
Greenlee,Governor,,LBT,"Ronald ""Ron"" Cavanaugh",1,,
La Paz,Governor,,LBT,"Ronald ""Ron"" Cavanaugh",0,,
Maricopa,Governor,,LBT,"Ronald ""Ron"" Cavanaugh",281,,
Mohave,Governor,,LBT,"Ronald ""Ron"" Cavanaugh",11,,
Navajo,Governor,,LBT,"Ronald ""Ron"" Cavanaugh",11,,
Pima,Governor,,LBT,"Ronald ""Ron"" Cavanaugh",137,,
Pinal,Governor,,LBT,"Ronald ""Ron"" Cavanaugh",20,,
Santa Cruz,Governor,,LBT,"Ronald ""Ron"" Cavanaugh",7,,
