county,precinct,office,district,party,seats,candidate,votes
Gila,Globe No. 1,Sheriff,,REP,1,Tom MORRISSEY,68
Gila,Globe No. 1,Sheriff,,REP,1,Adam SHEPHERD,66
Gila,Globe No. 1,Sheriff,,REP,1,Write-In Totals,17
Gila,Globe No. 1,Sheriff,,REP,1,Total Votes Cast,151
Gila,Globe No. 1,Sheriff,,REP,1,Overvotes,0
Gila,Globe No. 1,Sheriff,,REP,1,Undervotes,7
Gila,Globe No. 1,County Treasurer,,REP,1,Monica WOHLFORTH,127
Gila,Globe No. 1,County Treasurer,,REP,1,Write-In Totals,1
Gila,Globe No. 1,County Treasurer,,REP,1,Total Votes Cast,128
Gila,Globe No. 1,County Treasurer,,REP,1,Overvotes,0
Gila,Globe No. 1,County Treasurer,,REP,1,Undervotes,30
Gila,Globe No. 1,County Superintendent of Schools,,REP,1,Jack DUFFY,57
Gila,Globe No. 1,County Superintendent of Schools,,REP,1,Roy SANDOVAL,83
Gila,Globe No. 1,County Superintendent of Schools,,REP,1,Write-In Totals,1
Gila,Globe No. 1,County Superintendent of Schools,,REP,1,Total Votes Cast,141
Gila,Globe No. 1,County Superintendent of Schools,,REP,1,Overvotes,0
Gila,Globe No. 1,County Superintendent of Schools,,REP,1,Undervotes,17
Gila,Globe No. 1,County Recorder,,REP,1,Sadie Jo BINGHAM,119
Gila,Globe No. 1,County Recorder,,REP,1,Bonnie WOLFF,34
Gila,Globe No. 1,County Recorder,,REP,1,Write-In Totals,1
Gila,Globe No. 1,County Recorder,,REP,1,Total Votes Cast,154
Gila,Globe No. 1,County Recorder,,REP,1,Overvotes,0
Gila,Globe No. 1,County Recorder,,REP,1,Undervotes,4
Gila,Globe No. 1,County Assessor,,REP,1,Sherra KISSEE,130
Gila,Globe No. 1,County Assessor,,REP,1,Write-In Totals,1
Gila,Globe No. 1,County Assessor,,REP,1,Total Votes Cast,131
Gila,Globe No. 1,County Assessor,,REP,1,Overvotes,0
Gila,Globe No. 1,County Assessor,,REP,1,Undervotes,27
Gila,Globe No. 1,Judge of the Superior Court,Div. 1,REP,1,Bryan B. CHAMBERS,131
Gila,Globe No. 1,Judge of the Superior Court,Div. 1,REP,1,Write-In Totals,4
Gila,Globe No. 1,Judge of the Superior Court,Div. 1,REP,1,Total Votes Cast,135
Gila,Globe No. 1,Judge of the Superior Court,Div. 1,REP,1,Overvotes,0
Gila,Globe No. 1,Judge of the Superior Court,Div. 1,REP,1,Undervotes,23
Gila,Globe No. 1,U.S. Senate,,DEM,1,Ruben GALLEGO,69
Gila,Globe No. 1,U.S. Senate,,DEM,1,Write-In Totals,0
Gila,Globe No. 1,U.S. Senate,,DEM,1,Total Votes Cast,69
Gila,Globe No. 1,U.S. Senate,,DEM,1,Overvotes,0
Gila,Globe No. 1,U.S. Senate,,DEM,1,Undervotes,10
Gila,Globe No. 1,U.S. House,2,DEM,1,Jonathan NEZ,66
Gila,Globe No. 1,U.S. House,2,DEM,1,Write-In Totals,1
Gila,Globe No. 1,U.S. House,2,DEM,1,Total Votes Cast,67
Gila,Globe No. 1,U.S. House,2,DEM,1,Overvotes,0
Gila,Globe No. 1,U.S. House,2,DEM,1,Undervotes,12
Gila,Globe No. 1,State Senate,7,DEM,1,Haley CREIGHTON,29
Gila,Globe No. 1,State Senate,7,DEM,1,Roberto Apodac REVELES,42
Gila,Globe No. 1,State Senate,7,DEM,1,Write-In Totals,0
Gila,Globe No. 1,State Senate,7,DEM,1,Total Votes Cast,71
Gila,Globe No. 1,State Senate,7,DEM,1,Overvotes,0
Gila,Globe No. 1,State Senate,7,DEM,1,Undervotes,8
Gila,Globe No. 1,State House,7,DEM,2,Kevin CHIQUETE,44
Gila,Globe No. 1,State House,7,DEM,2,Nancy HARTL,61
Gila,Globe No. 1,State House,7,DEM,2,Write-In Totals,0
Gila,Globe No. 1,State House,7,DEM,2,Total Votes Cast,105
Gila,Globe No. 1,State House,7,DEM,2,Overvotes,0
Gila,Globe No. 1,State House,7,DEM,2,Undervotes,53
Gila,Globe No. 1,Corporation Commissioner,,DEM,3,Ylenia AGUILAR,57
Gila,Globe No. 1,Corporation Commissioner,,DEM,3,Jonathon HILL,62
Gila,Globe No. 1,Corporation Commissioner,,DEM,3,Joshua POLACHECK,54
Gila,Globe No. 1,Corporation Commissioner,,DEM,3,Write-In Totals,0
Gila,Globe No. 1,Corporation Commissioner,,DEM,3,Total Votes Cast,173
Gila,Globe No. 1,Corporation Commissioner,,DEM,3,Overvotes,0
Gila,Globe No. 1,Corporation Commissioner,,DEM,3,Undervotes,64
Gila,Globe No. 1,Board of Supervisors,3,DEM,1,Write-In Totals,5
Gila,Globe No. 1,Board of Supervisors,3,DEM,1,Total Votes Cast,5
Gila,Globe No. 1,Board of Supervisors,3,DEM,1,Overvotes,0
Gila,Globe No. 1,Board of Supervisors,3,DEM,1,Undervotes,74
Gila,Globe No. 1,County Attorney,,DEM,1,Write-In Totals,5
Gila,Globe No. 1,County Attorney,,DEM,1,Total Votes Cast,5
Gila,Globe No. 1,County Attorney,,DEM,1,Overvotes,0
Gila,Globe No. 1,County Attorney,,DEM,1,Undervotes,74
Gila,Globe No. 1,Sheriff,,DEM,1,Write-In Totals,8
Gila,Globe No. 1,Sheriff,,DEM,1,Total Votes Cast,8
Gila,Globe No. 1,Sheriff,,DEM,1,Overvotes,0
Gila,Globe No. 1,Sheriff,,DEM,1,Undervotes,71
Gila,Globe No. 1,County Treasurer,,DEM,1,Write-In Totals,5
Gila,Globe No. 1,County Treasurer,,DEM,1,Total Votes Cast,5
Gila,Globe No. 1,County Treasurer,,DEM,1,Overvotes,0
Gila,Globe No. 1,County Treasurer,,DEM,1,Undervotes,74
Gila,Globe No. 1,County Superintendent of Schools,,DEM,1,Write-In Totals,5
Gila,Globe No. 1,County Superintendent of Schools,,DEM,1,Total Votes Cast,5
Gila,Globe No. 1,County Superintendent of Schools,,DEM,1,Overvotes,0
Gila,Globe No. 1,County Superintendent of Schools,,DEM,1,Undervotes,74
Gila,Globe No. 1,County Recorder,,DEM,1,Write-In Totals,5
Gila,Globe No. 1,County Recorder,,DEM,1,Total Votes Cast,5
Gila,Globe No. 1,County Recorder,,DEM,1,Overvotes,0
Gila,Globe No. 1,County Recorder,,DEM,1,Undervotes,74
Gila,Globe No. 1,County Assessor,,DEM,1,Write-In Totals,6
Gila,Globe No. 1,County Assessor,,DEM,1,Total Votes Cast,6
Gila,Globe No. 1,County Assessor,,DEM,1,Overvotes,0
Gila,Globe No. 1,County Assessor,,DEM,1,Undervotes,73
Gila,Globe No. 1,Judge of the Superior Court,Div. 1,DEM,1,Write-In Totals,5
Gila,Globe No. 1,Judge of the Superior Court,Div. 1,DEM,1,Total Votes Cast,5
Gila,Globe No. 1,Judge of the Superior Court,Div. 1,DEM,1,Overvotes,0
Gila,Globe No. 1,Judge of the Superior Court,Div. 1,DEM,1,Undervotes,74
