county,precinct,office,district,party,seats,candidate,votes,early_voting,election_day,provisional
Maricopa,0059 BETHUNE,U.S. House,3,DEM,1,Duane M. WOOTEN,28,25,3,0
Maricopa,0059 BETHUNE,U.S. House,3,DEM,1,Write-In Totals,0,0,0,0
Maricopa,0059 BETHUNE,U.S. House,3,DEM,1,Total Votes Cast,193,173,20,0
Maricopa,0059 BETHUNE,U.S. House,3,DEM,1,Overvotes,4,3,1,0
Maricopa,0059 BETHUNE,U.S. House,3,DEM,1,Undervotes,4,3,1,0
Maricopa,0059 BETHUNE,U.S. House,3,LBT,1,Write-In Totals,,0,,0
Maricopa,0059 BETHUNE,U.S. House,3,LBT,1,Total Votes Cast,,0,,0
Maricopa,0059 BETHUNE,U.S. House,3,LBT,1,Overvotes,,0,,0
Maricopa,0059 BETHUNE,U.S. House,3,LBT,1,Undervotes,,0,,0
Maricopa,0059 BETHUNE,U.S. House,3,GRN,1,Alan AVERSA,0,0,0,0
Maricopa,0059 BETHUNE,U.S. House,3,GRN,1,Write-In Totals,0,0,0,0
Maricopa,0059 BETHUNE,U.S. House,3,GRN,1,Total Votes Cast,0,0,0,0
Maricopa,0059 BETHUNE,U.S. House,3,GRN,1,Overvotes,0,0,0,0
Maricopa,0059 BETHUNE,U.S. House,3,GRN,1,Undervotes,0,0,0,0
Maricopa,0060 BILTMORE,Registered Voters - Total,,,,,2471,2471,2471,2471
Maricopa,0060 BILTMORE,Registered Voters - Republican,,REP,,,997,997,997,997
Maricopa,0060 BILTMORE,Registered Voters - Democratic,,DEM,,,781,781,781,781
Maricopa,0060 BILTMORE,Registered Voters - Libertarian,,LBT,,,13,13,13,13
Maricopa,0060 BILTMORE,Registered Voters - Green,,GRN,,,0,0,0,0
Maricopa,0060 BILTMORE,Ballots Cast - Total,,,,,1072,1010,61,1
Maricopa,0060 BILTMORE,Ballots Cast - Republican,,REP,,,568,527,41,0
Maricopa,0060 BILTMORE,Ballots Cast - Democratic,,DEM,,,503,482,20,1
Maricopa,0060 BILTMORE,Ballots Cast - Libertarian,,LBT,,,1,1,0,0
Maricopa,0060 BILTMORE,Ballots Cast - Green,,GRN,,,0,0,0,0
Maricopa,0060 BILTMORE,U.S. Senate,,REP,1,Kari LAKE,299,271,28,0
Maricopa,0060 BILTMORE,U.S. Senate,,REP,1,Mark LAMB,212,201,11,0
Maricopa,0060 BILTMORE,U.S. Senate,,REP,1,Elizabeth Jean REYE,49,47,2,0
Maricopa,0060 BILTMORE,U.S. Senate,,REP,1,Write-In Totals,1,1,0,0
Maricopa,0060 BILTMORE,U.S. Senate,,REP,1,Total Votes Cast,561,520,41,0
Maricopa,0060 BILTMORE,U.S. Senate,,REP,1,Overvotes,1,1,0,0
Maricopa,0060 BILTMORE,U.S. Senate,,REP,1,Undervotes,6,6,0,0
Maricopa,0060 BILTMORE,U.S. Senate,,DEM,1,Ruben GALLEGO,492,472,19,
Maricopa,0060 BILTMORE,U.S. Senate,,DEM,1,Write-In Totals,0,0,0,
Maricopa,0060 BILTMORE,U.S. Senate,,DEM,1,Total Votes Cast,492,472,19,
Maricopa,0060 BILTMORE,U.S. Senate,,DEM,1,Overvotes,0,0,0,
Maricopa,0060 BILTMORE,U.S. Senate,,DEM,1,Undervotes,11,10,1,
Maricopa,0060 BILTMORE,U.S. Senate,,LBT,1,Write-In Totals,,,0,0
Maricopa,0060 BILTMORE,U.S. Senate,,LBT,1,Total Votes Cast,,,0,0
Maricopa,0060 BILTMORE,U.S. Senate,,LBT,1,Overvotes,,,0,0
Maricopa,0060 BILTMORE,U.S. Senate,,LBT,1,Undervotes,,,0,0
Maricopa,0060 BILTMORE,U.S. Senate,,GRN,1,Arturo HERNANDEZ,0,0,0,0
Maricopa,0060 BILTMORE,U.S. Senate,,GRN,1,Michael NORTON,0,0,0,0
Maricopa,0060 BILTMORE,U.S. Senate,,GRN,1,Write-In Totals,0,0,0,0
Maricopa,0060 BILTMORE,U.S. Senate,,GRN,1,Total Votes Cast,0,0,0,0
Maricopa,0060 BILTMORE,U.S. Senate,,GRN,1,Overvotes,0,0,0,0
Maricopa,0060 BILTMORE,U.S. Senate,,GRN,1,Undervotes,0,0,0,0
Maricopa,0060 BILTMORE,U.S. House,1,REP,1,Robert BACKIE,69,67,2,0
Maricopa,0060 BILTMORE,U.S. House,1,REP,1,Kim GEORGE,115,98,17,0
Maricopa,0060 BILTMORE,U.S. House,1,REP,1,David SCHWEIKERT,345,323,22,0
Maricopa,0060 BILTMORE,U.S. House,1,REP,1,Write-In Totals,2,2,0,0
Maricopa,0060 BILTMORE,U.S. House,1,REP,1,Total Votes Cast,531,490,41,0
Maricopa,0060 BILTMORE,U.S. House,1,REP,1,Overvotes,0,0,0,0
Maricopa,0060 BILTMORE,U.S. House,1,REP,1,Undervotes,37,37,0,0
Maricopa,0060 BILTMORE,U.S. House,1,DEM,1,Andrei CHERNY,161,153,8,
Maricopa,0060 BILTMORE,U.S. House,1,DEM,1,Marlene GALEN-WOODS,115,108,6,
Maricopa,0060 BILTMORE,U.S. House,1,DEM,1,Andrew HORNE,45,44,1,
Maricopa,0060 BILTMORE,U.S. House,1,DEM,1,Kurt KROEMER,14,14,0,
Maricopa,0060 BILTMORE,U.S. House,1,DEM,1,Connor O'CALLAGHAN,62,61,1,
Maricopa,0060 BILTMORE,U.S. House,1,DEM,1,Amish SHAH,89,86,3,
Maricopa,0060 BILTMORE,U.S. House,1,DEM,1,Write-In Totals,0,0,0,
Maricopa,0060 BILTMORE,U.S. House,1,DEM,1,Total Votes Cast,486,466,19,
Maricopa,0060 BILTMORE,U.S. House,1,DEM,1,Overvotes,0,0,0,
Maricopa,0060 BILTMORE,U.S. House,1,DEM,1,Undervotes,17,16,1,
Maricopa,0060 BILTMORE,U.S. House,1,LBT,1,Write-In Totals,,,0,0
Maricopa,0060 BILTMORE,U.S. House,1,LBT,1,Total Votes Cast,,,0,0
Maricopa,0060 BILTMORE,U.S. House,1,LBT,1,Overvotes,,,0,0
Maricopa,0060 BILTMORE,U.S. House,1,LBT,1,Undervotes,,,0,0
Maricopa,0060 BILTMORE,U.S. House,1,GRN,1,Write-In Totals,0,0,0,0
Maricopa,0060 BILTMORE,U.S. House,1,GRN,1,Total Votes Cast,0,0,0,0
Maricopa,0060 BILTMORE,U.S. House,1,GRN,1,Overvotes,0,0,0,0
Maricopa,0060 BILTMORE,U.S. House,1,GRN,1,Undervotes,0,0,0,0
Maricopa,0061 BISCUIT FLAT,Registered Voters - Total,,,,,872,872,872,872
Maricopa,0061 BISCUIT FLAT,Registered Voters - Republican,,REP,,,474,474,474,474
Maricopa,0061 BISCUIT FLAT,Registered Voters - Democratic,,DEM,,,129,129,129,129
Maricopa,0061 BISCUIT FLAT,Registered Voters - Libertarian,,LBT,,,6,6,6,6
Maricopa,0061 BISCUIT FLAT,Registered Voters - Green,,GRN,,,1,1,1,1
Maricopa,0061 BISCUIT FLAT,Ballots Cast - Total,,,,,369,335,34,0
Maricopa,0061 BISCUIT FLAT,Ballots Cast - Republican,,REP,,,292,258,34,0
Maricopa,0061 BISCUIT FLAT,Ballots Cast - Democratic,,DEM,,,77,77,0,0
Maricopa,0061 BISCUIT FLAT,Ballots Cast - Libertarian,,LBT,,,0,0,0,0
Maricopa,0061 BISCUIT FLAT,Ballots Cast - Green,,GRN,,,0,0,0,0
Maricopa,0061 BISCUIT FLAT,U.S. Senate,,REP,1,Kari LAKE,194,166,28,0
Maricopa,0061 BISCUIT FLAT,U.S. Senate,,REP,1,Mark LAMB,86,80,6,0
Maricopa,0061 BISCUIT FLAT,U.S. Senate,,REP,1,Elizabeth Jean REYE,10,10,0,0
Maricopa,0061 BISCUIT FLAT,U.S. Senate,,REP,1,Write-In Totals,0,0,0,0
Maricopa,0061 BISCUIT FLAT,U.S. Senate,,REP,1,Total Votes Cast,290,256,34,0
Maricopa,0061 BISCUIT FLAT,U.S. Senate,,REP,1,Overvotes,1,1,0,0
Maricopa,0061 BISCUIT FLAT,U.S. Senate,,REP,1,Undervotes,1,1,0,0
Maricopa,0061 BISCUIT FLAT,U.S. Senate,,DEM,1,Ruben GALLEGO,77,77,0,0
Maricopa,0061 BISCUIT FLAT,U.S. Senate,,DEM,1,Write-In Totals,0,0,0,0
Maricopa,0061 BISCUIT FLAT,U.S. Senate,,DEM,1,Total Votes Cast,77,77,0,0
Maricopa,0061 BISCUIT FLAT,U.S. Senate,,DEM,1,Overvotes,0,0,0,0
Maricopa,0061 BISCUIT FLAT,U.S. Senate,,DEM,1,Undervotes,0,0,0,0
Maricopa,0061 BISCUIT FLAT,U.S. Senate,,LBT,1,Write-In Totals,0,0,0,0
Maricopa,0061 BISCUIT FLAT,U.S. Senate,,LBT,1,Total Votes Cast,0,0,0,0
Maricopa,0061 BISCUIT FLAT,U.S. Senate,,LBT,1,Overvotes,0,0,0,0
Maricopa,0061 BISCUIT FLAT,U.S. Senate,,LBT,1,Undervotes,0,0,0,0
Maricopa,0061 BISCUIT FLAT,U.S. Senate,,GRN,1,Arturo HERNANDEZ,0,0,0,0
Maricopa,0061 BISCUIT FLAT,U.S. Senate,,GRN,1,Michael NORTON,0,0,0,0
Maricopa,0061 BISCUIT FLAT,U.S. Senate,,GRN,1,Write-In Totals,0,0,0,0
Maricopa,0061 BISCUIT FLAT,U.S. Senate,,GRN,1,Total Votes Cast,0,0,0,0
Maricopa,0061 BISCUIT FLAT,U.S. Senate,,GRN,1,Overvotes,0,0,0,0
Maricopa,0061 BISCUIT FLAT,U.S. Senate,,GRN,1,Undervotes,0,0,0,0
Maricopa,0061 BISCUIT FLAT,U.S. House,8,REP,1,"Patrick ""Pat"" BRIODY",0,0,0,0
Maricopa,0061 BISCUIT FLAT,U.S. House,8,REP,1,Trent FRANKS,34,34,0,0
Maricopa,0061 BISCUIT FLAT,U.S. House,8,REP,1,"Abraham ""Abe"" HAMADEH",90,71,19,0
Maricopa,0061 BISCUIT FLAT,U.S. House,8,REP,1,Anthony KERN,8,7,1,0
Maricopa,0061 BISCUIT FLAT,U.S. House,8,REP,1,Blake MASTERS,105,95,10,0
Maricopa,0061 BISCUIT FLAT,U.S. House,8,REP,1,Ben TOMA,51,47,4,0
Maricopa,0061 BISCUIT FLAT,U.S. House,8,REP,1,Write-In Totals,0,0,0,0
Maricopa,0061 BISCUIT FLAT,U.S. House,8,REP,1,Total Votes Cast,288,254,34,0
Maricopa,0061 BISCUIT FLAT,U.S. House,8,REP,1,Overvotes,0,0,0,0
Maricopa,0061 BISCUIT FLAT,U.S. House,8,REP,1,Undervotes,4,4,0,0
Maricopa,0061 BISCUIT FLAT,U.S. House,8,DEM,1,Gregory WHITTEN,70,70,0,0
Maricopa,0061 BISCUIT FLAT,U.S. House,8,DEM,1,Write-In Totals,0,0,0,0
Maricopa,0061 BISCUIT FLAT,U.S. House,8,DEM,1,Total Votes Cast,70,70,0,0
Maricopa,0061 BISCUIT FLAT,U.S. House,8,DEM,1,Overvotes,0,0,0,0
Maricopa,0061 BISCUIT FLAT,U.S. House,8,DEM,1,Undervotes,7,7,0,0
Maricopa,0061 BISCUIT FLAT,U.S. House,8,LBT,1,Write-In Totals,0,0,0,0
Maricopa,0061 BISCUIT FLAT,U.S. House,8,LBT,1,Total Votes Cast,0,0,0,0
Maricopa,0061 BISCUIT FLAT,U.S. House,8,LBT,1,Overvotes,0,0,0,0
Maricopa,0061 BISCUIT FLAT,U.S. House,8,LBT,1,Undervotes,0,0,0,0
Maricopa,0061 BISCUIT FLAT,U.S. House,8,GRN,1,Write-In Totals,0,0,0,0
Maricopa,0061 BISCUIT FLAT,U.S. House,8,GRN,1,Total Votes Cast,0,0,0,0
Maricopa,0061 BISCUIT FLAT,U.S. House,8,GRN,1,Overvotes,0,0,0,0
Maricopa,0061 BISCUIT FLAT,U.S. House,8,GRN,1,Undervotes,0,0,0,0
Maricopa,0062 BISHOP,Registered Voters - Total,,,,,1293,1293,1293,1293
Maricopa,0062 BISHOP,Registered Voters - Republican,,REP,,,394,394,394,394
Maricopa,0062 BISHOP,Registered Voters - Democratic,,DEM,,,387,387,387,387
Maricopa,0062 BISHOP,Registered Voters - Libertarian,,LBT,,,6,6,6,6
Maricopa,0062 BISHOP,Registered Voters - Green,,GRN,,,3,3,3,3
Maricopa,0062 BISHOP,Ballots Cast - Total,,,,,377,324,53,0
Maricopa,0062 BISHOP,Ballots Cast - Republican,,REP,,,181,146,35,0
Maricopa,0062 BISHOP,Ballots Cast - Democratic,,DEM,,,185,169,16,0
Maricopa,0062 BISHOP,Ballots Cast - Libertarian,,LBT,,,1,1,0,0
Maricopa,0062 BISHOP,Ballots Cast - Green,,GRN,,,3,3,0,0
Maricopa,0062 BISHOP,U.S. Senate,,REP,1,Kari LAKE,109,79,30,0
Maricopa,0062 BISHOP,U.S. Senate,,REP,1,Mark LAMB,62,58,4,0
Maricopa,0062 BISHOP,U.S. Senate,,REP,1,Elizabeth Jean REYE,10,9,1,0
Maricopa,0062 BISHOP,U.S. Senate,,REP,1,Write-In Totals,0,0,0,0
Maricopa,0062 BISHOP,U.S. Senate,,REP,1,Total Votes Cast,181,146,35,0
Maricopa,0062 BISHOP,U.S. Senate,,REP,1,Overvotes,0,0,0,0
Maricopa,0062 BISHOP,U.S. Senate,,REP,1,Undervotes,0,0,0,0
Maricopa,0062 BISHOP,U.S. Senate,,DEM,1,Ruben GALLEGO,176,161,15,0
Maricopa,0062 BISHOP,U.S. Senate,,DEM,1,Write-In Totals,2,2,0,0
Maricopa,0062 BISHOP,U.S. Senate,,DEM,1,Total Votes Cast,178,163,15,0
Maricopa,0062 BISHOP,U.S. Senate,,DEM,1,Overvotes,0,0,0,0
Maricopa,0062 BISHOP,U.S. Senate,,DEM,1,Undervotes,7,6,1,0
Maricopa,0062 BISHOP,U.S. Senate,,LBT,1,Write-In Totals,,,0,0
Maricopa,0062 BISHOP,U.S. Senate,,LBT,1,Total Votes Cast,,,0,0
Maricopa,0062 BISHOP,U.S. Senate,,LBT,1,Overvotes,,,0,0
Maricopa,0062 BISHOP,U.S. Senate,,LBT,1,Undervotes,,,0,0
Maricopa,0062 BISHOP,U.S. Senate,,GRN,1,Arturo HERNANDEZ,,,0,0
Maricopa,0062 BISHOP,U.S. Senate,,GRN,1,Michael NORTON,,,0,0
Maricopa,0062 BISHOP,U.S. Senate,,GRN,1,Write-In Totals,,,0,0
Maricopa,0062 BISHOP,U.S. Senate,,GRN,1,Total Votes Cast,,,0,0
Maricopa,0062 BISHOP,U.S. Senate,,GRN,1,Overvotes,,,0,0
Maricopa,0062 BISHOP,U.S. Senate,,GRN,1,Undervotes,,,0,0
Maricopa,0062 BISHOP,U.S. House,1,REP,1,Robert BACKIE,22,19,3,0
Maricopa,0062 BISHOP,U.S. House,1,REP,1,Kim GEORGE,37,29,8,0
Maricopa,0062 BISHOP,U.S. House,1,REP,1,David SCHWEIKERT,111,89,22,0
Maricopa,0062 BISHOP,U.S. House,1,REP,1,Write-In Totals,1,1,0,0
Maricopa,0062 BISHOP,U.S. House,1,REP,1,Total Votes Cast,171,138,33,0
Maricopa,0062 BISHOP,U.S. House,1,REP,1,Overvotes,0,0,0,0
Maricopa,0062 BISHOP,U.S. House,1,REP,1,Undervotes,10,8,2,0
Maricopa,0062 BISHOP,U.S. House,1,DEM,1,Andrei CHERNY,30,28,2,0
Maricopa,0062 BISHOP,U.S. House,1,DEM,1,Marlene GALEN-WOODS,48,47,1,0
Maricopa,0062 BISHOP,U.S. House,1,DEM,1,Andrew HORNE,29,21,8,0
Maricopa,0062 BISHOP,U.S. House,1,DEM,1,Kurt KROEMER,8,8,0,0
Maricopa,0062 BISHOP,U.S. House,1,DEM,1,Connor O'CALLAGHAN,31,29,2,0
Maricopa,0062 BISHOP,U.S. House,1,DEM,1,Amish SHAH,26,24,2,0
Maricopa,0062 BISHOP,U.S. House,1,DEM,1,Write-In Totals,1,1,0,0
Maricopa,0062 BISHOP,U.S. House,1,DEM,1,Total Votes Cast,173,158,15,0
Maricopa,0062 BISHOP,U.S. House,1,DEM,1,Overvotes,3,3,0,0
Maricopa,0062 BISHOP,U.S. House,1,DEM,1,Undervotes,9,8,1,0
Maricopa,0062 BISHOP,U.S. House,1,LBT,1,Write-In Totals,,,0,0
Maricopa,0062 BISHOP,U.S. House,1,LBT,1,Total Votes Cast,,,0,0
Maricopa,0062 BISHOP,U.S. House,1,LBT,1,Overvotes,,,0,0
Maricopa,0062 BISHOP,U.S. House,1,LBT,1,Undervotes,,,0,0
Maricopa,0062 BISHOP,U.S. House,1,GRN,1,Write-In Totals,,,0,0
Maricopa,0062 BISHOP,U.S. House,1,GRN,1,Total Votes Cast,,,0,0
Maricopa,0062 BISHOP,U.S. House,1,GRN,1,Overvotes,,,0,0
Maricopa,0062 BISHOP,U.S. House,1,GRN,1,Undervotes,,,0,0
Maricopa,0063 BLACK CANYON,Registered Voters - Total,,,,,2095,2095,2095,2095
Maricopa,0063 BLACK CANYON,Registered Voters - Republican,,REP,,,560,560,560,560
Maricopa,0063 BLACK CANYON,Registered Voters - Democratic,,DEM,,,664,664,664,664
Maricopa,0063 BLACK CANYON,Registered Voters - Libertarian,,LBT,,,14,14,14,14
Maricopa,0063 BLACK CANYON,Registered Voters - Green,,GRN,,,2,2,2,2
Maricopa,0063 BLACK CANYON,Ballots Cast - Total,,,,,463,428,34,1
Maricopa,0063 BLACK CANYON,Ballots Cast - Republican,,REP,,,254,228,26,0
Maricopa,0063 BLACK CANYON,Ballots Cast - Democratic,,DEM,,,208,200,7,1
Maricopa,0063 BLACK CANYON,Ballots Cast - Libertarian,,LBT,,,1,0,1,0
Maricopa,0063 BLACK CANYON,Ballots Cast - Green,,GRN,,,0,0,0,0
Maricopa,0063 BLACK CANYON,U.S. Senate,,REP,1,Kari LAKE,157,141,16,0
Maricopa,0063 BLACK CANYON,U.S. Senate,,REP,1,Mark LAMB,72,63,9,0
Maricopa,0063 BLACK CANYON,U.S. Senate,,REP,1,Elizabeth Jean REYE,19,19,0,0
Maricopa,0063 BLACK CANYON,U.S. Senate,,REP,1,Write-In Totals,1,1,0,0
Maricopa,0063 BLACK CANYON,U.S. Senate,,REP,1,Total Votes Cast,249,224,25,0
Maricopa,0063 BLACK CANYON,U.S. Senate,,REP,1,Overvotes,1,1,0,0
Maricopa,0063 BLACK CANYON,U.S. Senate,,REP,1,Undervotes,4,3,1,0
Maricopa,0063 BLACK CANYON,U.S. Senate,,DEM,1,Ruben GALLEGO,200,193,,
Maricopa,0063 BLACK CANYON,U.S. Senate,,DEM,1,Write-In Totals,2,2,,
Maricopa,0063 BLACK CANYON,U.S. Senate,,DEM,1,Total Votes Cast,202,195,,
Maricopa,0063 BLACK CANYON,U.S. Senate,,DEM,1,Overvotes,1,1,,
Maricopa,0063 BLACK CANYON,U.S. Senate,,DEM,1,Undervotes,5,4,,
Maricopa,0063 BLACK CANYON,U.S. Senate,,LBT,1,Write-In Totals,,0,,0
Maricopa,0063 BLACK CANYON,U.S. Senate,,LBT,1,Total Votes Cast,,0,,0
Maricopa,0063 BLACK CANYON,U.S. Senate,,LBT,1,Overvotes,,0,,0
Maricopa,0063 BLACK CANYON,U.S. Senate,,LBT,1,Undervotes,,0,,0
Maricopa,0063 BLACK CANYON,U.S. Senate,,GRN,1,Arturo HERNANDEZ,0,0,0,0
Maricopa,0063 BLACK CANYON,U.S. Senate,,GRN,1,Michael NORTON,0,0,0,0
Maricopa,0063 BLACK CANYON,U.S. Senate,,GRN,1,Write-In Totals,0,0,0,0
Maricopa,0063 BLACK CANYON,U.S. Senate,,GRN,1,Total Votes Cast,0,0,0,0
Maricopa,0063 BLACK CANYON,U.S. Senate,,GRN,1,Overvotes,0,0,0,0
Maricopa,0063 BLACK CANYON,U.S. Senate,,GRN,1,Undervotes,0,0,0,0
Maricopa,0063 BLACK CANYON,U.S. House,8,REP,1,"Patrick ""Pat"" BRIODY",7,7,0,0
Maricopa,0063 BLACK CANYON,U.S. House,8,REP,1,Trent FRANKS,52,49,3,0
Maricopa,0063 BLACK CANYON,U.S. House,8,REP,1,"Abraham ""Abe"" HAMADEH",55,52,3,0
Maricopa,0063 BLACK CANYON,U.S. House,8,REP,1,Anthony KERN,19,16,3,0
Maricopa,0063 BLACK CANYON,U.S. House,8,REP,1,Blake MASTERS,51,39,12,0
Maricopa,0063 BLACK CANYON,U.S. House,8,REP,1,Ben TOMA,64,59,5,0
Maricopa,0063 BLACK CANYON,U.S. House,8,REP,1,Write-In Totals,2,2,0,0
Maricopa,0063 BLACK CANYON,U.S. House,8,REP,1,Total Votes Cast,250,224,26,0
Maricopa,0063 BLACK CANYON,U.S. House,8,REP,1,Overvotes,0,0,0,0
Maricopa,0063 BLACK CANYON,U.S. House,8,REP,1,Undervotes,4,4,0,0
Maricopa,0063 BLACK CANYON,U.S. House,8,DEM,1,Gregory WHITTEN,187,179,,
Maricopa,0063 BLACK CANYON,U.S. House,8,DEM,1,Write-In Totals,2,2,,
Maricopa,0063 BLACK CANYON,U.S. House,8,DEM,1,Total Votes Cast,189,181,,
Maricopa,0063 BLACK CANYON,U.S. House,8,DEM,1,Overvotes,0,0,,
Maricopa,0063 BLACK CANYON,U.S. House,8,DEM,1,Undervotes,19,19,,
Maricopa,0063 BLACK CANYON,U.S. House,8,LBT,1,Write-In Totals,,0,,0
Maricopa,0063 BLACK CANYON,U.S. House,8,LBT,1,Total Votes Cast,,0,,0
Maricopa,0063 BLACK CANYON,U.S. House,8,LBT,1,Overvotes,,0,,0
Maricopa,0063 BLACK CANYON,U.S. House,8,LBT,1,Undervotes,,0,,0
Maricopa,0063 BLACK CANYON,U.S. House,8,GRN,1,Write-In Totals,0,0,0,0
Maricopa,0063 BLACK CANYON,U.S. House,8,GRN,1,Total Votes Cast,0,0,0,0
Maricopa,0063 BLACK CANYON,U.S. House,8,GRN,1,Overvotes,0,0,0,0
Maricopa,0063 BLACK CANYON,U.S. House,8,GRN,1,Undervotes,0,0,0,0
Maricopa,0064 BLACK GOLD,Registered Voters - Total,,,,,2439,2439,2439,2439
Maricopa,0064 BLACK GOLD,Registered Voters - Republican,,REP,,,1233,1233,1233,1233
Maricopa,0064 BLACK GOLD,Registered Voters - Democratic,,DEM,,,571,571,571,571
Maricopa,0064 BLACK GOLD,Registered Voters - Libertarian,,LBT,,,3,3,3,3
Maricopa,0064 BLACK GOLD,Registered Voters - Green,,GRN,,,1,1,1,1
Maricopa,0064 BLACK GOLD,Ballots Cast - Total,,,,,1450,1345,105,0
Maricopa,0064 BLACK GOLD,Ballots Cast - Republican,,REP,,,1013,917,96,0
Maricopa,0064 BLACK GOLD,Ballots Cast - Democratic,,DEM,,,435,426,9,0
Maricopa,0064 BLACK GOLD,Ballots Cast - Libertarian,,LBT,,,1,1,0,0
Maricopa,0064 BLACK GOLD,Ballots Cast - Green,,GRN,,,1,1,0,0
Maricopa,0064 BLACK GOLD,U.S. Senate,,REP,1,Kari LAKE,585,513,72,0
Maricopa,0064 BLACK GOLD,U.S. Senate,,REP,1,Mark LAMB,374,351,23,0
Maricopa,0064 BLACK GOLD,U.S. Senate,,REP,1,Elizabeth Jean REYE,41,40,1,0
Maricopa,0064 BLACK GOLD,U.S. Senate,,REP,1,Write-In Totals,2,2,0,0
Maricopa,0064 BLACK GOLD,U.S. Senate,,REP,1,Total Votes Cast,1002,906,96,0
Maricopa,0064 BLACK GOLD,U.S. Senate,,REP,1,Overvotes,2,2,0,0
Maricopa,0064 BLACK GOLD,U.S. Senate,,REP,1,Undervotes,9,9,0,0
Maricopa,0064 BLACK GOLD,U.S. Senate,,DEM,1,Ruben GALLEGO,422,415,,0
Maricopa,0064 BLACK GOLD,U.S. Senate,,DEM,1,Write-In Totals,4,3,,0
Maricopa,0064 BLACK GOLD,U.S. Senate,,DEM,1,Total Votes Cast,426,418,,0
Maricopa,0064 BLACK GOLD,U.S. Senate,,DEM,1,Overvotes,0,0,,0
Maricopa,0064 BLACK GOLD,U.S. Senate,,DEM,1,Undervotes,9,8,,0
Maricopa,0064 BLACK GOLD,U.S. Senate,,LBT,1,Write-In Totals,,,0,0
Maricopa,0064 BLACK GOLD,U.S. Senate,,LBT,1,Total Votes Cast,,,0,0
Maricopa,0064 BLACK GOLD,U.S. Senate,,LBT,1,Overvotes,,,0,0
Maricopa,0064 BLACK GOLD,U.S. Senate,,LBT,1,Undervotes,,,0,0
Maricopa,0064 BLACK GOLD,U.S. Senate,,GRN,1,Arturo HERNANDEZ,,,0,0
Maricopa,0064 BLACK GOLD,U.S. Senate,,GRN,1,Michael NORTON,,,0,0
Maricopa,0064 BLACK GOLD,U.S. Senate,,GRN,1,Write-In Totals,,,0,0
Maricopa,0064 BLACK GOLD,U.S. Senate,,GRN,1,Total Votes Cast,,,0,0
Maricopa,0064 BLACK GOLD,U.S. Senate,,GRN,1,Overvotes,,,0,0
Maricopa,0064 BLACK GOLD,U.S. Senate,,GRN,1,Undervotes,,,0,0
Maricopa,0064 BLACK GOLD,U.S. House,8,REP,1,"Patrick ""Pat"" BRIODY",15,13,2,0
Maricopa,0064 BLACK GOLD,U.S. House,8,REP,1,Trent FRANKS,152,135,17,0
Maricopa,0064 BLACK GOLD,U.S. House,8,REP,1,"Abraham ""Abe"" HAMADEH",278,250,28,0
Maricopa,0064 BLACK GOLD,U.S. House,8,REP,1,Anthony KERN,27,24,3,0
Maricopa,0064 BLACK GOLD,U.S. House,8,REP,1,Blake MASTERS,270,236,34,0
Maricopa,0064 BLACK GOLD,U.S. House,8,REP,1,Ben TOMA,250,238,12,0
Maricopa,0064 BLACK GOLD,U.S. House,8,REP,1,Write-In Totals,1,1,0,0
Maricopa,0064 BLACK GOLD,U.S. House,8,REP,1,Total Votes Cast,993,897,96,0
Maricopa,0064 BLACK GOLD,U.S. House,8,REP,1,Overvotes,1,1,0,0
Maricopa,0064 BLACK GOLD,U.S. House,8,REP,1,Undervotes,19,19,0,0
Maricopa,0064 BLACK GOLD,U.S. House,8,DEM,1,Gregory WHITTEN,4,395,,0
Maricopa,0064 BLACK GOLD,U.S. House,8,DEM,1,Write-In Totals,2,2,,0
Maricopa,0064 BLACK GOLD,U.S. House,8,DEM,1,Total Votes Cast,,397,,0
Maricopa,0064 BLACK GOLD,U.S. House,8,DEM,1,Overvotes,0,0,,0
Maricopa,0064 BLACK GOLD,U.S. House,8,DEM,1,Undervotes,30,29,,0
Maricopa,0064 BLACK GOLD,U.S. House,8,LBT,1,Write-In Totals,,,0,0
Maricopa,0064 BLACK GOLD,U.S. House,8,LBT,1,Total Votes Cast,,,0,0
Maricopa,0064 BLACK GOLD,U.S. House,8,LBT,1,Overvotes,,,0,0
Maricopa,0064 BLACK GOLD,U.S. House,8,LBT,1,Undervotes,,,0,0
Maricopa,0064 BLACK GOLD,U.S. House,8,GRN,1,Write-In Totals,,,0,0
Maricopa,0064 BLACK GOLD,U.S. House,8,GRN,1,Total Votes Cast,,,0,0
Maricopa,0064 BLACK GOLD,U.S. House,8,GRN,1,Overvotes,,,0,0
Maricopa,0064 BLACK GOLD,U.S. House,8,GRN,1,Undervotes,,,0,0
Maricopa,0065 BLACKHAWK,Registered Voters - Total,,,,,3169,3169,3169,3169
Maricopa,0065 BLACKHAWK,Registered Voters - Republican,,REP,,,1116,1116,1116,1116
Maricopa,0065 BLACKHAWK,Registered Voters - Democratic,,DEM,,,803,803,803,803
Maricopa,0065 BLACKHAWK,Registered Voters - Libertarian,,LBT,,,41,41,41,41
Maricopa,0065 BLACKHAWK,Registered Voters - Green,,GRN,,,5,5,5,5
Maricopa,0065 BLACKHAWK,Ballots Cast - Total,,,,,771,685,85,1
Maricopa,0065 BLACKHAWK,Ballots Cast - Republican,,REP,,,452,388,63,1
