county,precinct,office,district,party,seats,candidate,votes
Navajo,01 RED BUTTE,County Attorney,,REP,1,Undervotes,304
Navajo,01 RED BUTTE,County Assessor,,REP,1,Mike MONTANDON,286
Navajo,01 RED BUTTE,County Assessor,,REP,1,Write-In Totals,5
Navajo,01 RED BUTTE,County Assessor,,REP,1,Total Votes Cast,291
Navajo,01 RED BUTTE,County Assessor,,REP,1,Overvotes,0
Navajo,01 RED BUTTE,County Assessor,,REP,1,Undervotes,49
Navajo,01 RED BUTTE,County Recorder,,REP,1,Timothy JORDON,291
Navajo,01 RED BUTTE,County Recorder,,REP,1,Write-In Totals,7
Navajo,01 RED BUTTE,County Recorder,,REP,1,Total Votes Cast,298
Navajo,01 RED BUTTE,County Recorder,,REP,1,Overvotes,0
Navajo,01 RED BUTTE,County Recorder,,REP,1,Undervotes,42
Navajo,01 RED BUTTE,County School Superintendent,,REP,1,Rachael LEWIS,293
Navajo,01 RED BUTTE,County School Superintendent,,REP,1,Write-In Totals,7
Navajo,01 RED BUTTE,County School Superintendent,,REP,1,Total Votes Cast,300
Navajo,01 RED BUTTE,County School Superintendent,,REP,1,Overvotes,0
Navajo,01 RED BUTTE,County School Superintendent,,REP,1,Undervotes,40
Navajo,01 RED BUTTE,County Sheriff,,REP,1,David CLOUSE,290
Navajo,01 RED BUTTE,County Sheriff,,REP,1,Write-In Totals,9
Navajo,01 RED BUTTE,County Sheriff,,REP,1,Total Votes Cast,299
Navajo,01 RED BUTTE,County Sheriff,,REP,1,Overvotes,0
Navajo,01 RED BUTTE,County Sheriff,,REP,1,Undervotes,41
Navajo,01 RED BUTTE,County Treasurer,,REP,1,Danielle EARL,188
Navajo,01 RED BUTTE,County Treasurer,,REP,1,Charles WEBBER,114
Navajo,01 RED BUTTE,County Treasurer,,REP,1,Write-In Totals,5
Navajo,01 RED BUTTE,County Treasurer,,REP,1,Total Votes Cast,307
Navajo,01 RED BUTTE,County Treasurer,,REP,1,Overvotes,0
Navajo,01 RED BUTTE,County Treasurer,,REP,1,Undervotes,33
Navajo,01 RED BUTTE,Superior Court Judge,2,REP,1,Write-In Totals,36
Navajo,01 RED BUTTE,Superior Court Judge,2,REP,1,Total Votes Cast,36
Navajo,01 RED BUTTE,Superior Court Judge,2,REP,1,Overvotes,0
Navajo,01 RED BUTTE,Superior Court Judge,2,REP,1,Undervotes,304
Navajo,01 RED BUTTE,Superior Court Judge,3,REP,1,Jon Helaman SALINE,270
Navajo,01 RED BUTTE,Superior Court Judge,3,REP,1,Write-In Totals,8
Navajo,01 RED BUTTE,Superior Court Judge,3,REP,1,Total Votes Cast,278
Navajo,01 RED BUTTE,Superior Court Judge,3,REP,1,Overvotes,1
Navajo,01 RED BUTTE,Superior Court Judge,3,REP,1,Undervotes,61
Navajo,01 RED BUTTE,Superior Court Judge,4,REP,1,Write-In Totals,34
Navajo,01 RED BUTTE,Superior Court Judge,4,REP,1,Total Votes Cast,34
Navajo,01 RED BUTTE,Superior Court Judge,4,REP,1,Overvotes,0
Navajo,01 RED BUTTE,Superior Court Judge,4,REP,1,Undervotes,306
Navajo,01 RED BUTTE,U.S. Senate,,DEM,1,Ruben GALLEGO,2013
Navajo,01 RED BUTTE,U.S. Senate,,DEM,1,Write-In Totals,28
Navajo,01 RED BUTTE,U.S. Senate,,DEM,1,Total Votes Cast,2041
Navajo,01 RED BUTTE,U.S. Senate,,DEM,1,Overvotes,2
Navajo,01 RED BUTTE,U.S. Senate,,DEM,1,Undervotes,169
Navajo,01 RED BUTTE,U.S. House,2,DEM,1,Jonathan NEZ,2134
Navajo,01 RED BUTTE,U.S. House,2,DEM,1,Write-In Totals,14
Navajo,01 RED BUTTE,U.S. House,2,DEM,1,Total Votes Cast,2148
Navajo,01 RED BUTTE,U.S. House,2,DEM,1,Overvotes,0
Navajo,01 RED BUTTE,U.S. House,2,DEM,1,Undervotes,64
Navajo,01 RED BUTTE,State Senate,6,DEM,1,Theresa HATATHLIE,2057
Navajo,01 RED BUTTE,State Senate,6,DEM,1,Write-In Totals,11
Navajo,01 RED BUTTE,State Senate,6,DEM,1,Total Votes Cast,2068
Navajo,01 RED BUTTE,State Senate,6,DEM,1,Overvotes,0
Navajo,01 RED BUTTE,State Senate,6,DEM,1,Undervotes,144
Navajo,01 RED BUTTE,State House,6,DEM,2,Angela MALONEY,540
Navajo,01 RED BUTTE,State House,6,DEM,2,Mae PESHLAKAI,1213
Navajo,01 RED BUTTE,State House,6,DEM,2,Myron TSOSIE,1249
Navajo,01 RED BUTTE,State House,6,DEM,2,Write-In Totals,4
Navajo,01 RED BUTTE,State House,6,DEM,2,Total Votes Cast,3006
Navajo,01 RED BUTTE,State House,6,DEM,2,Overvotes,2
Navajo,01 RED BUTTE,State House,6,DEM,2,Undervotes,1416
Navajo,01 RED BUTTE,Corporation Commissioner,,DEM,3,Ylenia AGUILAR,1139
Navajo,01 RED BUTTE,Corporation Commissioner,,DEM,3,Jonathon HILL,1347
Navajo,01 RED BUTTE,Corporation Commissioner,,DEM,3,Joshua POLACHECK,922
Navajo,01 RED BUTTE,Corporation Commissioner,,DEM,3,Write-In Totals,5
Navajo,01 RED BUTTE,Corporation Commissioner,,DEM,3,Total Votes Cast,3413
Navajo,01 RED BUTTE,Corporation Commissioner,,DEM,3,Overvotes,3
Navajo,01 RED BUTTE,Corporation Commissioner,,DEM,3,Undervotes,3220
Navajo,01 RED BUTTE,Board of Supervisors,1,DEM,1,Fern A. BENALLY,849
Navajo,01 RED BUTTE,Board of Supervisors,1,DEM,1,Robert K. BLACK JR.,354
Navajo,01 RED BUTTE,Board of Supervisors,1,DEM,1,Lita DIXON-GRANADO,321
Navajo,01 RED BUTTE,Board of Supervisors,1,DEM,1,Roy LAUGHTER,323
Navajo,01 RED BUTTE,Board of Supervisors,1,DEM,1,Thomas WALKER JR.,289
Navajo,01 RED BUTTE,Board of Supervisors,1,DEM,1,Write-In Totals,4
Navajo,01 RED BUTTE,Board of Supervisors,1,DEM,1,Total Votes Cast,2140
Navajo,01 RED BUTTE,Board of Supervisors,1,DEM,1,Overvotes,17
Navajo,01 RED BUTTE,Board of Supervisors,1,DEM,1,Undervotes,55
Navajo,01 RED BUTTE,County Attorney,,DEM,1,Brad CARLYON,2046
Navajo,01 RED BUTTE,County Attorney,,DEM,1,Write-In Totals,15
Navajo,01 RED BUTTE,County Attorney,,DEM,1,Total Votes Cast,2061
Navajo,01 RED BUTTE,County Attorney,,DEM,1,Overvotes,0
Navajo,01 RED BUTTE,County Attorney,,DEM,1,Undervotes,151
Navajo,01 RED BUTTE,County Assessor,,DEM,1,Cammy DARRIS,2002
Navajo,01 RED BUTTE,County Assessor,,DEM,1,Write-In Totals,13
Navajo,01 RED BUTTE,County Assessor,,DEM,1,Total Votes Cast,2015
Navajo,01 RED BUTTE,County Assessor,,DEM,1,Overvotes,0
Navajo,01 RED BUTTE,County Assessor,,DEM,1,Undervotes,197
Navajo,01 RED BUTTE,County Recorder,,DEM,1,Michael SAMPLE,1983
Navajo,01 RED BUTTE,County Recorder,,DEM,1,Write-In Totals,16
Navajo,01 RED BUTTE,County Recorder,,DEM,1,Total Votes Cast,1999
Navajo,01 RED BUTTE,County Recorder,,DEM,1,Overvotes,0
Navajo,01 RED BUTTE,County Recorder,,DEM,1,Undervotes,213
Navajo,01 RED BUTTE,County School Superintendent,,DEM,1,Susan CASH,2038
Navajo,01 RED BUTTE,County School Superintendent,,DEM,1,Write-In Totals,17
Navajo,01 RED BUTTE,County School Superintendent,,DEM,1,Total Votes Cast,2055
Navajo,01 RED BUTTE,County School Superintendent,,DEM,1,Overvotes,0
Navajo,01 RED BUTTE,County School Superintendent,,DEM,1,Undervotes,157
Navajo,01 RED BUTTE,County Sheriff,,DEM,1,Write-In Totals,368
Navajo,01 RED BUTTE,County Sheriff,,DEM,1,Total Votes Cast,368
Navajo,01 RED BUTTE,County Sheriff,,DEM,1,Overvotes,0
Navajo,01 RED BUTTE,County Sheriff,,DEM,1,Undervotes,1844
Navajo,01 RED BUTTE,County Treasurer,,DEM,1,Kari HERNANDEZ-LOPEZ,1968
Navajo,01 RED BUTTE,County Treasurer,,DEM,1,Write-In Totals,11
Navajo,01 RED BUTTE,County Treasurer,,DEM,1,Total Votes Cast,1979
Navajo,01 RED BUTTE,County Treasurer,,DEM,1,Overvotes,0
Navajo,01 RED BUTTE,County Treasurer,,DEM,1,Undervotes,233
Navajo,01 RED BUTTE,Superior Court Judge,2,DEM,1,Melinda HARDY,1998
Navajo,01 RED BUTTE,Superior Court Judge,2,DEM,1,Write-In Totals,12
Navajo,01 RED BUTTE,Superior Court Judge,2,DEM,1,Total Votes Cast,2010
Navajo,01 RED BUTTE,Superior Court Judge,2,DEM,1,Overvotes,0
Navajo,01 RED BUTTE,Superior Court Judge,2,DEM,1,Undervotes,202
Navajo,01 RED BUTTE,Superior Court Judge,3,DEM,1,Write-In Totals,354
Navajo,01 RED BUTTE,Superior Court Judge,3,DEM,1,Total Votes Cast,354
Navajo,01 RED BUTTE,Superior Court Judge,3,DEM,1,Overvotes,0
Navajo,01 RED BUTTE,Superior Court Judge,3,DEM,1,Undervotes,1858
Navajo,01 RED BUTTE,Superior Court Judge,4,DEM,1,Michala RUECHEL,1960
Navajo,01 RED BUTTE,Superior Court Judge,4,DEM,1,Write-In Totals,13
Navajo,01 RED BUTTE,Superior Court Judge,4,DEM,1,Total Votes Cast,1973
Navajo,01 RED BUTTE,Superior Court Judge,4,DEM,1,Overvotes,0
Navajo,01 RED BUTTE,Superior Court Judge,4,DEM,1,Undervotes,239
Navajo,01 RED BUTTE,U.S. Senate,,LBT,1,Write-In Totals,1
Navajo,01 RED BUTTE,U.S. Senate,,LBT,1,Total Votes Cast,1
Navajo,01 RED BUTTE,U.S. Senate,,LBT,1,Overvotes,0
Navajo,01 RED BUTTE,U.S. Senate,,LBT,1,Undervotes,1
Navajo,01 RED BUTTE,U.S. House,2,LBT,1,Write-In Totals,1
Navajo,01 RED BUTTE,U.S. House,2,LBT,1,Total Votes Cast,1
Navajo,01 RED BUTTE,U.S. House,2,LBT,1,Overvotes,0
Navajo,01 RED BUTTE,U.S. House,2,LBT,1,Undervotes,1
Navajo,01 RED BUTTE,State Senate,6,LBT,1,Write-In Totals,1
Navajo,01 RED BUTTE,State Senate,6,LBT,1,Total Votes Cast,1
Navajo,01 RED BUTTE,State Senate,6,LBT,1,Overvotes,0
Navajo,01 RED BUTTE,State Senate,6,LBT,1,Undervotes,1
Navajo,01 RED BUTTE,State House,6,LBT,2,Write-In Totals,1
Navajo,01 RED BUTTE,State House,6,LBT,2,Total Votes Cast,1
Navajo,01 RED BUTTE,State House,6,LBT,2,Overvotes,0
Navajo,01 RED BUTTE,State House,6,LBT,2,Undervotes,3
Navajo,01 RED BUTTE,Corporation Commissioner,,LBT,3,Write-In Totals,1
Navajo,01 RED BUTTE,Corporation Commissioner,,LBT,3,Total Votes Cast,1
Navajo,01 RED BUTTE,Corporation Commissioner,,LBT,3,Overvotes,0
Navajo,01 RED BUTTE,Corporation Commissioner,,LBT,3,Undervotes,5
Navajo,01 RED BUTTE,U.S. Senate,,GRN,1,Arturo HERNANDEZ,0
Navajo,01 RED BUTTE,U.S. Senate,,GRN,1,Michael NORTON,0
Navajo,01 RED BUTTE,U.S. Senate,,GRN,1,Write-In Totals,0
Navajo,01 RED BUTTE,U.S. Senate,,GRN,1,Total Votes Cast,0
Navajo,01 RED BUTTE,U.S. Senate,,GRN,1,Overvotes,0
Navajo,01 RED BUTTE,U.S. Senate,,GRN,1,Undervotes,0
Navajo,01 RED BUTTE,U.S. House,2,GRN,1,Write-In Totals,0
Navajo,01 RED BUTTE,U.S. House,2,GRN,1,Total Votes Cast,0
Navajo,01 RED BUTTE,U.S. House,2,GRN,1,Overvotes,0
Navajo,01 RED BUTTE,U.S. House,2,GRN,1,Undervotes,0
Navajo,01 RED BUTTE,State Senate,6,GRN,1,Write-In Totals,0
Navajo,01 RED BUTTE,State Senate,6,GRN,1,Total Votes Cast,0
Navajo,01 RED BUTTE,State Senate,6,GRN,1,Overvotes,0
Navajo,01 RED BUTTE,State Senate,6,GRN,1,Undervotes,0
Navajo,01 RED BUTTE,State House,6,GRN,2,Write-In Totals,0
Navajo,01 RED BUTTE,State House,6,GRN,2,Total Votes Cast,0
Navajo,01 RED BUTTE,State House,6,GRN,2,Overvotes,0
Navajo,01 RED BUTTE,State House,6,GRN,2,Undervotes,0
Navajo,01 RED BUTTE,Corporation Commissioner,,GRN,3,Write-In Totals,0
Navajo,01 RED BUTTE,Corporation Commissioner,,GRN,3,Total Votes Cast,0
Navajo,01 RED BUTTE,Corporation Commissioner,,GRN,3,Overvotes,0
Navajo,01 RED BUTTE,Corporation Commissioner,,GRN,3,Undervotes,0
Navajo,01 RED BUTTE,No Labels Notice,,NOL,1,There are no candidates.,0
Navajo,01 RED BUTTE,No Labels Notice,,NOL,1,Total Votes Cast,0
Navajo,01 RED BUTTE,No Labels Notice,,NOL,1,Overvotes,0
Navajo,01 RED BUTTE,No Labels Notice,,NOL,1,Undervotes,0
Navajo,02 STONE BUTTE,Registered Voters - Total,,,,,2217
Navajo,02 STONE BUTTE,Registered Voters - Republican,,REP,,,139
Navajo,02 STONE BUTTE,Registered Voters - Democratic,,DEM,,,1548
Navajo,02 STONE BUTTE,Registered Voters - Libertarian,,LBT,,,8
Navajo,02 STONE BUTTE,Registered Voters - Green,,GRN,,,0
Navajo,02 STONE BUTTE,Registered Voters - No Labels Party,,NOL,,,5
Navajo,02 STONE BUTTE,Registered Voters - Nonpartisan,,Nonpartisan,,,517
Navajo,02 STONE BUTTE,Ballots Cast - Total,,,,,745
Navajo,02 STONE BUTTE,Ballots Cast - Republican,,REP,,,48
Navajo,02 STONE BUTTE,Ballots Cast - Democratic,,DEM,,,696
Navajo,02 STONE BUTTE,Ballots Cast - Libertarian,,LBT,,,1
Navajo,02 STONE BUTTE,Ballots Cast - Green,,GRN,,,0
Navajo,02 STONE BUTTE,Ballots Cast - No Labels Party,,NOL,,,0
Navajo,02 STONE BUTTE,Ballots Cast - Nonpartisan,,Nonpartisan,,,0
Navajo,02 STONE BUTTE,Ballots Cast - Blank,,,,,4
Navajo,02 STONE BUTTE,U.S. Senate,,REP,1,Kari LAKE,18
Navajo,02 STONE BUTTE,U.S. Senate,,REP,1,Mark LAMB,21
Navajo,02 STONE BUTTE,U.S. Senate,,REP,1,Elizabeth Jean REYE,5
Navajo,02 STONE BUTTE,U.S. Senate,,REP,1,Write-In Totals,1
Navajo,02 STONE BUTTE,U.S. Senate,,REP,1,Total Votes Cast,45
Navajo,02 STONE BUTTE,U.S. Senate,,REP,1,Overvotes,1
Navajo,02 STONE BUTTE,U.S. Senate,,REP,1,Undervotes,2
Navajo,02 STONE BUTTE,U.S. House,2,REP,1,Eli CRANE,26
Navajo,02 STONE BUTTE,U.S. House,2,REP,1,Jack SMITH,18
Navajo,02 STONE BUTTE,U.S. House,2,REP,1,Write-In Totals,2
Navajo,02 STONE BUTTE,U.S. House,2,REP,1,Total Votes Cast,46
Navajo,02 STONE BUTTE,U.S. House,2,REP,1,Overvotes,0
Navajo,02 STONE BUTTE,U.S. House,2,REP,1,Undervotes,2
Navajo,02 STONE BUTTE,State Senate,6,REP,1,Write-In Totals,4
Navajo,02 STONE BUTTE,State Senate,6,REP,1,Total Votes Cast,4
Navajo,02 STONE BUTTE,State Senate,6,REP,1,Overvotes,0
Navajo,02 STONE BUTTE,State Senate,6,REP,1,Undervotes,44
Navajo,02 STONE BUTTE,State House,6,REP,2,Lloyd JOHNSON,23
Navajo,02 STONE BUTTE,State House,6,REP,2,Rich KING,28
Navajo,02 STONE BUTTE,State House,6,REP,2,Write-In Totals,0
Navajo,02 STONE BUTTE,State House,6,REP,2,Total Votes Cast,51
Navajo,02 STONE BUTTE,State House,6,REP,2,Overvotes,0
Navajo,02 STONE BUTTE,State House,6,REP,2,Undervotes,45
Navajo,02 STONE BUTTE,Corporation Commissioner,,REP,3,Lea MARQUEZ PETERSON,15
Navajo,02 STONE BUTTE,Corporation Commissioner,,REP,3,Rene LOPEZ,23
Navajo,02 STONE BUTTE,Corporation Commissioner,,REP,3,Rachel WALDEN,28
Navajo,02 STONE BUTTE,Corporation Commissioner,,REP,3,Write-In Totals,0
Navajo,02 STONE BUTTE,Corporation Commissioner,,REP,3,Total Votes Cast,66
Navajo,02 STONE BUTTE,Corporation Commissioner,,REP,3,Overvotes,0
Navajo,02 STONE BUTTE,Corporation Commissioner,,REP,3,Undervotes,78
Navajo,02 STONE BUTTE,Board of Supervisors,2,REP,1,Write-In Totals,5
Navajo,02 STONE BUTTE,Board of Supervisors,2,REP,1,Total Votes Cast,5
Navajo,02 STONE BUTTE,Board of Supervisors,2,REP,1,Overvotes,0
Navajo,02 STONE BUTTE,Board of Supervisors,2,REP,1,Undervotes,43
Navajo,02 STONE BUTTE,County Attorney,,REP,1,Write-In Totals,5
Navajo,02 STONE BUTTE,County Attorney,,REP,1,Total Votes Cast,5
Navajo,02 STONE BUTTE,County Attorney,,REP,1,Overvotes,0
Navajo,02 STONE BUTTE,County Attorney,,REP,1,Undervotes,43
Navajo,02 STONE BUTTE,County Assessor,,REP,1,Mike MONTANDON,43
Navajo,02 STONE BUTTE,County Assessor,,REP,1,Write-In Totals,0
Navajo,02 STONE BUTTE,County Assessor,,REP,1,Total Votes Cast,43
Navajo,02 STONE BUTTE,County Assessor,,REP,1,Overvotes,0
Navajo,02 STONE BUTTE,County Assessor,,REP,1,Undervotes,5
Navajo,02 STONE BUTTE,County Recorder,,REP,1,Timothy JORDON,41
Navajo,02 STONE BUTTE,County Recorder,,REP,1,Write-In Totals,1
Navajo,02 STONE BUTTE,County Recorder,,REP,1,Total Votes Cast,42
Navajo,02 STONE BUTTE,County Recorder,,REP,1,Overvotes,0
Navajo,02 STONE BUTTE,County Recorder,,REP,1,Undervotes,6
Navajo,02 STONE BUTTE,County School Superintendent,,REP,1,Rachael LEWIS,43
Navajo,02 STONE BUTTE,County School Superintendent,,REP,1,Write-In Totals,0
Navajo,02 STONE BUTTE,County School Superintendent,,REP,1,Total Votes Cast,43
Navajo,02 STONE BUTTE,County School Superintendent,,REP,1,Overvotes,0
Navajo,02 STONE BUTTE,County School Superintendent,,REP,1,Undervotes,5
Navajo,02 STONE BUTTE,County Sheriff,,REP,1,David CLOUSE,43
Navajo,02 STONE BUTTE,County Sheriff,,REP,1,Write-In Totals,0
Navajo,02 STONE BUTTE,County Sheriff,,REP,1,Total Votes Cast,43
Navajo,02 STONE BUTTE,County Sheriff,,REP,1,Overvotes,0
Navajo,02 STONE BUTTE,County Sheriff,,REP,1,Undervotes,5
Navajo,02 STONE BUTTE,County Treasurer,,REP,1,Danielle EARL,20
Navajo,02 STONE BUTTE,County Treasurer,,REP,1,Charles WEBBER,24
Navajo,02 STONE BUTTE,County Treasurer,,REP,1,Write-In Totals,0
Navajo,02 STONE BUTTE,County Treasurer,,REP,1,Total Votes Cast,44
Navajo,02 STONE BUTTE,County Treasurer,,REP,1,Overvotes,0
Navajo,02 STONE BUTTE,County Treasurer,,REP,1,Undervotes,4
Navajo,02 STONE BUTTE,Superior Court Judge,2,REP,1,Write-In Totals,6
Navajo,02 STONE BUTTE,Superior Court Judge,2,REP,1,Total Votes Cast,6
Navajo,02 STONE BUTTE,Superior Court Judge,2,REP,1,Overvotes,0
Navajo,02 STONE BUTTE,Superior Court Judge,2,REP,1,Undervotes,42
Navajo,02 STONE BUTTE,Superior Court Judge,3,REP,1,Jon Helaman SALINE,41
Navajo,02 STONE BUTTE,Superior Court Judge,3,REP,1,Write-In Totals,0
Navajo,02 STONE BUTTE,Superior Court Judge,3,REP,1,Total Votes Cast,41
Navajo,02 STONE BUTTE,Superior Court Judge,3,REP,1,Overvotes,0
Navajo,02 STONE BUTTE,Superior Court Judge,3,REP,1,Undervotes,7
Navajo,02 STONE BUTTE,Superior Court Judge,4,REP,1,Write-In Totals,5
Navajo,02 STONE BUTTE,Superior Court Judge,4,REP,1,Total Votes Cast,5
Navajo,02 STONE BUTTE,Superior Court Judge,4,REP,1,Overvotes,0
Navajo,02 STONE BUTTE,Superior Court Judge,4,REP,1,Undervotes,43
Navajo,02 STONE BUTTE,U.S. Senate,,DEM,1,Ruben GALLEGO,637
Navajo,02 STONE BUTTE,U.S. Senate,,DEM,1,Write-In Totals,4
Navajo,02 STONE BUTTE,U.S. Senate,,DEM,1,Total Votes Cast,641
Navajo,02 STONE BUTTE,U.S. Senate,,DEM,1,Overvotes,0
Navajo,02 STONE BUTTE,U.S. Senate,,DEM,1,Undervotes,55
Navajo,02 STONE BUTTE,U.S. House,2,DEM,1,Jonathan NEZ,675
Navajo,02 STONE BUTTE,U.S. House,2,DEM,1,Write-In Totals,6
Navajo,02 STONE BUTTE,U.S. House,2,DEM,1,Total Votes Cast,681
Navajo,02 STONE BUTTE,U.S. House,2,DEM,1,Overvotes,0
Navajo,02 STONE BUTTE,U.S. House,2,DEM,1,Undervotes,15
Navajo,02 STONE BUTTE,State Senate,6,DEM,1,Theresa HATATHLIE,642
Navajo,02 STONE BUTTE,State Senate,6,DEM,1,Write-In Totals,6
Navajo,02 STONE BUTTE,State Senate,6,DEM,1,Total Votes Cast,648
Navajo,02 STONE BUTTE,State Senate,6,DEM,1,Overvotes,0
Navajo,02 STONE BUTTE,State Senate,6,DEM,1,Undervotes,48
Navajo,02 STONE BUTTE,State House,6,DEM,2,Angela MALONEY,112
Navajo,02 STONE BUTTE,State House,6,DEM,2,Mae PESHLAKAI,356
Navajo,02 STONE BUTTE,State House,6,DEM,2,Myron TSOSIE,446
Navajo,02 STONE BUTTE,State House,6,DEM,2,Write-In Totals,1
Navajo,02 STONE BUTTE,State House,6,DEM,2,Total Votes Cast,915
Navajo,02 STONE BUTTE,State House,6,DEM,2,Overvotes,8
Navajo,02 STONE BUTTE,State House,6,DEM,2,Undervotes,469
Navajo,02 STONE BUTTE,Corporation Commissioner,,DEM,3,Ylenia AGUILAR,288
Navajo,02 STONE BUTTE,Corporation Commissioner,,DEM,3,Jonathon HILL,437
Navajo,02 STONE BUTTE,Corporation Commissioner,,DEM,3,Joshua POLACHECK,312
Navajo,02 STONE BUTTE,Corporation Commissioner,,DEM,3,Write-In Totals,6
Navajo,02 STONE BUTTE,Corporation Commissioner,,DEM,3,Total Votes Cast,1043
Navajo,02 STONE BUTTE,Corporation Commissioner,,DEM,3,Overvotes,0
Navajo,02 STONE BUTTE,Corporation Commissioner,,DEM,3,Undervotes,1045
Navajo,02 STONE BUTTE,Board of Supervisors,2,DEM,1,Mae PESHLAKAI,634
Navajo,02 STONE BUTTE,Board of Supervisors,2,DEM,1,Write-In Totals,4
Navajo,02 STONE BUTTE,Board of Supervisors,2,DEM,1,Total Votes Cast,638
Navajo,02 STONE BUTTE,Board of Supervisors,2,DEM,1,Overvotes,0
Navajo,02 STONE BUTTE,Board of Supervisors,2,DEM,1,Undervotes,58
Navajo,02 STONE BUTTE,County Attorney,,DEM,1,Brad CARLYON,647
Navajo,02 STONE BUTTE,County Attorney,,DEM,1,Write-In Totals,8
Navajo,02 STONE BUTTE,County Attorney,,DEM,1,Total Votes Cast,655
Navajo,02 STONE BUTTE,County Attorney,,DEM,1,Overvotes,0
Navajo,02 STONE BUTTE,County Attorney,,DEM,1,Undervotes,41
Navajo,02 STONE BUTTE,County Assessor,,DEM,1,Cammy DARRIS,628
Navajo,02 STONE BUTTE,County Assessor,,DEM,1,Write-In Totals,8
Navajo,02 STONE BUTTE,County Assessor,,DEM,1,Total Votes Cast,636
Navajo,02 STONE BUTTE,County Assessor,,DEM,1,Overvotes,1
Navajo,02 STONE BUTTE,County Assessor,,DEM,1,Undervotes,59
