county,precinct,office,district,party,candidate,votes,early_voting,provisional,election_day,late_early
Yuma,P18,Presidential Electors,,DEM,BIDEN / HARRIS,53,43,0,9,1
Yuma,P19,Presidential Electors,,DEM,BIDEN / HARRIS,55,46,2,7,0
Yuma,P20,Presidential Electors,,DEM,BIDEN / HARRIS,541,454,6,64,17
Yuma,P21,Presidential Electors,,DEM,BIDEN / HARRIS,0,0,0,0,0
Yuma,P22,Presidential Electors,,DEM,BIDEN / HARRIS,864,755,11,81,17
Yuma,P23,Presidential Electors,,DEM,BIDEN / HARRIS,611,576,4,26,5
Yuma,P24,Presidential Electors,,DEM,BIDEN / HARRIS,1396,1298,7,84,7
Yuma,P25,Presidential Electors,,DEM,BIDEN / HARRIS,780,744,7,28,1
Yuma,P26,Presidential Electors,,DEM,BIDEN / HARRIS,353,305,4,33,11
Yuma,P27,Presidential Electors,,DEM,BIDEN / HARRIS,394,343,7,37,7
Yuma,P28,Presidential Electors,,DEM,BIDEN / HARRIS,309,250,10,43,6
Yuma,P29,Presidential Electors,,DEM,BIDEN / HARRIS,1784,1421,33,273,57
Yuma,P30,Presidential Electors,,DEM,BIDEN / HARRIS,1498,1228,28,214,28
Yuma,P31,Presidential Electors,,DEM,BIDEN / HARRIS,2421,1894,60,409,58
Yuma,P32,Presidential Electors,,DEM,BIDEN / HARRIS,567,450,13,92,12
Yuma,P33,Presidential Electors,,DEM,BIDEN / HARRIS,192,174,2,11,5
Yuma,P34,Presidential Electors,,DEM,BIDEN / HARRIS,182,162,0,13,7
Yuma,P35,Presidential Electors,,DEM,BIDEN / HARRIS,620,551,12,52,5
Yuma,P36,Presidential Electors,,DEM,BIDEN / HARRIS,850,716,14,96,24
Yuma,P37,Presidential Electors,,DEM,BIDEN / HARRIS,850,736,19,74,21
Yuma,P38,Presidential Electors,,DEM,BIDEN / HARRIS,797,685,10,88,14
Yuma,P39,Presidential Electors,,DEM,BIDEN / HARRIS,754,668,14,63,9
Yuma,P40,Presidential Electors,,DEM,BIDEN / HARRIS,714,637,11,57,9
Yuma,P41,Presidential Electors,,DEM,BIDEN / HARRIS,888,800,7,74,7
Yuma,P42,Presidential Electors,,DEM,BIDEN / HARRIS,1120,952,10,123,35
Yuma,P43,Presidential Electors,,DEM,BIDEN / HARRIS,11,11,0,0,0
Yuma,P44,Presidential Electors,,DEM,BIDEN / HARRIS,0,0,0,0,0
Yuma,P01,Presidential Electors,,LBT,JORGENSEN / COHEN,13,10,0,3,0
Yuma,P02,Presidential Electors,,LBT,JORGENSEN / COHEN,15,12,2,1,0
Yuma,P03,Presidential Electors,,LBT,JORGENSEN / COHEN,12,10,0,2,0
Yuma,P04,Presidential Electors,,LBT,JORGENSEN / COHEN,50,44,1,5,0
Yuma,P05,Presidential Electors,,LBT,JORGENSEN / COHEN,23,22,0,1,0
Yuma,P06,Presidential Electors,,LBT,JORGENSEN / COHEN,22,14,0,6,2
Yuma,P07,Presidential Electors,,LBT,JORGENSEN / COHEN,25,17,0,6,2
Yuma,P08,Presidential Electors,,LBT,JORGENSEN / COHEN,15,12,1,2,0
Yuma,P09,Presidential Electors,,LBT,JORGENSEN / COHEN,46,30,2,13,1
Yuma,P10,Presidential Electors,,LBT,JORGENSEN / COHEN,74,63,1,8,2
Yuma,P11,Presidential Electors,,LBT,JORGENSEN / COHEN,49,36,2,11,0
Yuma,P12,Presidential Electors,,LBT,JORGENSEN / COHEN,31,27,1,3,0
Yuma,P13,Presidential Electors,,LBT,JORGENSEN / COHEN,28,21,1,6,0
Yuma,P14,Presidential Electors,,LBT,JORGENSEN / COHEN,5,3,0,2,0
Yuma,P15,Presidential Electors,,LBT,JORGENSEN / COHEN,48,36,1,10,1
Yuma,P16,Presidential Electors,,LBT,JORGENSEN / COHEN,45,38,0,7,0
Yuma,P17,Presidential Electors,,LBT,JORGENSEN / COHEN,45,32,2,5,6
Yuma,P18,Presidential Electors,,LBT,JORGENSEN / COHEN,5,5,0,0,0
Yuma,P19,Presidential Electors,,LBT,JORGENSEN / COHEN,0,0,0,0,0
Yuma,P20,Presidential Electors,,LBT,JORGENSEN / COHEN,24,18,1,3,2
Yuma,P21,Presidential Electors,,LBT,JORGENSEN / COHEN,0,0,0,0,0
Yuma,P22,Presidential Electors,,LBT,JORGENSEN / COHEN,47,38,1,6,2
Yuma,P23,Presidential Electors,,LBT,JORGENSEN / COHEN,20,17,0,3,0
Yuma,P24,Presidential Electors,,LBT,JORGENSEN / COHEN,56,51,0,5,0
Yuma,P25,Presidential Electors,,LBT,JORGENSEN / COHEN,33,26,1,5,1
Yuma,P26,Presidential Electors,,LBT,JORGENSEN / COHEN,9,8,0,1,0
Yuma,P27,Presidential Electors,,LBT,JORGENSEN / COHEN,10,4,0,4,2
Yuma,P28,Presidential Electors,,LBT,JORGENSEN / COHEN,7,6,0,1,0
Yuma,P29,Presidential Electors,,LBT,JORGENSEN / COHEN,40,32,1,6,1
Yuma,P30,Presidential Electors,,LBT,JORGENSEN / COHEN,22,15,1,5,1
Yuma,P31,Presidential Electors,,LBT,JORGENSEN / COHEN,36,29,3,4,0
Yuma,P32,Presidential Electors,,LBT,JORGENSEN / COHEN,9,7,0,1,1
Yuma,P33,Presidential Electors,,LBT,JORGENSEN / COHEN,4,2,0,2,0
Yuma,P34,Presidential Electors,,LBT,JORGENSEN / COHEN,8,8,0,0,0
Yuma,P35,Presidential Electors,,LBT,JORGENSEN / COHEN,35,24,0,11,0
Yuma,P36,Presidential Electors,,LBT,JORGENSEN / COHEN,31,26,1,4,0
Yuma,P37,Presidential Electors,,LBT,JORGENSEN / COHEN,25,16,3,6,0
Yuma,P38,Presidential Electors,,LBT,JORGENSEN / COHEN,32,22,2,7,1
Yuma,P39,Presidential Electors,,LBT,JORGENSEN / COHEN,32,26,1,5,0
Yuma,P40,Presidential Electors,,LBT,JORGENSEN / COHEN,39,33,1,5,0
Yuma,P41,Presidential Electors,,LBT,JORGENSEN / COHEN,31,25,0,6,0
Yuma,P42,Presidential Electors,,LBT,JORGENSEN / COHEN,36,24,3,8,1
Yuma,P43,Presidential Electors,,LBT,JORGENSEN / COHEN,0,0,0,0,0
Yuma,P44,Presidential Electors,,LBT,JORGENSEN / COHEN,0,0,0,0,0
Yuma,P01,U.S. Senator,,REP,"McSALLY, MARTHA",216,175,6,33,2
Yuma,P02,U.S. Senator,,REP,"McSALLY, MARTHA",356,279,7,65,5
Yuma,P03,U.S. Senator,,REP,"McSALLY, MARTHA",364,298,5,56,5
Yuma,P04,U.S. Senator,,REP,"McSALLY, MARTHA",1138,928,24,167,19
Yuma,P05,U.S. Senator,,REP,"McSALLY, MARTHA",1232,1044,14,155,19
Yuma,P06,U.S. Senator,,REP,"McSALLY, MARTHA",518,374,15,112,17
Yuma,P07,U.S. Senator,,REP,"McSALLY, MARTHA",476,332,18,117,9
Yuma,P08,U.S. Senator,,REP,"McSALLY, MARTHA",634,569,10,52,3
Yuma,P09,U.S. Senator,,REP,"McSALLY, MARTHA",1440,1166,24,230,20
Yuma,P10,U.S. Senator,,REP,"McSALLY, MARTHA",2482,2019,48,368,47
Yuma,P11,U.S. Senator,,REP,"McSALLY, MARTHA",1205,933,22,213,37
Yuma,P12,U.S. Senator,,REP,"McSALLY, MARTHA",1149,979,12,139,19
Yuma,P13,U.S. Senator,,REP,"McSALLY, MARTHA",503,416,15,66,6
Yuma,P14,U.S. Senator,,REP,"McSALLY, MARTHA",210,161,7,40,2
Yuma,P15,U.S. Senator,,REP,"McSALLY, MARTHA",1092,896,18,168,10
Yuma,P16,U.S. Senator,,REP,"McSALLY, MARTHA",742,602,7,122,11
Yuma,P17,U.S. Senator,,REP,"McSALLY, MARTHA",1805,1454,28,269,54
Yuma,P18,U.S. Senator,,REP,"McSALLY, MARTHA",207,162,5,39,1
Yuma,P19,U.S. Senator,,REP,"McSALLY, MARTHA",56,38,3,14,1
Yuma,P20,U.S. Senator,,REP,"McSALLY, MARTHA",1388,927,33,359,69
Yuma,P21,U.S. Senator,,REP,"McSALLY, MARTHA",0,0,0,0,0
Yuma,P22,U.S. Senator,,REP,"McSALLY, MARTHA",1479,1155,27,260,37
Yuma,P23,U.S. Senator,,REP,"McSALLY, MARTHA",1279,1101,14,151,13
Yuma,P24,U.S. Senator,,REP,"McSALLY, MARTHA",3545,3045,26,406,68
Yuma,P25,U.S. Senator,,REP,"McSALLY, MARTHA",1954,1631,28,264,31
Yuma,P26,U.S. Senator,,REP,"McSALLY, MARTHA",197,159,4,32,2
Yuma,P27,U.S. Senator,,REP,"McSALLY, MARTHA",348,289,5,50,4
Yuma,P28,U.S. Senator,,REP,"McSALLY, MARTHA",158,130,2,21,5
Yuma,P29,U.S. Senator,,REP,"McSALLY, MARTHA",400,257,13,115,15
Yuma,P30,U.S. Senator,,REP,"McSALLY, MARTHA",391,268,16,95,12
Yuma,P31,U.S. Senator,,REP,"McSALLY, MARTHA",711,478,27,185,21
Yuma,P32,U.S. Senator,,REP,"McSALLY, MARTHA",321,262,4,49,6
Yuma,P33,U.S. Senator,,REP,"McSALLY, MARTHA",278,226,3,46,3
Yuma,P34,U.S. Senator,,REP,"McSALLY, MARTHA",479,401,2,72,4
Yuma,P35,U.S. Senator,,REP,"McSALLY, MARTHA",781,683,13,79,6
Yuma,P36,U.S. Senator,,REP,"McSALLY, MARTHA",834,712,12,100,10
Yuma,P37,U.S. Senator,,REP,"McSALLY, MARTHA",519,428,14,71,6
Yuma,P38,U.S. Senator,,REP,"McSALLY, MARTHA",709,580,10,112,7
Yuma,P39,U.S. Senator,,REP,"McSALLY, MARTHA",813,687,11,110,5
Yuma,P40,U.S. Senator,,REP,"McSALLY, MARTHA",816,677,13,118,8
Yuma,P41,U.S. Senator,,REP,"McSALLY, MARTHA",953,803,13,119,18
Yuma,P42,U.S. Senator,,REP,"McSALLY, MARTHA",948,730,29,167,22
Yuma,P43,U.S. Senator,,REP,"McSALLY, MARTHA",18,13,0,3,2
Yuma,P44,U.S. Senator,,REP,"McSALLY, MARTHA",0,0,0,0,0
Yuma,P01,U.S. Senator,,DEM,"KELLY, MARK",554,449,7,81,17
Yuma,P02,U.S. Senator,,DEM,"KELLY, MARK",568,456,13,83,16
Yuma,P03,U.S. Senator,,DEM,"KELLY, MARK",566,462,13,75,16
Yuma,P04,U.S. Senator,,DEM,"KELLY, MARK",1616,1384,25,177,30
Yuma,P05,U.S. Senator,,DEM,"KELLY, MARK",774,705,10,51,8
Yuma,P06,U.S. Senator,,DEM,"KELLY, MARK",1134,899,19,186,30
Yuma,P07,U.S. Senator,,DEM,"KELLY, MARK",1620,1255,34,270,61
Yuma,P08,U.S. Senator,,DEM,"KELLY, MARK",438,402,4,19,13
Yuma,P09,U.S. Senator,,DEM,"KELLY, MARK",485,417,7,52,9
Yuma,P10,U.S. Senator,,DEM,"KELLY, MARK",1605,1410,26,151,18
Yuma,P11,U.S. Senator,,DEM,"KELLY, MARK",782,669,11,78,24
Yuma,P12,U.S. Senator,,DEM,"KELLY, MARK",609,532,7,59,11
Yuma,P13,U.S. Senator,,DEM,"KELLY, MARK",770,667,11,85,7
Yuma,P14,U.S. Senator,,DEM,"KELLY, MARK",213,180,3,27,3
Yuma,P15,U.S. Senator,,DEM,"KELLY, MARK",913,793,17,87,16
Yuma,P16,U.S. Senator,,DEM,"KELLY, MARK",746,645,12,73,16
Yuma,P17,U.S. Senator,,DEM,"KELLY, MARK",943,814,13,86,30
Yuma,P18,U.S. Senator,,DEM,"KELLY, MARK",57,46,0,10,1
Yuma,P19,U.S. Senator,,DEM,"KELLY, MARK",57,48,2,7,0
Yuma,P20,U.S. Senator,,DEM,"KELLY, MARK",602,501,8,71,22
Yuma,P21,U.S. Senator,,DEM,"KELLY, MARK",0,0,0,0,0
Yuma,P22,U.S. Senator,,DEM,"KELLY, MARK",925,796,13,92,24
Yuma,P23,U.S. Senator,,DEM,"KELLY, MARK",643,595,4,37,7
Yuma,P24,U.S. Senator,,DEM,"KELLY, MARK",1486,1383,11,87,5
Yuma,P25,U.S. Senator,,DEM,"KELLY, MARK",814,774,5,32,3
Yuma,P26,U.S. Senator,,DEM,"KELLY, MARK",373,320,5,33,15
Yuma,P27,U.S. Senator,,DEM,"KELLY, MARK",407,352,9,38,8
Yuma,P28,U.S. Senator,,DEM,"KELLY, MARK",332,269,10,47,6
Yuma,P29,U.S. Senator,,DEM,"KELLY, MARK",1859,1474,35,290,60
Yuma,P30,U.S. Senator,,DEM,"KELLY, MARK",1589,1316,25,219,29
Yuma,P31,U.S. Senator,,DEM,"KELLY, MARK",2558,1984,65,444,65
Yuma,P32,U.S. Senator,,DEM,"KELLY, MARK",586,465,15,95,11
Yuma,P33,U.S. Senator,,DEM,"KELLY, MARK",200,180,3,13,4
Yuma,P34,U.S. Senator,,DEM,"KELLY, MARK",187,168,0,13,6
Yuma,P35,U.S. Senator,,DEM,"KELLY, MARK",657,575,15,61,6
Yuma,P36,U.S. Senator,,DEM,"KELLY, MARK",897,765,12,94,26
Yuma,P37,U.S. Senator,,DEM,"KELLY, MARK",892,764,21,86,21
Yuma,P38,U.S. Senator,,DEM,"KELLY, MARK",829,708,14,91,16
Yuma,P39,U.S. Senator,,DEM,"KELLY, MARK",789,681,17,82,9
Yuma,P40,U.S. Senator,,DEM,"KELLY, MARK",750,670,11,58,11
Yuma,P41,U.S. Senator,,DEM,"KELLY, MARK",940,839,10,82,9
Yuma,P42,U.S. Senator,,DEM,"KELLY, MARK",1185,996,10,137,42
Yuma,P43,U.S. Senator,,DEM,"KELLY, MARK",11,11,0,0,0
Yuma,P44,U.S. Senator,,DEM,"KELLY, MARK",0,0,0,0,0
Yuma,P01,U.S. Representative in Congress Dist. 3,,REP,"WOOD, DANIEL",229,182,7,39,1
Yuma,P02,U.S. Representative in Congress Dist. 3,,REP,"WOOD, DANIEL",348,267,5,68,8
Yuma,P03,U.S. Representative in Congress Dist. 3,,REP,"WOOD, DANIEL",356,295,5,51,5
Yuma,P04,U.S. Representative in Congress Dist. 3,,REP,"WOOD, DANIEL",1117,921,21,161,14
Yuma,P05,U.S. Representative in Congress Dist. 3,,REP,"WOOD, DANIEL",1218,1040,12,146,20
Yuma,P06,U.S. Representative in Congress Dist. 3,,REP,"WOOD, DANIEL",491,362,12,103,14
Yuma,P07,U.S. Representative in Congress Dist. 3,,REP,"WOOD, DANIEL",402,275,13,104,10
Yuma,P13,U.S. Representative in Congress Dist. 3,,REP,"WOOD, DANIEL",507,430,12,60,5
Yuma,P14,U.S. Representative in Congress Dist. 3,,REP,"WOOD, DANIEL",211,164,7,38,2
Yuma,P16,U.S. Representative in Congress Dist. 3,,REP,"WOOD, DANIEL",745,611,7,118,9
Yuma,P21,U.S. Representative in Congress Dist. 3,,REP,"WOOD, DANIEL",0,0,0,0,0
Yuma,P26,U.S. Representative in Congress Dist. 3,,REP,"WOOD, DANIEL",193,154,3,33,3
Yuma,P27,U.S. Representative in Congress Dist. 3,,REP,"WOOD, DANIEL",345,289,6,46,4
Yuma,P28,U.S. Representative in Congress Dist. 3,,REP,"WOOD, DANIEL",158,131,4,19,4
Yuma,P29,U.S. Representative in Congress Dist. 3,,REP,"WOOD, DANIEL",314,199,12,92,11
Yuma,P30,U.S. Representative in Congress Dist. 3,,REP,"WOOD, DANIEL",320,223,11,75,11
Yuma,P31,U.S. Representative in Congress Dist. 3,,REP,"WOOD, DANIEL",580,382,19,158,21
Yuma,P32,U.S. Representative in Congress Dist. 3,,REP,"WOOD, DANIEL",320,263,4,47,6
Yuma,P33,U.S. Representative in Congress Dist. 3,,REP,"WOOD, DANIEL",277,225,3,47,2
Yuma,P35,U.S. Representative in Congress Dist. 3,,REP,"WOOD, DANIEL",783,691,11,74,7
Yuma,P36,U.S. Representative in Congress Dist. 3,,REP,"WOOD, DANIEL",842,729,8,95,10
Yuma,P37,U.S. Representative in Congress Dist. 3,,REP,"WOOD, DANIEL",504,415,16,69,4
Yuma,P38,U.S. Representative in Congress Dist. 3,,REP,"WOOD, DANIEL",690,566,10,107,7
Yuma,P39,U.S. Representative in Congress Dist. 3,,REP,"WOOD, DANIEL",821,692,12,114,3
Yuma,P40,U.S. Representative in Congress Dist. 3,,REP,"WOOD, DANIEL",816,688,14,108,6
Yuma,P41,U.S. Representative in Congress Dist. 3,,REP,"WOOD, DANIEL",975,820,13,125,17
Yuma,P42,U.S. Representative in Congress Dist. 3,,REP,"WOOD, DANIEL",947,739,28,157,23
Yuma,P43,U.S. Representative in Congress Dist. 3,,REP,"WOOD, DANIEL",17,12,0,3,2
Yuma,P44,U.S. Representative in Congress Dist. 3,,REP,"WOOD, DANIEL",0,0,0,0,0
Yuma,P01,U.S. Representative in Congress Dist. 3,,DEM,"ALVA, RAÚL",541,440,6,77,18
Yuma,P02,U.S. Representative in Congress Dist. 3,,DEM,"ALVA, RAÚL",563,462,15,72,14
Yuma,P03,U.S. Representative in Congress Dist. 3,,DEM,"ALVA, RAÚL",559,453,12,78,16
Yuma,P04,U.S. Representative in Congress Dist. 3,,DEM,"ALVA, RAÚL",1598,1365,23,175,35
Yuma,P05,U.S. Representative in Congress Dist. 3,,DEM,"ALVA, RAÚL",769,692,10,61,6
Yuma,P06,U.S. Representative in Congress Dist. 3,,DEM,"ALVA, RAÚL",1150,903,23,191,33
Yuma,P07,U.S. Representative in Congress Dist. 3,,DEM,"ALVA, RAÚL",1698,1317,39,280,62
Yuma,P13,U.S. Representative in Congress Dist. 3,,DEM,"ALVA, RAÚL",746,637,13,89,7
Yuma,P14,U.S. Representative in Congress Dist. 3,,DEM,"ALVA, RAÚL",208,175,2,28,3
Yuma,P16,U.S. Representative in Congress Dist. 3,,DEM,"ALVA, RAÚL",731,628,11,74,18
Yuma,P21,U.S. Representative in Congress Dist. 3,,DEM,"ALVA, RAÚL",0,0,0,0,0
Yuma,P26,U.S. Representative in Congress Dist. 3,,DEM,"ALVA, RAÚL",367,318,5,31,13
Yuma,P27,U.S. Representative in Congress Dist. 3,,DEM,"ALVA, RAÚL",401,344,8,41,8
Yuma,P28,U.S. Representative in Congress Dist. 3,,DEM,"ALVA, RAÚL",330,267,8,48,7
Yuma,P29,U.S. Representative in Congress Dist. 3,,DEM,"ALVA, RAÚL",1944,1532,36,312,64
Yuma,P30,U.S. Representative in Congress Dist. 3,,DEM,"ALVA, RAÚL",1654,1350,30,243,31
Yuma,P31,U.S. Representative in Congress Dist. 3,,DEM,"ALVA, RAÚL",2674,2075,68,467,64
Yuma,P32,U.S. Representative in Congress Dist. 3,,DEM,"ALVA, RAÚL",584,459,15,99,11
Yuma,P33,U.S. Representative in Congress Dist. 3,,DEM,"ALVA, RAÚL",194,174,2,13,5
Yuma,P35,U.S. Representative in Congress Dist. 3,,DEM,"ALVA, RAÚL",637,556,16,60,5
Yuma,P36,U.S. Representative in Congress Dist. 3,,DEM,"ALVA, RAÚL",878,741,17,97,23
Yuma,P37,U.S. Representative in Congress Dist. 3,,DEM,"ALVA, RAÚL",890,760,19,88,23
Yuma,P38,U.S. Representative in Congress Dist. 3,,DEM,"ALVA, RAÚL",827,707,13,90,17
Yuma,P39,U.S. Representative in Congress Dist. 3,,DEM,"ALVA, RAÚL",752,655,14,74,9
Yuma,P40,U.S. Representative in Congress Dist. 3,,DEM,"ALVA, RAÚL",731,642,13,63,13
Yuma,P41,U.S. Representative in Congress Dist. 3,,DEM,"ALVA, RAÚL",905,807,10,78,10
Yuma,P42,U.S. Representative in Congress Dist. 3,,DEM,"ALVA, RAÚL",1162,970,9,140,43
Yuma,P43,U.S. Representative in Congress Dist. 3,,DEM,"ALVA, RAÚL",11,11,0,0,0
Yuma,P44,U.S. Representative in Congress Dist. 3,,DEM,"ALVA, RAÚL",0,0,0,0,0
Yuma,P08,U.S. Representative in Congress Dist. 4,,REP,"GOSAR, PAUL",664,598,8,54,4
Yuma,P09,U.S. Representative in Congress Dist. 4,,REP,"GOSAR, PAUL",1456,1174,24,236,22
Yuma,P10,U.S. Representative in Congress Dist. 4,,REP,"GOSAR, PAUL",2499,2053,40,362,44
Yuma,P11,U.S. Representative in Congress Dist. 4,,REP,"GOSAR, PAUL",1239,967,23,212,37
Yuma,P12,U.S. Representative in Congress Dist. 4,,REP,"GOSAR, PAUL",1181,1012,12,137,20
Yuma,P15,U.S. Representative in Congress Dist. 4,,REP,"GOSAR, PAUL",1126,914,21,179,12
Yuma,P17,U.S. Representative in Congress Dist. 4,,REP,"GOSAR, PAUL",1810,1472,24,264,50
Yuma,P18,U.S. Representative in Congress Dist. 4,,REP,"GOSAR, PAUL",210,165,4,40,1
Yuma,P19,U.S. Representative in Congress Dist. 4,,REP,"GOSAR, PAUL",63,45,3,14,1
Yuma,P20,U.S. Representative in Congress Dist. 4,,REP,"GOSAR, PAUL",1416,958,29,358,71
Yuma,P22,U.S. Representative in Congress Dist. 4,,REP,"GOSAR, PAUL",1515,1179,27,264,45
Yuma,P23,U.S. Representative in Congress Dist. 4,,REP,"GOSAR, PAUL",1313,1121,14,164,14
Yuma,P24,U.S. Representative in Congress Dist. 4,,REP,"GOSAR, PAUL",3631,3122,28,417,64
Yuma,P25,U.S. Representative in Congress Dist. 4,,REP,"GOSAR, PAUL",1988,1662,26,266,34
Yuma,P34,U.S. Representative in Congress Dist. 4,,REP,"GOSAR, PAUL",478,403,2,70,3
Yuma,P08,U.S. Representative in Congress Dist. 4,,DEM,"DiSANTO, DELINA",389,358,5,15,11
Yuma,P09,U.S. Representative in Congress Dist. 4,,DEM,"DiSANTO, DELINA",426,371,4,44,7
Yuma,P10,U.S. Representative in Congress Dist. 4,,DEM,"DiSANTO, DELINA",1479,1294,24,143,18
Yuma,P11,U.S. Representative in Congress Dist. 4,,DEM,"DiSANTO, DELINA",699,599,9,70,21
Yuma,P12,U.S. Representative in Congress Dist. 4,,DEM,"DiSANTO, DELINA",556,483,5,59,9
Yuma,P15,U.S. Representative in Congress Dist. 4,,DEM,"DiSANTO, DELINA",823,727,13,69,14
Yuma,P17,U.S. Representative in Congress Dist. 4,,DEM,"DiSANTO, DELINA",864,740,10,85,29
Yuma,P18,U.S. Representative in Congress Dist. 4,,DEM,"DiSANTO, DELINA",49,40,0,9,0
Yuma,P19,U.S. Representative in Congress Dist. 4,,DEM,"DiSANTO, DELINA",47,40,1,6,0
Yuma,P20,U.S. Representative in Congress Dist. 4,,DEM,"DiSANTO, DELINA",535,442,7,67,19
Yuma,P22,U.S. Representative in Congress Dist. 4,,DEM,"DiSANTO, DELINA",852,745,9,82,16
Yuma,P23,U.S. Representative in Congress Dist. 4,,DEM,"DiSANTO, DELINA",582,545,4,27,6
