county,precinct,office,district,candidate,party,votes,early_voting,election_day,late_early_voting,provisional,subjurisdiction
Yuma,PRECINCT 026,Blank Ballots Cast,,,,0,0,0,0,0,
Yuma,PRECINCT 027,Blank Ballots Cast,,,,0,0,0,0,0,
Yuma,PRECINCT 028,Blank Ballots Cast,,,,0,0,0,0,0,
Yuma,PRECINCT 029,Blank Ballots Cast,,,,0,0,0,0,0,
Yuma,PRECINCT 030,Blank Ballots Cast,,,,0,0,0,0,0,
Yuma,PRECINCT 031,Blank Ballots Cast,,,,0,0,0,0,0,
Yuma,PRECINCT 032,Blank Ballots Cast,,,,0,0,0,0,0,
Yuma,PRECINCT 033,Blank Ballots Cast,,,,0,0,0,0,0,
Yuma,PRECINCT 034,Blank Ballots Cast,,,,0,0,0,0,0,
Yuma,PRECINCT 035,Blank Ballots Cast,,,,0,0,0,0,0,
Yuma,PRECINCT 036,Blank Ballots Cast,,,,0,0,0,0,0,
Yuma,PRECINCT 037,Blank Ballots Cast,,,,0,0,0,0,0,
Yuma,PRECINCT 038,Blank Ballots Cast,,,,0,0,0,0,0,
Yuma,PRECINCT 039,Blank Ballots Cast,,,,0,0,0,0,0,
Yuma,PRECINCT 040,Blank Ballots Cast,,,,0,0,0,0,0,
Yuma,PRECINCT 041,Blank Ballots Cast,,,,0,0,0,0,0,
Yuma,PRECINCT 042,Blank Ballots Cast,,,,0,0,0,0,0,
Yuma,PRECINCT 043,Blank Ballots Cast,,,,0,0,0,0,0,
Yuma,PRECINCT 044,Blank Ballots Cast,,,,0,0,0,0,0,
Yuma,PRECINCT 001,U.S. Senate,,"MCSALLY, MARTHA",REP,14,9,3,0,0,
Yuma,PRECINCT 002,U.S. Senate,,"MCSALLY, MARTHA",REP,20,12,6,1,0,
Yuma,PRECINCT 003,U.S. Senate,,"MCSALLY, MARTHA",REP,21,15,4,2,0,
Yuma,PRECINCT 004,U.S. Senate,,"MCSALLY, MARTHA",REP,68,45,12,9,1,
Yuma,PRECINCT 005,U.S. Senate,,"MCSALLY, MARTHA",REP,76,50,11,12,1,
Yuma,PRECINCT 006,U.S. Senate,,"MCSALLY, MARTHA",REP,28,16,6,5,0,
Yuma,PRECINCT 007,U.S. Senate,,"MCSALLY, MARTHA",REP,20,10,6,3,0,
Yuma,PRECINCT 008,U.S. Senate,,"MCSALLY, MARTHA",REP,50,40,6,3,0,
Yuma,PRECINCT 009,U.S. Senate,,"MCSALLY, MARTHA",REP,89,55,18,13,1,
Yuma,PRECINCT 010,U.S. Senate,,"MCSALLY, MARTHA",REP,141,101,23,13,2,
Yuma,PRECINCT 011,U.S. Senate,,"MCSALLY, MARTHA",REP,75,45,18,10,0,
Yuma,PRECINCT 012,U.S. Senate,,"MCSALLY, MARTHA",REP,88,64,15,7,0,
Yuma,PRECINCT 013,U.S. Senate,,"MCSALLY, MARTHA",REP,33,21,6,4,0,
Yuma,PRECINCT 014,U.S. Senate,,"MCSALLY, MARTHA",REP,14,8,4,1,0,
Yuma,PRECINCT 015,U.S. Senate,,"MCSALLY, MARTHA",REP,75,50,16,6,1,
Yuma,PRECINCT 016,U.S. Senate,,"MCSALLY, MARTHA",REP,49,33,10,4,0,
Yuma,PRECINCT 017,U.S. Senate,,"MCSALLY, MARTHA",REP,119,86,20,10,1,
Yuma,PRECINCT 018,U.S. Senate,,"MCSALLY, MARTHA",REP,10,7,2,0,0,
Yuma,PRECINCT 019,U.S. Senate,,"MCSALLY, MARTHA",REP,4,3,1,0,0,
Yuma,PRECINCT 020,U.S. Senate,,"MCSALLY, MARTHA",REP,90,55,23,10,1,
Yuma,PRECINCT 021,U.S. Senate,,"MCSALLY, MARTHA",REP,1,0,1,0,0,
Yuma,PRECINCT 022,U.S. Senate,,"MCSALLY, MARTHA",REP,91,63,19,7,1,
Yuma,PRECINCT 023,U.S. Senate,,"MCSALLY, MARTHA",REP,92,71,14,5,0,
Yuma,PRECINCT 024,U.S. Senate,,"MCSALLY, MARTHA",REP,243,193,32,16,2,
Yuma,PRECINCT 025,U.S. Senate,,"MCSALLY, MARTHA",REP,139,100,23,13,1,
Yuma,PRECINCT 026,U.S. Senate,,"MCSALLY, MARTHA",REP,9,5,2,1,0,
Yuma,PRECINCT 027,U.S. Senate,,"MCSALLY, MARTHA",REP,24,16,5,3,0,
Yuma,PRECINCT 028,U.S. Senate,,"MCSALLY, MARTHA",REP,10,6,2,1,0,
Yuma,PRECINCT 029,U.S. Senate,,"MCSALLY, MARTHA",REP,12,5,3,3,0,
Yuma,PRECINCT 030,U.S. Senate,,"MCSALLY, MARTHA",REP,11,4,3,3,0,
Yuma,PRECINCT 031,U.S. Senate,,"MCSALLY, MARTHA",REP,19,8,5,6,0,
Yuma,PRECINCT 032,U.S. Senate,,"MCSALLY, MARTHA",REP,19,13,3,2,0,
Yuma,PRECINCT 033,U.S. Senate,,"MCSALLY, MARTHA",REP,19,13,4,1,0,
Yuma,PRECINCT 034,U.S. Senate,,"MCSALLY, MARTHA",REP,31,21,6,3,0,
Yuma,PRECINCT 035,U.S. Senate,,"MCSALLY, MARTHA",REP,54,37,11,5,1,
Yuma,PRECINCT 036,U.S. Senate,,"MCSALLY, MARTHA",REP,57,37,12,6,0,
Yuma,PRECINCT 037,U.S. Senate,,"MCSALLY, MARTHA",REP,32,20,7,2,0,
Yuma,PRECINCT 038,U.S. Senate,,"MCSALLY, MARTHA",REP,47,28,11,5,0,
Yuma,PRECINCT 039,U.S. Senate,,"MCSALLY, MARTHA",REP,58,39,12,5,0,
Yuma,PRECINCT 040,U.S. Senate,,"MCSALLY, MARTHA",REP,55,40,10,4,0,
Yuma,PRECINCT 041,U.S. Senate,,"MCSALLY, MARTHA",REP,68,41,15,11,0,
Yuma,PRECINCT 042,U.S. Senate,,"MCSALLY, MARTHA",REP,58,37,9,9,1,
Yuma,PRECINCT 043,U.S. Senate,,"MCSALLY, MARTHA",REP,1,0,0,0,0,
Yuma,PRECINCT 044,U.S. Senate,,"MCSALLY, MARTHA",REP,0,0,0,0,0,
Yuma,PRECINCT 001,U.S. Senate,,"SINEMA, KYRSTEN",DEM,30,18,7,4,0,
Yuma,PRECINCT 002,U.S. Senate,,"SINEMA, KYRSTEN",DEM,33,17,9,5,0,
Yuma,PRECINCT 003,U.S. Senate,,"SINEMA, KYRSTEN",DEM,29,17,6,4,1,
Yuma,PRECINCT 004,U.S. Senate,,"SINEMA, KYRSTEN",DEM,96,61,20,13,1,
Yuma,PRECINCT 005,U.S. Senate,,"SINEMA, KYRSTEN",DEM,42,27,7,6,1,
Yuma,PRECINCT 006,U.S. Senate,,"SINEMA, KYRSTEN",DEM,67,30,18,17,1,
Yuma,PRECINCT 007,U.S. Senate,,"SINEMA, KYRSTEN",DEM,106,48,28,26,2,
Yuma,PRECINCT 008,U.S. Senate,,"SINEMA, KYRSTEN",DEM,24,18,2,2,0,
Yuma,PRECINCT 009,U.S. Senate,,"SINEMA, KYRSTEN",DEM,25,15,5,5,0,
Yuma,PRECINCT 010,U.S. Senate,,"SINEMA, KYRSTEN",DEM,73,50,11,9,1,
Yuma,PRECINCT 011,U.S. Senate,,"SINEMA, KYRSTEN",DEM,44,25,10,6,1,
Yuma,PRECINCT 012,U.S. Senate,,"SINEMA, KYRSTEN",DEM,33,22,7,3,0,
Yuma,PRECINCT 013,U.S. Senate,,"SINEMA, KYRSTEN",DEM,40,23,9,6,0,
Yuma,PRECINCT 014,U.S. Senate,,"SINEMA, KYRSTEN",DEM,11,7,2,0,0,
Yuma,PRECINCT 015,U.S. Senate,,"SINEMA, KYRSTEN",DEM,54,36,10,5,1,
Yuma,PRECINCT 016,U.S. Senate,,"SINEMA, KYRSTEN",DEM,43,26,7,7,1,
Yuma,PRECINCT 017,U.S. Senate,,"SINEMA, KYRSTEN",DEM,56,39,10,5,0,
Yuma,PRECINCT 018,U.S. Senate,,"SINEMA, KYRSTEN",DEM,2,0,1,0,0,
Yuma,PRECINCT 019,U.S. Senate,,"SINEMA, KYRSTEN",DEM,3,2,0,0,0,
Yuma,PRECINCT 020,U.S. Senate,,"SINEMA, KYRSTEN",DEM,39,24,10,4,0,
Yuma,PRECINCT 021,U.S. Senate,,"SINEMA, KYRSTEN",DEM,0,0,0,0,0,
Yuma,PRECINCT 022,U.S. Senate,,"SINEMA, KYRSTEN",DEM,47,30,9,7,0,
Yuma,PRECINCT 023,U.S. Senate,,"SINEMA, KYRSTEN",DEM,41,32,4,2,0,
Yuma,PRECINCT 024,U.S. Senate,,"SINEMA, KYRSTEN",DEM,88,71,11,4,1,
Yuma,PRECINCT 025,U.S. Senate,,"SINEMA, KYRSTEN",DEM,50,40,5,3,0,
Yuma,PRECINCT 026,U.S. Senate,,"SINEMA, KYRSTEN",DEM,17,10,2,3,0,
Yuma,PRECINCT 027,U.S. Senate,,"SINEMA, KYRSTEN",DEM,21,12,5,3,0,
Yuma,PRECINCT 028,U.S. Senate,,"SINEMA, KYRSTEN",DEM,19,10,4,3,0,
Yuma,PRECINCT 029,U.S. Senate,,"SINEMA, KYRSTEN",DEM,114,52,30,30,1,
Yuma,PRECINCT 030,U.S. Senate,,"SINEMA, KYRSTEN",DEM,108,49,26,31,0,
Yuma,PRECINCT 031,U.S. Senate,,"SINEMA, KYRSTEN",DEM,137,56,34,44,2,
Yuma,PRECINCT 032,U.S. Senate,,"SINEMA, KYRSTEN",DEM,35,19,9,6,0,
Yuma,PRECINCT 033,U.S. Senate,,"SINEMA, KYRSTEN",DEM,13,7,2,2,0,
Yuma,PRECINCT 034,U.S. Senate,,"SINEMA, KYRSTEN",DEM,10,5,2,2,0,
Yuma,PRECINCT 035,U.S. Senate,,"SINEMA, KYRSTEN",DEM,41,27,8,4,0,
Yuma,PRECINCT 036,U.S. Senate,,"SINEMA, KYRSTEN",DEM,55,34,12,7,1,
Yuma,PRECINCT 037,U.S. Senate,,"SINEMA, KYRSTEN",DEM,53,32,13,6,0,
Yuma,PRECINCT 038,U.S. Senate,,"SINEMA, KYRSTEN",DEM,51,34,8,8,0,
Yuma,PRECINCT 039,U.S. Senate,,"SINEMA, KYRSTEN",DEM,47,29,9,7,1,
Yuma,PRECINCT 040,U.S. Senate,,"SINEMA, KYRSTEN",DEM,51,33,10,7,0,
Yuma,PRECINCT 041,U.S. Senate,,"SINEMA, KYRSTEN",DEM,55,34,9,10,0,
Yuma,PRECINCT 042,U.S. Senate,,"SINEMA, KYRSTEN",DEM,69,38,16,13,1,
Yuma,PRECINCT 043,U.S. Senate,,"SINEMA, KYRSTEN",DEM,1,0,0,0,0,
Yuma,PRECINCT 044,U.S. Senate,,"SINEMA, KYRSTEN",DEM,0,0,0,0,0,
Yuma,PRECINCT 001,U.S. Senate,,"GREEN, ANGELA",GRN,1,0,0,0,0,
Yuma,PRECINCT 002,U.S. Senate,,"GREEN, ANGELA",GRN,2,2,0,0,0,
Yuma,PRECINCT 003,U.S. Senate,,"GREEN, ANGELA",GRN,2,1,0,0,0,
Yuma,PRECINCT 004,U.S. Senate,,"GREEN, ANGELA",GRN,6,4,0,0,0,
Yuma,PRECINCT 005,U.S. Senate,,"GREEN, ANGELA",GRN,2,1,0,0,0,
Yuma,PRECINCT 006,U.S. Senate,,"GREEN, ANGELA",GRN,4,3,0,0,0,
Yuma,PRECINCT 007,U.S. Senate,,"GREEN, ANGELA",GRN,4,2,0,0,0,
Yuma,PRECINCT 008,U.S. Senate,,"GREEN, ANGELA",GRN,1,1,0,0,0,
Yuma,PRECINCT 009,U.S. Senate,,"GREEN, ANGELA",GRN,1,1,0,0,0,
Yuma,PRECINCT 010,U.S. Senate,,"GREEN, ANGELA",GRN,5,3,1,0,0,
Yuma,PRECINCT 011,U.S. Senate,,"GREEN, ANGELA",GRN,3,1,0,0,0,
Yuma,PRECINCT 012,U.S. Senate,,"GREEN, ANGELA",GRN,3,2,0,0,0,
Yuma,PRECINCT 013,U.S. Senate,,"GREEN, ANGELA",GRN,2,1,0,0,0,
Yuma,PRECINCT 014,U.S. Senate,,"GREEN, ANGELA",GRN,1,0,0,0,0,
Yuma,PRECINCT 015,U.S. Senate,,"GREEN, ANGELA",GRN,5,3,1,0,0,
Yuma,PRECINCT 016,U.S. Senate,,"GREEN, ANGELA",GRN,4,2,1,0,0,
Yuma,PRECINCT 017,U.S. Senate,,"GREEN, ANGELA",GRN,5,4,0,0,0,
Yuma,PRECINCT 018,U.S. Senate,,"GREEN, ANGELA",GRN,0,0,0,0,0,
Yuma,PRECINCT 019,U.S. Senate,,"GREEN, ANGELA",GRN,0,0,0,0,0,
Yuma,PRECINCT 020,U.S. Senate,,"GREEN, ANGELA",GRN,2,2,0,0,0,
Yuma,PRECINCT 021,U.S. Senate,,"GREEN, ANGELA",GRN,0,0,0,0,0,
Yuma,PRECINCT 022,U.S. Senate,,"GREEN, ANGELA",GRN,4,3,0,0,0,
Yuma,PRECINCT 023,U.S. Senate,,"GREEN, ANGELA",GRN,3,2,0,0,0,
Yuma,PRECINCT 024,U.S. Senate,,"GREEN, ANGELA",GRN,9,7,1,0,0,
Yuma,PRECINCT 025,U.S. Senate,,"GREEN, ANGELA",GRN,2,1,0,0,0,
Yuma,PRECINCT 026,U.S. Senate,,"GREEN, ANGELA",GRN,1,0,0,0,0,
Yuma,PRECINCT 027,U.S. Senate,,"GREEN, ANGELA",GRN,1,1,0,0,0,
Yuma,PRECINCT 028,U.S. Senate,,"GREEN, ANGELA",GRN,0,0,0,0,0,
Yuma,PRECINCT 029,U.S. Senate,,"GREEN, ANGELA",GRN,4,2,0,1,0,
Yuma,PRECINCT 030,U.S. Senate,,"GREEN, ANGELA",GRN,5,2,1,1,0,
Yuma,PRECINCT 031,U.S. Senate,,"GREEN, ANGELA",GRN,7,3,1,1,0,
Yuma,PRECINCT 032,U.S. Senate,,"GREEN, ANGELA",GRN,2,1,0,0,0,
Yuma,PRECINCT 033,U.S. Senate,,"GREEN, ANGELA",GRN,0,0,0,0,0,
Yuma,PRECINCT 034,U.S. Senate,,"GREEN, ANGELA",GRN,0,0,0,0,0,
Yuma,PRECINCT 035,U.S. Senate,,"GREEN, ANGELA",GRN,2,1,0,0,0,
Yuma,PRECINCT 036,U.S. Senate,,"GREEN, ANGELA",GRN,4,3,0,0,0,
Yuma,PRECINCT 037,U.S. Senate,,"GREEN, ANGELA",GRN,3,2,0,0,0,
Yuma,PRECINCT 038,U.S. Senate,,"GREEN, ANGELA",GRN,3,1,0,0,0,
Yuma,PRECINCT 039,U.S. Senate,,"GREEN, ANGELA",GRN,2,2,0,0,0,
Yuma,PRECINCT 040,U.S. Senate,,"GREEN, ANGELA",GRN,4,2,0,0,0,
Yuma,PRECINCT 041,U.S. Senate,,"GREEN, ANGELA",GRN,2,2,0,0,0,
Yuma,PRECINCT 042,U.S. Senate,,"GREEN, ANGELA",GRN,6,4,0,0,0,
Yuma,PRECINCT 043,U.S. Senate,,"GREEN, ANGELA",GRN,0,0,0,0,0,
Yuma,PRECINCT 044,U.S. Senate,,"GREEN, ANGELA",GRN,0,0,0,0,0,
Yuma,PRECINCT 001,U.S. Senate,,WRITE-IN,NON,0,0,0,0,0,
Yuma,PRECINCT 002,U.S. Senate,,WRITE-IN,NON,0,0,0,0,0,
Yuma,PRECINCT 003,U.S. Senate,,WRITE-IN,NON,0,0,0,0,0,
Yuma,PRECINCT 004,U.S. Senate,,WRITE-IN,NON,0,0,0,0,0,
Yuma,PRECINCT 005,U.S. Senate,,WRITE-IN,NON,0,0,0,0,0,
Yuma,PRECINCT 006,U.S. Senate,,WRITE-IN,NON,0,0,0,0,0,
Yuma,PRECINCT 007,U.S. Senate,,WRITE-IN,NON,0,0,0,0,0,
Yuma,PRECINCT 008,U.S. Senate,,WRITE-IN,NON,0,0,0,0,0,
Yuma,PRECINCT 009,U.S. Senate,,WRITE-IN,NON,0,0,0,0,0,
Yuma,PRECINCT 010,U.S. Senate,,WRITE-IN,NON,0,0,0,0,0,
Yuma,PRECINCT 011,U.S. Senate,,WRITE-IN,NON,0,0,0,0,0,
Yuma,PRECINCT 012,U.S. Senate,,WRITE-IN,NON,0,0,0,0,0,
Yuma,PRECINCT 013,U.S. Senate,,WRITE-IN,NON,0,0,0,0,0,
Yuma,PRECINCT 014,U.S. Senate,,WRITE-IN,NON,0,0,0,0,0,
Yuma,PRECINCT 015,U.S. Senate,,WRITE-IN,NON,0,0,0,0,0,
Yuma,PRECINCT 016,U.S. Senate,,WRITE-IN,NON,0,0,0,0,0,
Yuma,PRECINCT 017,U.S. Senate,,WRITE-IN,NON,0,0,0,0,0,
Yuma,PRECINCT 018,U.S. Senate,,WRITE-IN,NON,0,0,0,0,0,
Yuma,PRECINCT 019,U.S. Senate,,WRITE-IN,NON,0,0,0,0,0,
Yuma,PRECINCT 020,U.S. Senate,,WRITE-IN,NON,0,0,0,0,0,
Yuma,PRECINCT 021,U.S. Senate,,WRITE-IN,NON,0,0,0,0,0,
Yuma,PRECINCT 022,U.S. Senate,,WRITE-IN,NON,0,0,0,0,0,
Yuma,PRECINCT 023,U.S. Senate,,WRITE-IN,NON,0,0,0,0,0,
Yuma,PRECINCT 024,U.S. Senate,,WRITE-IN,NON,0,0,0,0,0,
Yuma,PRECINCT 025,U.S. Senate,,WRITE-IN,NON,0,0,0,0,0,
Yuma,PRECINCT 026,U.S. Senate,,WRITE-IN,NON,0,0,0,0,0,
Yuma,PRECINCT 027,U.S. Senate,,WRITE-IN,NON,0,0,0,0,0,
Yuma,PRECINCT 028,U.S. Senate,,WRITE-IN,NON,0,0,0,0,0,
Yuma,PRECINCT 029,U.S. Senate,,WRITE-IN,NON,0,0,0,0,0,
Yuma,PRECINCT 030,U.S. Senate,,WRITE-IN,NON,0,0,0,0,0,
Yuma,PRECINCT 031,U.S. Senate,,WRITE-IN,NON,0,0,0,0,0,
Yuma,PRECINCT 032,U.S. Senate,,WRITE-IN,NON,0,0,0,0,0,
Yuma,PRECINCT 033,U.S. Senate,,WRITE-IN,NON,0,0,0,0,0,
Yuma,PRECINCT 034,U.S. Senate,,WRITE-IN,NON,0,0,0,0,0,
Yuma,PRECINCT 035,U.S. Senate,,WRITE-IN,NON,0,0,0,0,0,
Yuma,PRECINCT 036,U.S. Senate,,WRITE-IN,NON,0,0,0,0,0,
Yuma,PRECINCT 037,U.S. Senate,,WRITE-IN,NON,0,0,0,0,0,
Yuma,PRECINCT 038,U.S. Senate,,WRITE-IN,NON,0,0,0,0,0,
Yuma,PRECINCT 039,U.S. Senate,,WRITE-IN,NON,0,0,0,0,0,
Yuma,PRECINCT 040,U.S. Senate,,WRITE-IN,NON,0,0,0,0,0,
Yuma,PRECINCT 041,U.S. Senate,,WRITE-IN,NON,0,0,0,0,0,
Yuma,PRECINCT 042,U.S. Senate,,WRITE-IN,NON,0,0,0,0,0,
Yuma,PRECINCT 043,U.S. Senate,,WRITE-IN,NON,0,0,0,0,0,
Yuma,PRECINCT 044,U.S. Senate,,WRITE-IN,NON,0,0,0,0,0,
Yuma,PRECINCT 001,U.S. Senate,,OVER VOTES,,0,0,0,0,0,
Yuma,PRECINCT 002,U.S. Senate,,OVER VOTES,,0,0,0,0,0,
Yuma,PRECINCT 003,U.S. Senate,,OVER VOTES,,0,0,0,0,0,
Yuma,PRECINCT 004,U.S. Senate,,OVER VOTES,,0,0,0,0,0,
Yuma,PRECINCT 005,U.S. Senate,,OVER VOTES,,0,0,0,0,0,
Yuma,PRECINCT 006,U.S. Senate,,OVER VOTES,,0,0,0,0,0,
Yuma,PRECINCT 007,U.S. Senate,,OVER VOTES,,0,0,0,0,0,
